word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
"sports,_0",nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_0,57.0,1,[88],meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,53.0,1,[481],meco_para_3_qa_1 ,meco_para_3
use_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
of_0,50.0,1,[92],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,172.0,3,"[486, 787, 788]",meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitors._0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
The_1,50.0,1,[89],meco_para_3_qa_1 ,meco_para_3
term_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_1,214.0,4,"[10, 86, 91, 887]",meco_para_3_qa_1 ,meco_para_3
is_1,58.0,1,[480],meco_para_3_qa_1 ,meco_para_3
widely_0,167.0,3,"[8, 279, 888]",meco_para_3_qa_1 ,meco_para_3
used_0,54.0,1,[616],meco_para_3_qa_1 ,meco_para_3
by_1,107.0,1,[327],meco_para_3_qa_1 ,meco_para_3
organizations_0,272.0,4,"[281, 404, 416, 686]",meco_para_3_qa_1 ,meco_para_3
which_0,159.0,3,"[442, 553, 600]",meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,[],,meco_para_3
sporting_0,56.0,1,[13],,meco_para_3
competitions._0,270.0,4,"[24, 50, 85, 371]",,meco_para_3
The_2,111.0,2,"[44, 886]",,meco_para_3
use_1,59.0,1,[373],,meco_para_3
of_1,nan,0,[],,meco_para_3
drugs_1,162.0,2,"[374, 619]",,meco_para_3
to_0,nan,0,[],,meco_para_3
enhance_0,392.0,6,"[617, 618, 685, 688, 692, 786]",,meco_para_3
performance_0,600.0,8,"[282, 405, 463, 507, 509, 512, 573, 591]",,meco_para_3
is_2,278.0,4,"[515, 533, 599, 789]",,meco_para_3
