word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
In_0,103.0,1,[166],meco_para_3_qa_1 ,meco_para_3
competitive_0,102.0,1,[127],meco_para_3_qa_1 ,meco_para_3
"sports,_0",74.0,1,[203],meco_para_3_qa_1 ,meco_para_3
doping_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,134.0,2,"[91, 206]",meco_para_3_qa_1 ,meco_para_3
use_0,105.0,1,[335],meco_para_3_qa_1 ,meco_para_3
of_0,202.0,2,"[207, 214]",meco_para_3_qa_1 ,meco_para_3
banned_0,572.0,6,"[40, 43, 92, 227, 285, 286]",meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,175.0,2,"[99, 344]",meco_para_3_qa_1 ,meco_para_3
drugs_0,382.0,3,"[288, 377, 379]",meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitors._0,60.0,1,[125],meco_para_3_qa_1 ,meco_para_3
The_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
term_0,75.0,1,[113],meco_para_3_qa_1 ,meco_para_3
doping_1,281.0,3,"[190, 197, 402]",meco_para_3_qa_1 ,meco_para_3
is_1,71.0,1,[336],meco_para_3_qa_1 ,meco_para_3
widely_0,72.0,1,[200],meco_para_3_qa_1 ,meco_para_3
used_0,189.0,3,"[0, 1, 226]",meco_para_3_qa_1 ,meco_para_3
by_1,71.0,1,[45],meco_para_3_qa_1 ,meco_para_3
organizations_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
which_0,103.0,1,[378],meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,[],,meco_para_3
sporting_0,101.0,1,[128],,meco_para_3
competitions._0,392.0,5,"[23, 30, 94, 164, 196]",,meco_para_3
The_2,316.0,4,"[3, 123, 175, 191]",,meco_para_3
use_1,141.0,2,"[38, 106]",,meco_para_3
of_1,330.0,4,"[10, 109, 119, 462]",,meco_para_3
drugs_1,458.0,5,"[192, 312, 314, 354, 465]",,meco_para_3
to_0,65.0,1,[284],,meco_para_3
enhance_0,272.0,3,"[225, 283, 315]",,meco_para_3
performance_0,522.0,5,"[100, 212, 243, 365, 460]",,meco_para_3
is_2,71.0,1,[267],,meco_para_3
largely_0,150.0,2,"[311, 831]",,meco_para_3
considered_0,nan,0,[],,meco_para_3
"unethical,_0",196.0,2,"[31, 130]",,meco_para_3
and_0,236.0,3,"[93, 104, 198]",,meco_para_3
is_3,457.0,5,"[4, 199, 339, 400, 401]",,meco_para_3
therefore_0,567.0,6,"[105, 114, 124, 338, 340, 403]",,meco_para_3
prohibited_0,855.0,11,"[11, 12, 37, 49, 107, 110, 118, 165, 313, 337, 360]",,meco_para_3
by_2,205.0,3,"[41, 42, 193]",,meco_para_3
most_0,246.0,3,"[458, 517, 527]",,meco_para_3
international_0,452.0,5,"[47, 101, 102, 459, 505]",,meco_para_3
sports_1,296.0,3,"[232, 310, 366]",,meco_para_3
"organizations,_1",385.0,5,"[25, 26, 131, 487, 755]",,meco_para_3
including_0,61.0,1,[24],,meco_para_3
the_3,202.0,2,"[215, 399]",,meco_para_3
International_1,786.0,9,"[9, 29, 103, 341, 382, 397, 404, 480, 752]",,meco_para_3
Olympic_0,385.0,5,"[89, 90, 96, 108, 624]",,meco_para_3
Committee._0,590.0,6,"[16, 122, 194, 466, 518, 528]",,meco_para_3
"Furthermore,_0",834.0,10,"[48, 121, 211, 244, 290, 295, 433, 457, 504, 516]",,meco_para_3
athletes_0,537.0,7,"[230, 242, 268, 296, 309, 318, 832]",,meco_para_3
who_0,487.0,7,"[228, 241, 266, 307, 317, 322, 426]",,meco_para_3
take_0,107.0,1,[132],,meco_para_3
explicit._0,nan,0,[],,meco_para_3
measures_0,134.0,2,"[78, 751]",,meco_para_3
to_1,63.0,1,[27],,meco_para_3
evade_0,479.0,5,"[342, 350, 353, 383, 414]",,meco_para_3
