word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Wine_0,nan,0,[],,meco_para_7
tasting_0,nan,0,[],,meco_para_7
is_0,nan,0,[],,meco_para_7
the_0,nan,0,[],,meco_para_7
sensory_0,206.0,2,"[35, 42]",,meco_para_7
examination_0,168.0,2,"[36, 44]",,meco_para_7
and_0,nan,0,[],,meco_para_7
evaluation_0,136.0,1,[18],,meco_para_7
of_0,273.0,3,"[11, 15, 17]",,meco_para_7
wine._1,102.0,1,[4],,meco_para_7
While_0,203.0,2,"[5, 10]",,meco_para_7
the_1,nan,0,[],,meco_para_7
practice_0,nan,0,[],,meco_para_7
of_1,71.0,1,[117],,meco_para_7
wine_2,nan,0,[],,meco_para_7
tasting_1,67.0,1,[34],,meco_para_7
is_1,nan,0,[],,meco_para_7
as_0,nan,0,[],,meco_para_7
ancient_0,172.0,2,"[57, 62]",,meco_para_7
as__0,nan,0,[],,meco_para_7
its_0,137.0,1,[47],,meco_para_7
"production,_0",236.0,3,"[14, 21, 22]",,meco_para_7
a_0,nan,0,[],,meco_para_7
more_0,70.0,1,[9],,meco_para_7
formalized_0,272.0,3,"[6, 7, 8]",,meco_para_7
methodology_0,nan,0,[],,meco_para_7
has_0,nan,0,[],,meco_para_7
slowly_0,nan,0,[],,meco_para_7
become_0,nan,0,[],,meco_para_7
established_0,239.0,3,"[37, 61, 63]",,meco_para_7
from_0,205.0,2,"[48, 64]",,meco_para_7
the_2,nan,0,[],,meco_para_7
late_0,nan,0,[],,meco_para_7
middle_0,170.0,2,"[12, 13]",,meco_para_7
ages_0,nan,0,[],,meco_para_7
onwards._0,nan,0,[],,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
professional_0,nan,0,[],,meco_para_7
wine_3,nan,0,[],,meco_para_7
tasters_0,nan,0,[],,meco_para_7
use_0,nan,0,[],,meco_para_7
a_1,68.0,1,[68],,meco_para_7
constantly_0,169.0,1,[38],,meco_para_7
evolving_0,102.0,1,[54],,meco_para_7
specialized_0,338.0,3,"[41, 45, 53]",,meco_para_7
terminology_0,nan,0,[],,meco_para_7
which_0,102.0,1,[120],,meco_para_7
is_2,170.0,1,[33],,meco_para_7
used_0,nan,0,[],,meco_para_7
to_0,nan,0,[],,meco_para_7
describe_0,nan,0,[],,meco_para_7
the_3,nan,0,[],,meco_para_7
range_0,68.0,1,[69],,meco_para_7
of_2,nan,0,[],,meco_para_7
perceived_0,272.0,2,"[39, 59]",,meco_para_7
"flavors,_0",170.0,2,"[40, 60]",,meco_para_7
aromas_0,137.0,2,"[26, 49]",,meco_para_7
and__0,238.0,2,"[25, 52]",,meco_para_7
general_0,67.0,1,[27],,meco_para_7
characteristics_0,69.0,1,[30],meco_para_7_qa_0 ,meco_para_7
of_3,nan,0,[],meco_para_7_qa_0 ,meco_para_7
a_2,nan,0,[],meco_para_7_qa_0 ,meco_para_7
wine._4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
In_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
recent_0,69.0,1,[108],meco_para_7_qa_0 ,meco_para_7
"years,_0",137.0,2,"[115, 116]",meco_para_7_qa_0 ,meco_para_7
results_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
challenging_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
the_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
reliability_0,169.0,2,"[50, 51]",meco_para_7_qa_0 ,meco_para_7
of_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
wine_5,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tasting_2,103.0,1,[31],meco_para_7_qa_0 ,meco_para_7
in_1,nan,0,[],meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
both_0,102.0,1,[128],meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
experts_0,nan,0,[],meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
and_1,68.0,1,[119],meco_para_7_qa_0 ,meco_para_7
consumers_0,102.0,1,[2],meco_para_7_qa_0 ,meco_para_7
have_0,66.0,1,[109],meco_para_7_qa_0 ,meco_para_7
surfaced._0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
For_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
"example,_0",136.0,1,[86],meco_para_7_qa_0 ,meco_para_7
studies_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
showed_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
that_0,nan,0,[],,meco_para_7
people_0,102.0,1,[107],,meco_para_7
expect_0,nan,0,[],,meco_para_7
more_1,nan,0,[],,meco_para_7
expensive_0,nan,0,[],,meco_para_7
wine_6,nan,0,[],,meco_para_7
to_1,69.0,1,[110],,meco_para_7
have_1,344.0,3,"[111, 113, 114]",,meco_para_7
more_2,nan,0,[],,meco_para_7
desirable_0,nan,0,[],,meco_para_7
characteristics_1,nan,0,[],,meco_para_7
than_0,nan,0,[],,meco_para_7
less_0,nan,0,[],,meco_para_7
expensive_1,nan,0,[],,meco_para_7
wine:_0,nan,0,[],,meco_para_7
When_0,nan,0,[],,meco_para_7
tasters_1,nan,1,[0],,meco_para_7
are_0,170.0,1,[1],,meco_para_7
given_0,69.0,1,[125],,meco_para_7
wine_7,203.0,2,"[112, 124]",,meco_para_7
that_1,134.0,1,[122],,meco_para_7
they_0,67.0,1,[77],,meco_para_7
are_1,101.0,1,[88],,meco_para_7
falsely_0,nan,0,[],,meco_para_7
told_0,nan,0,[],,meco_para_7
is_3,nan,0,[],,meco_para_7
expensive_2,nan,0,[],,meco_para_7
they_1,nan,0,[],,meco_para_7
virtually_0,nan,0,[],,meco_para_7
always_0,203.0,2,"[78, 129]",,meco_para_7
report_0,nan,0,[],,meco_para_7
it_0,nan,0,[],,meco_para_7
as_1,nan,0,[],,meco_para_7
tasting_3,203.0,2,"[70, 126]",,meco_para_7
better_0,444.0,2,"[71, 104]",,meco_para_7
than_1,168.0,2,"[73, 105]",,meco_para_7
the_5,nan,0,[],,meco_para_7
very_0,nan,0,[],,meco_para_7
same_0,nan,0,[],,meco_para_7
wine_8,67.0,1,[89],,meco_para_7
when_1,68.0,1,[99],,meco_para_7
