word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,nan,0,[],,meco_para_12
plate_0,nan,0,[],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,nan,0,[],,meco_para_12
metal_0,1778.0,4,"[7, 9, 10, 11]",,meco_para_12
or_0,437.0,1,[12],,meco_para_12
plastic_0,430.0,1,[13],,meco_para_12
plate_1,nan,0,[],,meco_para_12
attached_0,nan,0,[],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,nan,0,[],,meco_para_12
purposes._0,nan,0,[],,meco_para_12
All_0,nan,0,[],,meco_para_12
countries_0,562.0,1,[8],,meco_para_12
require_0,nan,0,[],,meco_para_12
registration_1,nan,0,[],,meco_para_12
plates_0,nan,0,[],,meco_para_12
for_1,nan,0,[],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,nan,0,[],,meco_para_12
as_0,nan,0,[],,meco_para_12
"cars,_0",nan,0,[],,meco_para_12
"trucks,and_0",nan,0,[],,meco_para_12
motorcycles._0,nan,0,[],,meco_para_12
Whether_0,440.0,1,[2],,meco_para_12
they_0,nan,0,[],,meco_para_12
are_0,436.0,1,[14],,meco_para_12
required_0,nan,0,[],,meco_para_12
for_2,nan,0,[],,meco_para_12
other_0,nan,0,[],,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,nan,0,[],,meco_para_12
as__0,nan,0,[],,meco_para_12
"bicycles,_0",nan,0,[],,meco_para_12
"boats,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
or_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"tractors,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
may_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
vary_0,448.0,1,[23],meco_para_12_qa_2 ,meco_para_12
by_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
The_0,nan,0,[],,meco_para_12
registration_2,nan,0,[],,meco_para_12
identifier_0,nan,0,[],,meco_para_12
is_1,nan,0,[],,meco_para_12
a_3,nan,0,[],,meco_para_12
series_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
of_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
letters_0,447.0,1,[30],meco_para_12_qa_3 ,meco_para_12
and_0,1779.0,4,"[19, 32, 33, 39]",meco_para_12_qa_3 ,meco_para_12
digits_0,916.0,2,"[20, 38]",meco_para_12_qa_3 ,meco_para_12
that_0,nan,0,[],,meco_para_12
uniquely_0,nan,0,[],,meco_para_12
identifies_0,nan,0,[],,meco_para_12
the_1,nan,0,[],,meco_para_12
vehicle_2,nan,0,[],,meco_para_12
owner_0,nan,0,[],,meco_para_12
within_0,nan,0,[],,meco_para_12
the_2,nan,0,[],,meco_para_12
issuing_0,nan,0,[],,meco_para_12
region's_0,1348.0,3,"[29, 31, 41]",,meco_para_12
vehicle_3,2215.0,5,"[28, 34, 35, 47, 51]",,meco_para_12
register._0,2732.0,6,"[21, 24, 25, 37, 52, 54]",,meco_para_12
In_0,576.0,1,[1],,meco_para_12
some_0,443.0,1,[22],,meco_para_12
"countries,_1",nan,0,[],,meco_para_12
the_3,nan,0,[],,meco_para_12
identifier_1,nan,0,[],,meco_para_12
is_2,nan,0,[],,meco_para_12
unique_0,nan,0,[],,meco_para_12
within_1,nan,0,[],,meco_para_12
the_4,nan,0,[],,meco_para_12
entire_0,nan,0,[],,meco_para_12
"country,_0",440.0,1,[42],,meco_para_12
while_0,3297.0,7,"[16, 43, 46, 48, 49, 50, 58]",,meco_para_12
in_1,477.0,1,[45],,meco_para_12
others_0,877.0,2,"[15, 53]",,meco_para_12
it_0,441.0,1,[26],,meco_para_12
is_3,nan,0,[],,meco_para_12
unique_1,nan,0,[],,meco_para_12
within_2,nan,0,[],,meco_para_12
a_4,nan,0,[],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,nan,0,[],,meco_para_12
province._0,nan,0,[],,meco_para_12
France_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
was_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
the_5,nan,0,[],meco_para_12_qa_0 ,meco_para_12
first_0,894.0,2,"[59, 60]",meco_para_12_qa_0 ,meco_para_12
country_1,436.0,1,[56],meco_para_12_qa_0 ,meco_para_12
to_1,935.0,2,"[55, 57]",meco_para_12_qa_0 ,meco_para_12
introduce_0,438.0,2,"[0, 44]",meco_para_12_qa_0 ,meco_para_12
the_6,nan,0,[],,meco_para_12
registration_3,nan,0,[],,meco_para_12
"plate,_2",nan,0,[],,meco_para_12
in_2,nan,0,[],,meco_para_12
the_7,nan,0,[],,meco_para_12
late_0,nan,0,[],,meco_para_12
nineteenth_0,nan,0,[],,meco_para_12
century._0,nan,0,[],,meco_para_12
Early_0,447.0,1,[74],,meco_para_12
twentieth_0,3198.0,7,"[61, 68, 69, 70, 71, 72, 73]",,meco_para_12
century_1,nan,0,[],,meco_para_12
plates_1,nan,0,[],,meco_para_12
varied_0,nan,0,[],,meco_para_12
in_3,nan,0,[],,meco_para_12
size_0,nan,0,[],,meco_para_12
and_1,nan,0,[],,meco_para_12
shape_0,nan,0,[],,meco_para_12
from_0,nan,0,[],,meco_para_12
one_0,nan,0,[],,meco_para_12
jurisdiction_1,nan,0,[],,meco_para_12
to_2,nan,0,[],,meco_para_12
the_8,nan,0,[],,meco_para_12
"next,_0",nan,0,[],,meco_para_12
such_2,nan,0,[],,meco_para_12
that_1,452.0,1,[67],,meco_para_12
if_0,449.0,1,[63],,meco_para_12
a_5,nan,0,[],,meco_para_12
person_0,nan,0,[],,meco_para_12
"moved,_0",nan,0,[],,meco_para_12
new_0,nan,0,[],,meco_para_12
holes_0,nan,0,[],,meco_para_12
would_0,nan,0,[],,meco_para_12
need_0,nan,0,[],,meco_para_12
to_3,nan,0,[],,meco_para_12
be_0,nan,0,[],,meco_para_12
drilled_0,nan,0,[],,meco_para_12
into_0,nan,0,[],,meco_para_12
the_9,nan,0,[],,meco_para_12
automobile_0,1855.0,4,"[62, 64, 65, 66]",,meco_para_12
to_4,nan,0,[],,meco_para_12
