word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,129.0,1,[42],,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,146.0,1,[41],,meco_para_12
vehiculo_0,381.0,3,"[110, 136, 137]",,meco_para_12
es_0,130.0,1,[114],,meco_para_12
una_0,137.0,1,[115],,meco_para_12
placa_0,251.0,2,"[79, 100]",,meco_para_12
de_1,252.0,2,"[17, 90]",,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,143.0,1,[21],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,nan,0,[],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,258.0,2,"[133, 135]",,meco_para_12
de_2,nan,0,[],,meco_para_12
identificacién_0,386.0,3,"[113, 130, 138]",,meco_para_12
oficial_0,256.0,2,"[89, 99]",,meco_para_12
Todos_0,128.0,1,[16],,meco_para_12
los_0,131.0,1,[91],,meco_para_12
paises_0,128.0,1,[20],,meco_para_12
requieren_0,nan,0,[],,meco_para_12
patentes_0,nan,0,[],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,nan,0,[],,meco_para_12
como_0,126.0,1,[134],,meco_para_12
"autos,_0",nan,0,[],,meco_para_12
camiones_0,256.0,2,"[131, 149]",,meco_para_12
y_0,276.0,2,"[40, 88]",,meco_para_12
motocicletas._0,254.0,2,"[18, 116]",,meco_para_12
Su_0,376.0,3,"[26, 78, 118]",,meco_para_12
 requerimiento_0,384.0,3,"[19, 58, 92]",,meco_para_12
para_1,nan,0,[],,meco_para_12
otros_0,nan,0,[],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,nan,0,[],,meco_para_12
"bicicletas,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
botes_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
o_1,133.0,1,[87],meco_para_12_qa_2 ,meco_para_12
tractores_0,395.0,3,"[98, 109, 139]",meco_para_12_qa_2 ,meco_para_12
puede_0,134.0,1,[24],meco_para_12_qa_2 ,meco_para_12
variar_0,382.0,3,"[15, 117, 129]",meco_para_12_qa_2 ,meco_para_12
por_0,136.0,1,[59],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,125.0,1,[27],meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,nan,0,[],,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,nan,0,[],,meco_para_12
es_1,nan,0,[],,meco_para_12
una_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
serie_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
de_4,nan,0,[],meco_para_12_qa_3 ,meco_para_12
letras_0,134.0,1,[80],meco_para_12_qa_3 ,meco_para_12
o_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,133.0,1,[60],meco_para_12_qa_3 ,meco_para_12
que_0,124.0,1,[168],,meco_para_12
identifican_0,130.0,1,[119],,meco_para_12
Unicamente_0,513.0,4,"[12, 53, 54, 128]",,meco_para_12
al_1,nan,0,[],,meco_para_12
duefio_0,392.0,2,"[55, 95]",,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,nan,0,[],,meco_para_12
vehiculo_2,nan,0,[],,meco_para_12
dentro_0,nan,0,[],,meco_para_12
de_6,nan,0,[],,meco_para_12
la__0,nan,0,[],,meco_para_12
regidn_0,123.0,1,[166],,meco_para_12
del_0,131.0,1,[167],,meco_para_12
registro_1,249.0,2,"[14, 39]",,meco_para_12
del_1,nan,0,[],,meco_para_12
vehiculo._3,nan,0,[],,meco_para_12
En_0,126.0,1,[52],,meco_para_12
algunos_0,nan,0,[],,meco_para_12
"paises,_1",125.0,1,[94],,meco_para_12
