word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,250.0,3,"[18, 173, 489]",,meco_para_12
patente_0,360.0,6,"[19, 56, 116, 255, 419, 472]",,meco_para_12
de_0,62.0,1,[403],,meco_para_12
un_0,146.0,2,"[176, 258]",,meco_para_12
vehiculo_0,584.0,6,"[9, 35, 118, 177, 399, 400]",,meco_para_12
es_0,198.0,3,"[8, 122, 180]",,meco_para_12
una_0,484.0,7,"[25, 63, 123, 124, 408, 422, 464]",,meco_para_12
placa_0,426.0,5,"[64, 67, 69, 92, 466]",,meco_para_12
de_1,377.0,2,"[77, 409]",,meco_para_12
metal_0,195.0,2,"[79, 80]",,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,69.0,1,[54],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,327.0,1,[45],,meco_para_12
con_0,119.0,1,[17],,meco_para_12
el_0,292.0,4,"[114, 141, 174, 217]",,meco_para_12
propdsito_0,478.0,7,"[12, 140, 170, 175, 197, 198, 216]",,meco_para_12
de_2,226.0,4,"[33, 34, 259, 418]",,meco_para_12
identificacién_0,965.0,8,"[32, 61, 169, 178, 179, 181, 229, 407]",,meco_para_12
oficial_0,1072.0,10,"[26, 76, 97, 104, 125, 396, 397, 423, 429, 465]",,meco_para_12
Todos_0,331.0,3,"[38, 126, 467]",,meco_para_12
los_0,241.0,4,"[78, 81, 103, 468]",,meco_para_12
paises_0,81.0,1,[411],,meco_para_12
requieren_0,nan,0,[],,meco_para_12
patentes_0,nan,0,[],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,60.0,1,[250],,meco_para_12
como_0,194.0,3,"[41, 113, 142]",,meco_para_12
"autos,_0",259.0,3,"[227, 249, 491]",,meco_para_12
camiones_0,714.0,10,"[60, 68, 182, 196, 201, 215, 228, 230, 248, 417]",,meco_para_12
y_0,477.0,6,"[31, 139, 195, 214, 231, 404]",,meco_para_12
motocicletas._0,1210.0,12,"[7, 27, 127, 160, 168, 232, 386, 395, 410, 428, 430, 478]",,meco_para_12
Su_0,571.0,6,"[51, 82, 194, 384, 385, 479]",,meco_para_12
 requerimiento_0,529.0,5,"[149, 452, 453, 469, 480]",,meco_para_12
para_1,88.0,1,[102],,meco_para_12
otros_0,nan,0,[],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,183.0,3,"[16, 218, 279]",,meco_para_12
"bicicletas,_0",65.0,1,[15],meco_para_12_qa_2 ,meco_para_12
botes_0,234.0,3,"[14, 225, 226]",meco_para_12_qa_2 ,meco_para_12
o_1,113.0,1,[260],meco_para_12_qa_2 ,meco_para_12
tractores_0,428.0,5,"[74, 143, 183, 376, 406]",meco_para_12_qa_2 ,meco_para_12
puede_0,943.0,9,"[28, 105, 144, 159, 209, 233, 377, 416, 477]",meco_para_12_qa_2 ,meco_para_12
variar_0,896.0,8,"[145, 210, 234, 235, 378, 380, 394, 471]",meco_para_12_qa_2 ,meco_para_12
por_0,690.0,7,"[83, 146, 162, 295, 296, 451, 496]",meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,1026.0,11,"[84, 147, 148, 150, 163, 164, 167, 193, 454, 470, 481]",meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,nan,0,[],,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,230.0,4,"[280, 337, 338, 339]",,meco_para_12
es_1,169.0,3,"[224, 278, 309]",,meco_para_12
una_1,227.0,2,"[112, 340]",meco_para_12_qa_3 ,meco_para_12
serie_0,296.0,4,"[13, 277, 308, 463]",meco_para_12_qa_3 ,meco_para_12
de_4,nan,0,[],meco_para_12_qa_3 ,meco_para_12
letras_0,281.0,4,"[184, 276, 307, 405]",meco_para_12_qa_3 ,meco_para_12
o_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,1148.0,12,"[6, 29, 37, 100, 138, 158, 208, 213, 247, 379, 450, 456]",meco_para_12_qa_3 ,meco_para_12
que_0,420.0,5,"[211, 212, 236, 297, 431]",,meco_para_12
identifican_0,729.0,8,"[128, 136, 137, 246, 382, 387, 415, 455]",,meco_para_12
Unicamente_0,236.0,3,"[165, 166, 482]",,meco_para_12
al_1,nan,0,[],,meco_para_12
duefio_0,nan,0,[],,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,111.0,2,"[281, 362]",,meco_para_12
vehiculo_2,56.0,1,[336],,meco_para_12
dentro_0,113.0,2,"[219, 335]",,meco_para_12
de_6,55.0,1,[475],,meco_para_12
la__0,94.0,1,[502],,meco_para_12
regidn_0,474.0,6,"[36, 202, 207, 261, 432, 503]",,meco_para_12
del_0,62.0,1,[306],,meco_para_12
registro_1,398.0,6,"[5, 50, 106, 135, 294, 392]",,meco_para_12
del_1,80.0,1,[427],,meco_para_12
vehiculo._3,295.0,4,"[151, 192, 298, 299]",,meco_para_12
En_0,124.0,2,"[245, 497]",,meco_para_12
algunos_0,60.0,1,[483],,meco_para_12
"paises,_1",nan,0,[],,meco_para_12
