word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,146.0,1,[7],,meco_para_12
vehicle_0,357.0,3,"[8, 52, 55]",,meco_para_12
registration_0,287.0,3,"[34, 37, 38]",,meco_para_12
plate_0,92.0,1,[66],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,nan,0,[],,meco_para_12
metal_0,53.0,1,[39],,meco_para_12
or_0,nan,0,[],,meco_para_12
plastic_0,144.0,2,"[40, 117]",,meco_para_12
plate_1,nan,0,[],,meco_para_12
attached_0,58.0,1,[150],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,336.0,4,"[6, 33, 56, 127]",,meco_para_12
purposes._0,180.0,3,"[57, 180, 181]",,meco_para_12
All_0,208.0,3,"[48, 59, 62]",,meco_para_12
countries_0,nan,0,[],,meco_para_12
require_0,280.0,2,"[68, 144]",,meco_para_12
registration_1,656.0,6,"[41, 70, 71, 116, 145, 148]",,meco_para_12
plates_0,129.0,2,"[151, 153]",,meco_para_12
for_1,129.0,1,[152],,meco_para_12
road_0,53.0,1,[42],,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,nan,0,[],,meco_para_12
as_0,50.0,1,[121],,meco_para_12
"cars,_0",223.0,2,"[120, 126]",,meco_para_12
"trucks,and_0",667.0,7,"[4, 58, 65, 119, 198, 205, 206]",,meco_para_12
motorcycles._0,491.0,6,"[3, 60, 61, 63, 118, 179]",,meco_para_12
Whether_0,57.0,1,[72],,meco_para_12
they_0,231.0,2,"[47, 69]",,meco_para_12
are_0,nan,0,[],,meco_para_12
required_0,518.0,5,"[146, 149, 154, 159, 240]",,meco_para_12
for_2,52.0,1,[115],,meco_para_12
other_0,138.0,1,[114],,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,444.0,3,"[122, 124, 125]",,meco_para_12
as__0,nan,0,[],,meco_para_12
"bicycles,_0",758.0,5,"[5, 182, 195, 200, 201]",,meco_para_12
"boats,_0",584.0,4,"[196, 199, 207, 208]",meco_para_12_qa_2 ,meco_para_12
or_1,393.0,4,"[64, 128, 129, 210]",meco_para_12_qa_2 ,meco_para_12
"tractors,_0",305.0,2,"[211, 284]",meco_para_12_qa_2 ,meco_para_12
