word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,nan,0,[],,meco_para_12
plate_0,64.0,1,[241],,meco_para_12
is_0,53.0,1,[27],,meco_para_12
a_1,57.0,1,[518],,meco_para_12
metal_0,58.0,1,[552],,meco_para_12
or_0,123.0,2,"[553, 706]",,meco_para_12
plastic_0,83.0,1,[409],,meco_para_12
plate_1,72.0,1,[819],,meco_para_12
attached_0,60.0,1,[224],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,56.0,1,[447],,meco_para_12
purposes._0,291.0,4,"[95, 140, 312, 857]",,meco_para_12
All_0,114.0,2,"[243, 310]",,meco_para_12
countries_0,399.0,6,"[26, 515, 517, 519, 784, 858]",,meco_para_12
require_0,133.0,1,[410],,meco_para_12
registration_1,252.0,4,"[408, 411, 586, 820]",,meco_para_12
plates_0,nan,0,[],,meco_para_12
for_1,nan,0,[],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,125.0,2,"[98, 99]",,meco_para_12
as_0,54.0,1,[97],,meco_para_12
"cars,_0",nan,0,[],,meco_para_12
"trucks,and_0",169.0,3,"[28, 96, 782]",,meco_para_12
motorcycles._0,456.0,6,"[36, 119, 400, 423, 516, 709]",,meco_para_12
Whether_0,435.0,8,"[299, 373, 375, 398, 457, 551, 827, 859]",,meco_para_12
they_0,392.0,4,"[239, 458, 832, 848]",,meco_para_12
are_0,201.0,3,"[412, 826, 847]",,meco_para_12
required_0,151.0,1,[818],,meco_para_12
for_2,nan,0,[],,meco_para_12
other_0,nan,0,[],,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,63.0,1,[565],,meco_para_12
as__0,55.0,1,[566],,meco_para_12
"bicycles,_0",160.0,2,"[12, 364]",,meco_para_12
"boats,_0",161.0,2,"[512, 781]",meco_para_12_qa_2 ,meco_para_12
or_1,367.0,4,"[93, 399, 531, 710]",meco_para_12_qa_2 ,meco_para_12
"tractors,_0",747.0,10,"[35, 41, 42, 305, 313, 395, 396, 513, 682, 789]",meco_para_12_qa_2 ,meco_para_12
may_0,202.0,2,"[699, 838]",meco_para_12_qa_2 ,meco_para_12
vary_0,51.0,1,[128],meco_para_12_qa_2 ,meco_para_12
by_0,332.0,5,"[376, 414, 554, 705, 821]",meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,453.0,7,"[104, 127, 222, 231, 413, 825, 846]",meco_para_12_qa_2 ,meco_para_12
The_0,103.0,2,"[115, 223]",,meco_para_12
registration_2,nan,0,[],,meco_para_12
identifier_0,51.0,1,[680],,meco_para_12
is_1,nan,0,[],,meco_para_12
a_3,51.0,1,[363],,meco_para_12
series_0,493.0,7,"[110, 303, 401, 504, 511, 610, 808]",meco_para_12_qa_3 ,meco_para_12
of_0,124.0,2,"[494, 503]",meco_para_12_qa_3 ,meco_para_12
letters_0,807.0,11,"[34, 40, 304, 309, 397, 455, 510, 514, 530, 788, 790]",meco_para_12_qa_3 ,meco_para_12
and_0,429.0,5,"[43, 424, 698, 715, 737]",meco_para_12_qa_3 ,meco_para_12
digits_0,406.0,6,"[118, 372, 525, 549, 687, 714]",meco_para_12_qa_3 ,meco_para_12
that_0,220.0,4,"[367, 555, 587, 833]",,meco_para_12
uniquely_0,237.0,4,"[225, 230, 368, 817]",,meco_para_12
identifies_0,211.0,3,"[114, 823, 860]",,meco_para_12
the_1,222.0,3,"[116, 117, 229]",,meco_para_12
vehicle_2,nan,0,[],,meco_para_12
owner_0,55.0,1,[419],,meco_para_12
within_0,165.0,2,"[123, 809]",,meco_para_12
the_2,53.0,1,[731],,meco_para_12
issuing_0,860.0,12,"[38, 44, 109, 139, 221, 302, 366, 474, 532, 585, 733, 856]",,meco_para_12
region's_0,872.0,13,"[33, 124, 298, 383, 402, 403, 459, 475, 509, 527, 528, 760, 791]",,meco_para_12
vehicle_3,1148.0,14,"[88, 308, 371, 550, 578, 683, 684, 697, 707, 716, 723, 736, 758, 793]",,meco_para_12
register._0,914.0,11,"[3, 125, 333, 377, 456, 600, 686, 704, 711, 735, 840]",,meco_para_12
In_0,178.0,2,"[378, 816]",,meco_para_12
some_0,144.0,2,"[326, 712]",,meco_para_12
"countries,_1",532.0,6,"[416, 444, 588, 671, 713, 744]",,meco_para_12
the_3,nan,0,[],,meco_para_12
identifier_1,nan,0,[],,meco_para_12
is_2,57.0,1,[294],,meco_para_12
unique_0,484.0,5,"[10, 295, 386, 614, 810]",,meco_para_12
within_1,349.0,6,"[29, 72, 136, 283, 640, 780]",,meco_para_12
the_4,702.0,9,"[11, 32, 79, 362, 392, 492, 505, 639, 649]",,meco_para_12
entire_0,1243.0,16,"[108, 120, 284, 300, 389, 506, 508, 609, 638, 681, 700, 718, 734, 786, 787, 807]",,meco_para_12
"country,_0",509.0,8,"[39, 178, 314, 382, 460, 564, 759, 836]",,meco_para_12
while_0,752.0,12,"[89, 370, 425, 476, 563, 594, 601, 703, 815, 837, 841, 849]",,meco_para_12
in_1,348.0,4,"[2, 577, 598, 822]",,meco_para_12
others_0,414.0,6,"[1, 144, 151, 238, 279, 806]",,meco_para_12
it_0,189.0,3,"[113, 280, 844]",,meco_para_12
is_3,278.0,3,"[107, 325, 843]",,meco_para_12
unique_1,106.0,2,"[228, 824]",,meco_para_12
within_2,134.0,2,"[105, 233]",,meco_para_12
a_4,nan,0,[],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,52.0,1,[678],,meco_para_12
province._0,746.0,10,"[65, 66, 365, 385, 421, 584, 612, 613, 719, 779]",,meco_para_12
France_0,820.0,12,"[13, 61, 121, 387, 441, 540, 542, 544, 548, 557, 615, 650]",meco_para_12_qa_0 ,meco_para_12
was_0,419.0,7,"[60, 78, 80, 137, 384, 391, 507]",meco_para_12_qa_0 ,meco_para_12
the_5,412.0,6,"[84, 138, 330, 493, 702, 835]",meco_para_12_qa_0 ,meco_para_12
first_0,1072.0,15,"[16, 51, 92, 289, 316, 381, 390, 448, 481, 495, 529, 579, 597, 717, 794]",meco_para_12_qa_0 ,meco_para_12
country_1,265.0,3,"[17, 332, 595]",meco_para_12_qa_0 ,meco_para_12
