word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
"sports,_0",nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_0,66.0,1,[9],meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
use_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
of_0,271.0,1,[62],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,506.0,5,"[17, 34, 46, 70, 96]",meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitors._0,308.0,4,"[1, 3, 23, 65]",meco_para_3_qa_1 ,meco_para_3
The_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
term_0,103.0,1,[8],meco_para_3_qa_1 ,meco_para_3
doping_1,224.0,3,"[10, 28, 29]",meco_para_3_qa_1 ,meco_para_3
is_1,70.0,1,[30],meco_para_3_qa_1 ,meco_para_3
widely_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
used_0,136.0,2,"[44, 95]",meco_para_3_qa_1 ,meco_para_3
by_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
organizations_0,244.0,3,"[47, 97, 154]",meco_para_3_qa_1 ,meco_para_3
which_0,66.0,1,[99],meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,[],,meco_para_3
sporting_0,100.0,1,[105],,meco_para_3
competitions._0,376.0,3,"[7, 24, 104]",,meco_para_3
The_2,nan,0,[],,meco_para_3
use_1,67.0,1,[115],,meco_para_3
of_1,nan,0,[],,meco_para_3
drugs_1,376.0,3,"[43, 61, 116]",,meco_para_3
to_0,340.0,3,"[92, 93, 94]",,meco_para_3
enhance_0,69.0,1,[45],,meco_para_3
performance_0,987.0,8,"[33, 49, 74, 98, 121, 136, 137, 155]",,meco_para_3
is_2,69.0,1,[100],,meco_para_3
largely_0,nan,0,[],,meco_para_3
considered_0,305.0,3,"[2, 52, 78]",,meco_para_3
