word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
"sports,_0",199.0,1,[16],meco_para_3_qa_1 ,meco_para_3
doping_0,73.0,1,[25],meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
use_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
of_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitors._0,57.0,1,[23],meco_para_3_qa_1 ,meco_para_3
The_1,76.0,1,[13],meco_para_3_qa_1 ,meco_para_3
term_0,145.0,1,[24],meco_para_3_qa_1 ,meco_para_3
doping_1,103.0,1,[36],meco_para_3_qa_1 ,meco_para_3
is_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
widely_0,65.0,1,[37],meco_para_3_qa_1 ,meco_para_3
used_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
organizations_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
which_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
regulate_0,115.0,2,"[7, 9]",,meco_para_3
sporting_0,125.0,2,"[11, 18]",,meco_para_3
competitions._0,348.0,2,"[12, 17]",,meco_para_3
The_2,289.0,3,"[27, 34, 35]",,meco_para_3
use_1,nan,0,[],,meco_para_3
of_1,nan,0,[],,meco_para_3
drugs_1,nan,0,[],,meco_para_3
to_0,110.0,2,"[38, 95]",,meco_para_3
enhance_0,nan,0,[],,meco_para_3
performance_0,162.0,2,"[58, 131]",,meco_para_3
is_2,100.0,1,[57],,meco_para_3
largely_0,198.0,1,[61],,meco_para_3
considered_0,193.0,2,"[10, 78]",,meco_para_3
"unethical,_0",394.0,2,"[22, 79]",,meco_para_3
and_0,221.0,2,"[118, 158]",,meco_para_3
