word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Wine_0,nan,0,[],,meco_para_7
tasting_0,71.0,1,[6],,meco_para_7
is_0,96.0,1,[5],,meco_para_7
the_0,nan,0,[],,meco_para_7
sensory_0,nan,0,[],,meco_para_7
examination_0,nan,0,[],,meco_para_7
and_0,nan,0,[],,meco_para_7
evaluation_0,nan,0,[],,meco_para_7
of_0,nan,0,[],,meco_para_7
wine._1,nan,0,[],,meco_para_7
While_0,nan,0,[],,meco_para_7
the_1,nan,0,[],,meco_para_7
practice_0,nan,0,[],,meco_para_7
of_1,71.0,1,[7],,meco_para_7
wine_2,156.0,2,"[8, 11]",,meco_para_7
tasting_1,140.0,1,[10],,meco_para_7
is_1,101.0,1,[12],,meco_para_7
as_0,nan,0,[],,meco_para_7
ancient_0,164.0,1,[52],,meco_para_7
as__0,nan,0,[],,meco_para_7
its_0,nan,0,[],,meco_para_7
"production,_0",nan,0,[],,meco_para_7
a_0,nan,0,[],,meco_para_7
more_0,249.0,1,[39],,meco_para_7
formalized_0,nan,0,[],,meco_para_7
methodology_0,613.0,5,"[22, 23, 24, 45, 46]",,meco_para_7
has_0,985.0,5,"[9, 13, 44, 47, 64]",,meco_para_7
slowly_0,465.0,3,"[25, 65, 86]",,meco_para_7
become_0,270.0,2,"[67, 141]",,meco_para_7
established_0,487.0,4,"[28, 53, 69, 70]",,meco_para_7
from_0,61.0,1,[54],,meco_para_7
the_2,nan,0,[],,meco_para_7
late_0,nan,0,[],,meco_para_7
middle_0,nan,0,[],,meco_para_7
ages_0,80.0,1,[20],,meco_para_7
onwards._0,nan,0,[],,meco_para_7
"Modern,_0",67.0,1,[81],,meco_para_7
professional_0,427.0,3,"[63, 83, 85]",,meco_para_7
wine_3,68.0,1,[26],,meco_para_7
tasters_0,361.0,3,"[27, 68, 87]",,meco_para_7
use_0,479.0,4,"[14, 51, 88, 104]",,meco_para_7
a_1,nan,0,[],,meco_para_7
constantly_0,401.0,4,"[55, 72, 73, 105]",,meco_para_7
evolving_0,nan,0,[],,meco_para_7
specialized_0,66.0,1,[38],,meco_para_7
terminology_0,302.0,2,"[21, 43]",,meco_para_7
which_0,179.0,1,[100],,meco_para_7
is_2,111.0,1,[82],,meco_para_7
used_0,316.0,2,"[84, 101]",,meco_para_7
to_0,nan,0,[],,meco_para_7
describe_0,389.0,2,"[49, 66]",,meco_para_7
the_3,69.0,1,[50],,meco_para_7
range_0,nan,0,[],,meco_para_7
of_2,230.0,2,"[71, 89]",,meco_para_7
perceived_0,53.0,1,[91],,meco_para_7
"flavors,_0",484.0,6,"[15, 16, 29, 58, 92, 93]",,meco_para_7
aromas_0,880.0,7,"[33, 35, 37, 40, 78, 79, 128]",,meco_para_7
and__0,142.0,2,"[34, 80]",,meco_para_7
general_0,120.0,1,[172],,meco_para_7
characteristics_0,660.0,3,"[102, 103, 132]",meco_para_7_qa_0 ,meco_para_7
of_3,70.0,1,[179],meco_para_7_qa_0 ,meco_para_7
a_2,161.0,1,[133],meco_para_7_qa_0 ,meco_para_7
wine._4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
In_0,71.0,1,[159],meco_para_7_qa_0 ,meco_para_7
recent_0,159.0,2,"[119, 160]",meco_para_7_qa_0 ,meco_para_7
"years,_0",139.0,1,[189],meco_para_7_qa_0 ,meco_para_7
results_0,356.0,3,"[106, 122, 190]",meco_para_7_qa_0 ,meco_para_7
challenging_0,1147.0,7,"[17, 18, 36, 56, 57, 59, 74]",meco_para_7_qa_0 ,meco_para_7
the_4,174.0,2,"[77, 127]",meco_para_7_qa_0 ,meco_para_7
reliability_0,71.0,1,[129],meco_para_7_qa_0 ,meco_para_7
of_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
wine_5,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tasting_2,nan,0,[],meco_para_7_qa_0 ,meco_para_7
in_1,127.0,1,[154],meco_para_7_qa_0 meco_para_7_qa_1 ,meco_para_7
