word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,73.0,1,[43],meco_para_3_qa_1 ,meco_para_3
"sports,_0",nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_0,123.0,2,"[13, 127]",meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,58.0,1,[44],meco_para_3_qa_1 ,meco_para_3
use_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
of_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
banned_0,612.0,3,"[17, 18, 46]",meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,499.0,5,"[9, 48, 49, 50, 52]",meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,115.0,2,"[40, 42]",meco_para_3_qa_1 ,meco_para_3
competitors._0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
The_1,235.0,1,[26],meco_para_3_qa_1 ,meco_para_3
term_0,68.0,1,[126],meco_para_3_qa_1 ,meco_para_3
doping_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
is_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
widely_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
used_0,68.0,1,[4],meco_para_3_qa_1 ,meco_para_3
by_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
organizations_0,277.0,2,"[19, 22]",meco_para_3_qa_1 ,meco_para_3
which_0,120.0,1,[10],meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,[],,meco_para_3
sporting_0,nan,0,[],,meco_para_3
competitions._0,103.0,1,[67],,meco_para_3
The_2,nan,0,[],,meco_para_3
use_1,68.0,1,[29],,meco_para_3
of_1,195.0,2,"[11, 30]",,meco_para_3
drugs_1,136.0,1,[72],,meco_para_3
to_0,nan,0,[],,meco_para_3
enhance_0,nan,0,[],,meco_para_3
performance_0,778.0,6,"[20, 21, 23, 51, 53, 54]",,meco_para_3
is_2,nan,0,[],,meco_para_3
largely_0,nan,0,[],,meco_para_3
considered_0,nan,0,[],,meco_para_3
"unethical,_0",nan,0,[],,meco_para_3
and_0,54.0,1,[25],,meco_para_3
is_3,nan,0,[],,meco_para_3
therefore_0,314.0,1,[27],,meco_para_3
prohibited_0,136.0,2,"[24, 31]",,meco_para_3
by_2,nan,0,[],,meco_para_3
most_0,nan,0,[],,meco_para_3
international_0,68.0,1,[75],,meco_para_3
sports_1,60.0,1,[58],,meco_para_3
"organizations,_1",nan,0,[],,meco_para_3
including_0,nan,0,[],,meco_para_3
the_3,nan,0,[],,meco_para_3
International_1,62.0,1,[39],,meco_para_3
Olympic_0,67.0,1,[61],,meco_para_3
Committee._0,263.0,4,"[6, 33, 71, 74]",,meco_para_3
"Furthermore,_0",333.0,4,"[34, 35, 60, 76]",,meco_para_3
athletes_0,236.0,3,"[59, 64, 65]",,meco_para_3
who_0,nan,0,[],,meco_para_3
take_0,67.0,1,[88],,meco_para_3
explicit._0,58.0,1,[90],,meco_para_3
measures_0,nan,0,[],,meco_para_3
to_1,nan,0,[],,meco_para_3
evade_0,nan,0,[],,meco_para_3
detection_0,164.0,2,"[69, 100]",,meco_para_3
exacerbate_0,64.0,1,[70],,meco_para_3
the_4,62.0,1,[62],,meco_para_3
ethical_0,66.0,2,"[0, 63]",,meco_para_3
