word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,173.0,3,"[13, 123, 1321]",,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,64.0,1,[122],,meco_para_11
Conservation_0,1075.0,12,"[82, 83, 84, 135, 174, 196, 212, 1260, 1303, 1323, 1326, 1353]",,meco_para_11
of_0,402.0,4,"[195, 209, 607, 1324]",,meco_para_11
Nature_0,1171.0,9,"[128, 148, 177, 540, 541, 581, 635, 834, 1244]",,meco_para_11
is_0,353.0,5,"[134, 173, 659, 833, 1259]",,meco_para_11
an__0,279.0,5,"[79, 172, 178, 1252, 1272]",meco_para_11_qa_0 ,meco_para_11
international_1,1431.0,10,"[78, 179, 199, 655, 1097, 1249, 1283, 1340, 1347, 1373]",meco_para_11_qa_0 ,meco_para_11
organization_0,126.0,2,"[928, 1389]",meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,180.0,1,[1295],,meco_para_11
the_1,178.0,2,"[113, 1294]",,meco_para_11
field_0,357.0,3,"[640, 1320, 1356]",,meco_para_11
of_1,167.0,3,"[112, 641, 1296]",,meco_para_11
nature_1,327.0,4,"[14, 86, 111, 175]",,meco_para_11
conservation_1,1240.0,14,"[85, 87, 121, 124, 137, 149, 150, 205, 207, 208, 238, 636, 1291, 1327]",,meco_para_11
and_0,1772.0,17,"[45, 46, 49, 109, 138, 151, 176, 204, 227, 373, 582, 634, 661, 1065, 1066, 1325, 1403]",,meco_para_11
the_2,1338.0,12,"[37, 125, 127, 139, 369, 649, 664, 829, 832, 1258, 1307, 1368]",,meco_para_11
sustainable_0,3213.0,27,"[39, 146, 187, 338, 539, 577, 578, 579, 580, 628, 650, 651, 657, 933, 1168, 1169, 1178, 1179, 1243, 1253, 1282, 1285, 1339, 1341, 1370, 1374, 1399]",,meco_para_11
use_0,743.0,8,"[142, 143, 611, 652, 1177, 1342, 1375, 1384]",,meco_para_11
of_2,874.0,7,"[181, 350, 653, 878, 931, 938, 1343]",,meco_para_11
natural_0,1003.0,9,"[182, 261, 504, 876, 877, 929, 1099, 1388, 1398]",,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,nan,0,[],,meco_para_11
is_1,128.0,2,"[115, 1293]",,meco_para_11
involved_0,177.0,3,"[116, 639, 1319]",,meco_para_11
in_1,354.0,4,"[225, 1328, 1329, 1357]",,meco_para_11
data_0,544.0,8,"[15, 118, 224, 226, 637, 1318, 1330, 1358]",,meco_para_11
gathering_0,2308.0,18,"[8, 16, 47, 48, 50, 72, 73, 88, 213, 217, 218, 222, 239, 606, 1064, 1331, 1332, 1352]",,meco_para_11
and_1,860.0,11,"[74, 120, 161, 237, 633, 869, 870, 1067, 1336, 1351, 1402]",,meco_para_11
"analysis,_0",2762.0,22,"[24, 35, 36, 44, 63, 64, 65, 368, 374, 542, 648, 662, 663, 830, 1180, 1257, 1262, 1290, 1308, 1338, 1348, 1349]",,meco_para_11
"research,_0",3965.0,29,"[43, 66, 77, 126, 144, 145, 152, 334, 336, 337, 341, 342, 366, 367, 371, 372, 627, 629, 665, 667, 1242, 1254, 1271, 1281, 1309, 1314, 1367, 1379, 1405]",,meco_para_11
field_1,1555.0,13,"[40, 67, 69, 571, 932, 939, 1096, 1176, 1310, 1313, 1371, 1378, 1406]",,meco_para_11
"projects,_0",2186.0,18,"[42, 68, 155, 228, 262, 332, 343, 538, 612, 668, 675, 930, 936, 937, 1311, 1312, 1393, 1396]",,meco_para_11
"advocacy,_0",nan,0,[],,meco_para_11
and_2,nan,0,[],,meco_para_11
education._0,56.0,1,[1062],,meco_para_11
Its_0,140.0,2,"[97, 1359]",,meco_para_11
mission_0,176.0,3,"[219, 683, 1302]",,meco_para_11
is_2,186.0,3,"[7, 220, 1335]",,meco_para_11
to_0,452.0,4,"[214, 221, 234, 235]",,meco_para_11
"‘influence,_0",1484.0,15,"[75, 119, 160, 215, 216, 236, 605, 632, 867, 868, 1181, 1263, 1289, 1333, 1350]",,meco_para_11
encourage_0,2617.0,22,"[17, 22, 34, 76, 107, 153, 254, 335, 364, 370, 543, 828, 866, 872, 940, 1167, 1170, 1171, 1174, 1270, 1288, 1407]",,meco_para_11
and_3,1445.0,14,"[25, 61, 154, 203, 255, 339, 340, 418, 420, 421, 1165, 1175, 1286, 1315]",,meco_para_11
