word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,177.0,3,"[97, 113, 307]",,meco_para_11
International_0,991.0,15,"[16, 101, 144, 148, 303, 403, 434, 470, 571, 601, 613, 614, 615, 700, 742]",,meco_para_11
Union_0,100.0,2,"[130, 372]",,meco_para_11
for_0,186.0,3,"[11, 442, 606]",,meco_para_11
Conservation_0,619.0,8,"[96, 362, 605, 637, 644, 666, 674, 723]",,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,[],meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
working_0,438.0,6,"[94, 103, 437, 569, 570, 603]",,meco_para_11
in_0,187.0,3,"[74, 139, 146]",,meco_para_11
the_1,197.0,3,"[71, 405, 455]",,meco_para_11
field_0,462.0,7,"[15, 88, 89, 140, 401, 607, 743]",,meco_para_11
of_1,233.0,3,"[17, 135, 669]",,meco_para_11
nature_1,416.0,5,"[13, 117, 361, 373, 374]",,meco_para_11
conservation_1,444.0,5,"[40, 276, 288, 363, 662]",,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,69.0,1,[672],,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,1876.0,13,"[8, 73, 76, 100, 308, 309, 351, 409, 432, 585, 720, 728, 740]",,meco_para_11
It_0,389.0,5,"[75, 116, 381, 556, 634]",,meco_para_11
is_1,314.0,4,"[70, 111, 457, 635]",,meco_para_11
involved_0,717.0,11,"[10, 14, 87, 145, 366, 371, 451, 454, 544, 643, 699]",,meco_para_11
in_1,173.0,3,"[193, 360, 468]",,meco_para_11
data_0,288.0,5,"[18, 365, 469, 609, 703]",,meco_para_11
gathering_0,374.0,5,"[277, 287, 663, 665, 727]",,meco_para_11
and_1,170.0,2,"[19, 636]",,meco_para_11
"analysis,_0",72.0,1,[671],,meco_para_11
"research,_0",nan,0,[],,meco_para_11
field_1,nan,0,[],,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",966.0,14,"[24, 27, 104, 109, 110, 115, 352, 353, 407, 431, 568, 577, 627, 628]",,meco_para_11
and_2,495.0,8,"[52, 72, 138, 402, 438, 583, 586, 626]",,meco_para_11
education._0,1224.0,18,"[28, 60, 124, 127, 133, 198, 367, 440, 450, 453, 456, 543, 554, 555, 572, 580, 581, 702]",,meco_para_11
Its_0,1520.0,8,"[29, 55, 56, 298, 598, 675, 704, 735]",,meco_para_11
mission_0,581.0,9,"[91, 118, 123, 292, 297, 364, 461, 483, 698]",,meco_para_11
is_2,50.0,1,[121],,meco_para_11
to_0,195.0,3,"[39, 207, 208]",,meco_para_11
"‘influence,_0",430.0,7,"[206, 278, 285, 638, 670, 724, 726]",,meco_para_11
encourage_0,451.0,6,"[20, 23, 157, 203, 204, 205]",,meco_para_11
and_3,nan,0,[],,meco_para_11
assist_0,nan,0,[],,meco_para_11
societies_0,55.0,1,[651],,meco_para_11
throughout_0,1038.0,16,"[51, 93, 105, 108, 132, 382, 430, 563, 564, 566, 567, 578, 587, 629, 632, 719]",meco_para_11_qa_2 ,meco_para_11
the_3,108.0,2,"[126, 623]",meco_para_11_qa_2 ,meco_para_11
world_0,650.0,7,"[53, 67, 324, 487, 520, 608, 624]",meco_para_11_qa_2 ,meco_para_11
to_1,561.0,9,"[59, 83, 294, 295, 449, 560, 625, 781, 782]",meco_para_11_qa_2 ,meco_para_11
conserve_0,2157.0,19,"[30, 54, 86, 120, 192, 293, 296, 299, 359, 369, 378, 460, 474, 475, 521, 522, 530, 688, 734]",meco_para_11_qa_2 ,meco_para_11
nature_2,1091.0,12,"[31, 41, 92, 194, 247, 286, 291, 379, 390, 525, 694, 695]",meco_para_11_qa_2 ,meco_para_11
and_4,499.0,8,"[43, 119, 275, 284, 290, 459, 693, 725]",meco_para_11_qa_2 ,meco_para_11
to_2,70.0,1,[458],meco_para_11_qa_2 ,meco_para_11
ensure_0,121.0,2,"[209, 210]",meco_para_11_qa_2 ,meco_para_11
that_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
any_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
use_1,138.0,2,"[242, 751]",meco_para_11_qa_2 ,meco_para_11
of_3,77.0,1,[241],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,638.0,8,"[25, 312, 350, 383, 406, 579, 588, 718]",meco_para_11_qa_2 ,meco_para_11
is_3,334.0,5,"[26, 356, 565, 575, 647]",meco_para_11_qa_2 ,meco_para_11
equitable_0,823.0,13,"[49, 58, 61, 68, 69, 177, 358, 410, 428, 465, 533, 574, 783]",meco_para_11_qa_2 ,meco_para_11
and_5,503.0,9,"[48, 57, 323, 325, 481, 493, 557, 676, 780]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,4682.0,25,"[84, 195, 253, 254, 300, 319, 370, 412, 415, 486, 519, 526, 528, 529, 559, 689, 696, 733, 736, 737, 750, 774, 789, 805, 806]",meco_para_11_qa_2 ,meco_para_11
