word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Ein_0,272.0,3,"[37, 40, 51]",,meco_para_12
Fahrzeugkennzeichen_0,136.0,2,"[39, 56]",,meco_para_12
ist_0,nan,0,[],,meco_para_12
ein_1,nan,0,[],,meco_para_12
Metall-_0,nan,0,[],,meco_para_12
oder_0,nan,0,[],,meco_para_12
"Kunststoffschild,_0",300.0,4,"[13, 23, 43, 60]",,meco_para_12
das_0,nan,0,[],,meco_para_12
zur_0,nan,0,[],,meco_para_12
 amtlichen_0,nan,0,[],,meco_para_12
Identifizierung_0,236.0,2,"[21, 38]",,meco_para_12
an_0,nan,0,[],,meco_para_12
einem_0,nan,0,[],,meco_para_12
Fahrzeug_0,nan,0,[],,meco_para_12
angebracht_0,nan,0,[],,meco_para_12
ist._1,nan,0,[],,meco_para_12
In_0,383.0,3,"[27, 42, 46]",,meco_para_12
allen_0,102.0,1,[61],,meco_para_12
 Landern’_0,69.0,1,[17],,meco_para_12
sind_0,nan,0,[],,meco_para_12
solche_0,nan,0,[],,meco_para_12
Kennzeichen_0,nan,0,[],,meco_para_12
fiir_0,69.0,1,[55],,meco_para_12
Stra&enfahrzeuge_0,69.0,1,[57],,meco_para_12
wie_0,nan,0,[],,meco_para_12
"Autos,_0",nan,0,[],,meco_para_12
Lastwagen_0,368.0,3,"[3, 24, 31]",,meco_para_12
und_0,303.0,3,"[30, 33, 44]",,meco_para_12
Motorrader_0,139.0,2,"[18, 36]",,meco_para_12
erforderlich._0,73.0,1,[49],,meco_para_12
Ob_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
sie_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
fir_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
andere_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
Fahrzeuge_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
wie_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"Fahrrader,_0",271.0,4,"[4, 58, 59, 85]",meco_para_12_qa_2 ,meco_para_12
Boote_0,424.0,6,"[2, 5, 6, 25, 26, 32]",meco_para_12_qa_2 ,meco_para_12
oder_1,370.0,4,"[28, 34, 45, 62]",meco_para_12_qa_2 ,meco_para_12
Traktoren’_0,204.0,2,"[29, 35]",meco_para_12_qa_2 ,meco_para_12
erforderlich_1,67.0,1,[48],meco_para_12_qa_2 ,meco_para_12
—_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"sind,_1",nan,0,[],meco_para_12_qa_2 ,meco_para_12
kann_0,68.0,1,[76],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
je_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
nach_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Rechtssprechung_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
variieren._0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Die_0,69.0,1,[101],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
 Registrierungskennung_0,338.0,4,"[41, 63, 66, 91]",meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
besteht_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
aus_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
einer_0,nan,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12
Reihe_0,67.0,1,[77],meco_para_12_qa_3 ,meco_para_12
von_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
 Buchstaben_0,65.0,1,[54],meco_para_12_qa_3 ,meco_para_12
und_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
"Ziffern,_0",67.0,1,[100],meco_para_12_qa_3 ,meco_para_12
die_1,nan,0,[],meco_para_12_qa_3 ,meco_para_12
den_0,68.0,1,[86],meco_para_12_qa_3 ,meco_para_12
 Fahrzeughalter_0,547.0,4,"[65, 105, 106, 114]",meco_para_12_qa_3 ,meco_para_12
eindeutig_0,748.0,8,"[68, 73, 88, 89, 90, 92, 94, 113]",meco_para_12_qa_3 ,meco_para_12
im_0,238.0,3,"[69, 72, 129]",meco_para_12_qa_3 ,meco_para_12
Fahrzeugregister_0,203.0,3,"[74, 97, 131]",meco_para_12_qa_3 ,meco_para_12
der_0,136.0,2,"[79, 98]",meco_para_12_qa_3 ,meco_para_12
ausstellenden_0,68.0,1,[84],meco_para_12_qa_3 ,meco_para_12
Behdrde_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
 identifiziert._0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
In_1,56.0,1,[1],meco_para_12_qa_3 ,meco_para_12
 einigen_0,579.0,6,"[87, 104, 107, 108, 111, 112]",meco_para_12_qa_3 ,meco_para_12
Landern_0,372.0,3,"[70, 102, 103]",meco_para_12_qa_3 ,meco_para_12
ist_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
die_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Kennung_0,135.0,2,"[120, 130]",meco_para_12_qa_3 ,meco_para_12
innerhalb_0,406.0,4,"[78, 81, 121, 122]",meco_para_12_qa_3 ,meco_para_12
des_0,342.0,4,"[52, 80, 82, 83]",meco_para_12_qa_3 ,meco_para_12
gesamten_0,138.0,2,"[99, 167]",meco_para_12_qa_3 ,meco_para_12
Landes_0,276.0,2,"[7, 132]",meco_para_12_qa_3 ,meco_para_12
"einzigartig,_0",304.0,3,"[133, 134, 184]",meco_para_12_qa_3 ,meco_para_12
wahrend_0,576.0,4,"[109, 110, 115, 138]",meco_para_12_qa_3 ,meco_para_12
sie_1,101.0,1,[137],meco_para_12_qa_3 ,meco_para_12
dies_0,102.0,1,[71],meco_para_12_qa_3 ,meco_para_12
in_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
anderen_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
Landern_1,204.0,3,"[118, 119, 179]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
nur_0,306.0,2,"[123, 180]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
innerhalb_1,239.0,3,"[127, 128, 147]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
eines_0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
Staates_0,68.0,1,[181],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
oder_2,204.0,1,[151],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
einer_1,103.0,1,[152],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
Provinz_0,578.0,4,"[135, 139, 153, 185]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
ist._3,102.0,1,[141],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
Frankreich_0,306.0,3,"[159, 160, 161]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
war_0,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
das_1,nan,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
erste_0,170.0,2,"[116, 164]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
"Land,_0",305.0,3,"[124, 145, 197]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
das_2,209.0,2,"[146, 165]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12
