word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
A_0,nan,0,[],,meco_para_12
vehicle_0,nan,0,[],,meco_para_12
registration_0,67.0,1,[2],,meco_para_12
plate_0,69.0,1,[29],,meco_para_12
is_0,nan,0,[],,meco_para_12
a_1,nan,0,[],,meco_para_12
metal_0,144.0,2,"[21, 27]",,meco_para_12
or_0,204.0,1,[26],,meco_para_12
plastic_0,273.0,3,"[16, 19, 22]",,meco_para_12
plate_1,nan,0,[],,meco_para_12
attached_0,nan,0,[],,meco_para_12
to_0,nan,0,[],,meco_para_12
a_2,nan,0,[],,meco_para_12
vehicle_1,nan,0,[],,meco_para_12
for_0,nan,0,[],,meco_para_12
officialidentification_0,238.0,3,"[3, 70, 91]",,meco_para_12
purposes._0,nan,0,[],,meco_para_12
All_0,nan,0,[],,meco_para_12
countries_0,341.0,3,"[11, 12, 25]",,meco_para_12
require_0,nan,0,[],,meco_para_12
registration_1,137.0,2,"[10, 18]",,meco_para_12
plates_0,67.0,1,[33],,meco_para_12
for_1,nan,0,[],,meco_para_12
road_0,nan,0,[],,meco_para_12
vehicles_0,nan,0,[],,meco_para_12
such_0,69.0,1,[71],,meco_para_12
as_0,nan,0,[],,meco_para_12
"cars,_0",102.0,1,[112],,meco_para_12
"trucks,and_0",101.0,1,[102],,meco_para_12
motorcycles._0,nan,0,[],,meco_para_12
Whether_0,nan,0,[],,meco_para_12
they_0,nan,1,[0],,meco_para_12
are_0,nan,0,[],,meco_para_12
required_0,nan,0,[],,meco_para_12
for_2,nan,0,[],,meco_para_12
other_0,nan,0,[],,meco_para_12
"vehicles,_1",nan,0,[],,meco_para_12
such_1,70.0,1,[69],,meco_para_12
as__0,nan,0,[],,meco_para_12
"bicycles,_0",68.0,1,[113],,meco_para_12
"boats,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
or_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"tractors,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
may_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
vary_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
by_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiction._0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
The_0,nan,0,[],,meco_para_12
registration_2,nan,0,[],,meco_para_12
identifier_0,172.0,2,"[63, 82]",,meco_para_12
is_1,nan,0,[],,meco_para_12
a_3,135.0,1,[122],,meco_para_12
series_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
of_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
letters_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
and_0,nan,0,[],meco_para_12_qa_3 ,meco_para_12
digits_0,67.0,1,[32],meco_para_12_qa_3 ,meco_para_12
that_0,nan,0,[],,meco_para_12
uniquely_0,nan,0,[],,meco_para_12
identifies_0,nan,0,[],,meco_para_12
the_1,nan,0,[],,meco_para_12
vehicle_2,nan,0,[],,meco_para_12
owner_0,nan,0,[],,meco_para_12
within_0,205.0,3,"[72, 84, 114]",,meco_para_12
the_2,68.0,1,[121],,meco_para_12
issuing_0,65.0,1,[115],,meco_para_12
region's_0,nan,0,[],,meco_para_12
vehicle_3,nan,0,[],,meco_para_12
register._0,nan,0,[],,meco_para_12
In_0,nan,0,[],,meco_para_12
some_0,nan,0,[],,meco_para_12
"countries,_1",nan,0,[],,meco_para_12
the_3,nan,0,[],,meco_para_12
identifier_1,nan,0,[],,meco_para_12
is_2,nan,0,[],,meco_para_12
unique_0,374.0,3,"[42, 62, 64]",,meco_para_12
within_1,136.0,1,[45],,meco_para_12
the_4,68.0,1,[41],,meco_para_12
entire_0,nan,0,[],,meco_para_12
"country,_0",273.0,3,"[136, 139, 140]",,meco_para_12
while_0,67.0,1,[161],,meco_para_12
in_1,96.0,1,[154],,meco_para_12
others_0,nan,0,[],,meco_para_12
it_0,nan,0,[],,meco_para_12
is_3,nan,0,[],,meco_para_12
unique_1,nan,0,[],,meco_para_12
within_2,nan,0,[],,meco_para_12
a_4,nan,0,[],,meco_para_12
state_0,nan,0,[],,meco_para_12
or_2,nan,0,[],,meco_para_12
province._0,679.0,6,"[53, 65, 74, 75, 123, 124]",,meco_para_12
France_0,751.0,5,"[43, 44, 52, 106, 107]",meco_para_12_qa_0 ,meco_para_12
was_0,69.0,1,[141],meco_para_12_qa_0 ,meco_para_12
the_5,100.0,1,[85],meco_para_12_qa_0 ,meco_para_12
first_0,170.0,1,[162],meco_para_12_qa_0 ,meco_para_12
country_1,709.0,4,"[137, 152, 153, 157]",meco_para_12_qa_0 ,meco_para_12
to_1,104.0,1,[155],meco_para_12_qa_0 ,meco_para_12
introduce_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
the_6,nan,0,[],,meco_para_12
registration_3,nan,0,[],,meco_para_12
"plate,_2",nan,0,[],,meco_para_12
in_2,nan,0,[],,meco_para_12
the_7,nan,0,[],,meco_para_12
late_0,nan,0,[],,meco_para_12
nineteenth_0,820.0,6,"[76, 92, 94, 95, 116, 117]",,meco_para_12
century._0,424.0,5,"[73, 128, 131, 132, 142]",,meco_para_12
Early_0,818.0,7,"[133, 134, 144, 163, 164, 165, 168]",,meco_para_12
twentieth_0,513.0,5,"[135, 138, 151, 156, 167]",,meco_para_12
century_1,nan,0,[],,meco_para_12
plates_1,nan,0,[],,meco_para_12
varied_0,nan,0,[],,meco_para_12
in_3,nan,0,[],,meco_para_12
size_0,nan,0,[],,meco_para_12
and_1,nan,0,[],,meco_para_12
shape_0,102.0,1,[54],,meco_para_12
from_0,137.0,2,"[47, 51]",,meco_para_12
one_0,614.0,5,"[77, 88, 127, 129, 146]",,meco_para_12
jurisdiction_1,889.0,8,"[86, 97, 118, 119, 127, 130, 145, 149]",,meco_para_12
to_2,nan,0,[],,meco_para_12
the_8,205.0,3,"[120, 159, 169]",,meco_para_12
"next,_0",nan,0,[],,meco_para_12
such_2,nan,0,[],,meco_para_12
that_1,nan,0,[],,meco_para_12
if_0,nan,0,[],,meco_para_12
a_5,nan,0,[],,meco_para_12
person_0,nan,0,[],,meco_para_12
"moved,_0",nan,0,[],,meco_para_12
new_0,nan,0,[],,meco_para_12
holes_0,169.0,1,[55],,meco_para_12
would_0,236.0,2,"[46, 87]",,meco_para_12
need_0,203.0,2,"[93, 108]",,meco_para_12
to_3,608.0,4,"[67, 89, 96, 150]",,meco_para_12
