word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,nan,0,[],,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,[],meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
working_0,95.0,1,[6],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,nan,0,[],,meco_para_11
conservation_1,238.0,1,[22],,meco_para_11
and_0,94.0,1,[23],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,nan,0,[],,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,nan,0,[],,meco_para_11
natural_0,nan,0,[],,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,nan,0,[],,meco_para_11
is_1,nan,0,[],,meco_para_11
involved_0,189.0,1,[31],,meco_para_11
in_1,381.0,2,"[41, 43]",,meco_para_11
data_0,475.0,3,"[21, 33, 42]",,meco_para_11
gathering_0,95.0,1,[34],,meco_para_11
and_1,142.0,1,[12],,meco_para_11
"analysis,_0",nan,0,[],,meco_para_11
"research,_0",nan,0,[],,meco_para_11
field_1,nan,0,[],,meco_para_11
"projects,_0",nan,0,[],,meco_para_11
"advocacy,_0",nan,0,[],,meco_para_11
and_2,nan,0,[],,meco_para_11
education._0,nan,0,[],,meco_para_11
Its_0,92.0,1,[44],,meco_para_11
mission_0,805.0,2,"[52, 53]",,meco_para_11
is_2,95.0,1,[54],,meco_para_11
to_0,nan,0,[],,meco_para_11
"‘influence,_0",190.0,2,"[15, 56]",,meco_para_11
encourage_0,95.0,1,[37],,meco_para_11
and_3,386.0,2,"[25, 58]",,meco_para_11
assist_0,nan,0,[],,meco_para_11
societies_0,189.0,1,[17],,meco_para_11
throughout_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
world_0,236.0,2,"[29, 40]",meco_para_11_qa_2 ,meco_para_11
to_1,472.0,1,[51],meco_para_11_qa_2 ,meco_para_11
conserve_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
nature_2,188.0,2,"[11, 14]",meco_para_11_qa_2 ,meco_para_11
and_4,96.0,1,[55],meco_para_11_qa_2 ,meco_para_11
to_2,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ensure_0,426.0,1,[16],meco_para_11_qa_2 ,meco_para_11
that_0,144.0,1,[57],meco_para_11_qa_2 ,meco_para_11
any_0,188.0,1,[38],meco_para_11_qa_2 ,meco_para_11
use_1,95.0,1,[39],meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,[],meco_para_11_qa_2 ,meco_para_11
resources_1,521.0,3,"[28, 48, 64]",meco_para_11_qa_2 ,meco_para_11
is_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
equitable_0,195.0,2,"[47, 50]",meco_para_11_qa_2 ,meco_para_11
and_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ecologically_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
sustainable’._0,141.0,1,[62],meco_para_11_qa_2 ,meco_para_11
Over_0,96.0,1,[69],meco_para_11_qa_2 ,meco_para_11
the_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
past_0,94.0,1,[46],meco_para_11_qa_2 ,meco_para_11
"decades,_0",nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
organization_1,483.0,4,"[18, 26, 27, 49]",,meco_para_11
has_0,187.0,1,[65],,meco_para_11
widened_0,93.0,1,[66],,meco_para_11
its_1,142.0,1,[8],,meco_para_11
focus_0,nan,0,[],,meco_para_11
beyond_0,nan,0,[],,meco_para_11
conservation_2,284.0,2,"[61, 68]",,meco_para_11
ecology_0,nan,0,[],,meco_para_11
and_6,nan,0,[],,meco_para_11
now_0,nan,0,[],,meco_para_11
incorporates_0,nan,0,[],,meco_para_11
issues_0,nan,0,[],,meco_para_11
related_0,237.0,2,"[19, 71]",,meco_para_11
to_3,nan,0,[],,meco_para_11
sustainable_1,289.0,2,"[4, 9]",,meco_para_11
development_0,430.0,4,"[3, 10, 67, 93]",,meco_para_11
in_2,nan,0,[],,meco_para_11
its_2,143.0,1,[89],,meco_para_11
projects._1,306.0,2,"[91, 92]",,meco_para_11
Unlike_0,nan,0,[],,meco_para_11
many_0,nan,0,[],,meco_para_11
other_0,187.0,1,[82],,meco_para_11
international_2,190.0,2,"[59, 72]",,meco_para_11
environmental_0,nan,0,[],,meco_para_11
"organizations,_0",nan,0,[],,meco_para_11
it_1,57.0,1,[2],,meco_para_11
does_0,148.0,2,"[1, 88]",,meco_para_11
not_0,nan,0,[],,meco_para_11
aim_0,nan,0,[],,meco_para_11
to_4,nan,0,[],,meco_para_11
mobilize_0,94.0,1,[103],,meco_para_11
the_6,nan,0,[],,meco_para_11
public_0,nan,0,[],,meco_para_11
in_3,nan,0,[],,meco_para_11
support_0,235.0,1,[73],,meco_para_11
of_4,nan,0,[],,meco_para_11
nature_3,nan,0,[],,meco_para_11
conservation._3,nan,0,[],,meco_para_11
"Instead,_0",nan,0,[],,meco_para_11
the_7,274.0,2,"[75, 87]",,meco_para_11
organization_2,378.0,2,"[76, 101]",,meco_para_11
tries_0,189.0,1,[100],,meco_para_11
to_5,190.0,2,"[80, 102]",,meco_para_11
influence_0,nan,0,[],,meco_para_11
the_8,nan,0,[],,meco_para_11
actions_0,95.0,1,[60],,meco_para_11
of_5,nan,0,[],,meco_para_11
"governments,_0",nan,0,[],,meco_para_11
business_0,nan,0,[],,meco_para_11
and_7,330.0,1,[86],,meco_para_11
other_1,nan,0,[],,meco_para_11
stakeholders_0,50.0,1,[95],,meco_para_11
by_0,470.0,3,"[77, 79, 96]",,meco_para_11
providing_0,95.0,1,[99],,meco_para_11
information_0,nan,0,[],,meco_para_11
and_8,nan,0,[],,meco_para_11
"advice,_0",nan,0,[],,meco_para_11
and_9,94.0,1,[105],,meco_para_11
through_0,196.0,1,[84],,meco_para_11
building_0,100.0,2,"[85, 116]",,meco_para_11
partnerships._0,nan,0,[],,meco_para_11
The_9,96.0,1,[108],,meco_para_11
organization_3,759.0,3,"[0, 78, 98]",,meco_para_11
is_4,304.0,2,"[97, 109]",,meco_para_11
best_0,274.0,1,[110],,meco_para_11
known_0,nan,0,[],,meco_para_11
to_6,nan,0,[],,meco_para_11
the_10,nan,0,[],,meco_para_11
wider_0,nan,0,[],,meco_para_11
public_1,95.0,1,[120],,meco_para_11
for_1,142.0,1,[94],,meco_para_11
compiling_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
and_10,nan,0,[],meco_para_11_qa_3 ,meco_para_11
publishing_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
