word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,nan,0,[],,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,169.0,2,"[60, 104]",,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,237.0,3,"[85, 100, 326]",,meco_para_12
placa_0,239.0,3,"[42, 43, 44]",,meco_para_12
de_1,208.0,2,"[13, 106]",,meco_para_12
metal_0,166.0,2,"[11, 419]",,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,225.0,3,"[20, 41, 88]",,meco_para_12
fijada_0,68.0,1,[21],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,68.0,1,[22],,meco_para_12
con_0,nan,0,[],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,nan,0,[],,meco_para_12
de_2,nan,0,[],,meco_para_12
identificacién_0,205.0,3,"[101, 103, 420]",,meco_para_12
oficial_0,614.0,6,"[7, 63, 105, 137, 340, 363]",,meco_para_12
Todos_0,475.0,3,"[84, 86, 368]",,meco_para_12
los_0,172.0,2,"[14, 28]",,meco_para_12
paises_0,576.0,6,"[19, 29, 50, 76, 87, 89]",,meco_para_12
requieren_0,507.0,7,"[18, 34, 51, 73, 74, 321, 322]",,meco_para_12
patentes_0,440.0,5,"[52, 53, 72, 79, 308]",,meco_para_12
para_0,239.0,3,"[23, 348, 349]",,meco_para_12
vehiculos_0,nan,0,[],,meco_para_12
como_0,nan,0,[],,meco_para_12
"autos,_0",304.0,4,"[361, 378, 393, 396]",,meco_para_12
camiones_0,578.0,8,"[102, 121, 138, 139, 358, 395, 397, 421]",,meco_para_12
y_0,171.0,2,"[124, 155]",,meco_para_12
motocicletas._0,305.0,4,"[45, 64, 125, 380]",,meco_para_12
Su_0,271.0,3,"[46, 65, 107]",,meco_para_12
 requerimiento_0,1261.0,15,"[31, 32, 33, 47, 69, 75, 90, 91, 307, 328, 329, 343, 369, 370, 383]",,meco_para_12
para_1,751.0,6,"[15, 77, 119, 323, 346, 382]",,meco_para_12
otros_0,784.0,8,"[35, 78, 94, 96, 120, 324, 345, 347]",,meco_para_12
vehiculos_1,613.0,6,"[39, 80, 336, 337, 350, 353]",,meco_para_12
como_1,nan,0,[],,meco_para_12
"bicicletas,_0",274.0,4,"[177, 178, 408, 449]",meco_para_12_qa_2 ,meco_para_12
botes_0,545.0,7,"[122, 154, 313, 315, 362, 394, 409]",meco_para_12_qa_2 ,meco_para_12
o_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
tractores_0,337.0,4,"[123, 359, 360, 410]",meco_para_12_qa_2 ,meco_para_12
puede_0,374.0,3,"[141, 357, 365]",meco_para_12_qa_2 ,meco_para_12
variar_0,272.0,2,"[126, 367]",meco_para_12_qa_2 ,meco_para_12
por_0,716.0,5,"[108, 109, 366, 371, 381]",meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,1327.0,12,"[30, 68, 70, 71, 110, 111, 112, 114, 344, 372, 384, 402]",meco_para_12_qa_2 ,meco_para_12
El_1,883.0,8,"[16, 54, 92, 152, 333, 334, 406, 417]",,meco_para_12
identificador_0,1258.0,12,"[97, 99, 115, 116, 117, 118, 335, 352, 354, 355, 356, 400]",,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,nan,0,[],,meco_para_12
es_1,nan,0,[],,meco_para_12
una_1,103.0,1,[448],meco_para_12_qa_3 ,meco_para_12
serie_0,52.0,1,[211],meco_para_12_qa_3 ,meco_para_12
de_4,102.0,1,[140],meco_para_12_qa_3 ,meco_para_12
letras_0,168.0,2,"[379, 422]",meco_para_12_qa_3 ,meco_para_12
o_2,239.0,2,"[364, 423]",meco_para_12_qa_3 ,meco_para_12
ntmeros_0,340.0,4,"[142, 183, 398, 424]",meco_para_12_qa_3 ,meco_para_12
que_0,68.0,1,[127],,meco_para_12
identifican_0,918.0,9,"[3, 66, 128, 130, 131, 306, 411, 425, 426]",,meco_para_12
Unicamente_0,1227.0,14,"[55, 113, 129, 133, 135, 151, 310, 311, 373, 399, 401, 415, 416, 418]",,meco_para_12
al_1,576.0,5,"[98, 134, 136, 376, 407]",,meco_para_12
duefio_0,306.0,2,"[40, 377]",,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,nan,0,[],,meco_para_12
vehiculo_2,512.0,6,"[210, 432, 433, 450, 466, 467]",,meco_para_12
dentro_0,nan,0,[],,meco_para_12
de_6,103.0,1,[436],,meco_para_12
la__0,nan,0,[],,meco_para_12
regidn_0,68.0,1,[430],,meco_para_12
del_0,372.0,3,"[179, 181, 182]",,meco_para_12
registro_1,303.0,4,"[1, 156, 158, 159]",,meco_para_12
del_1,407.0,4,"[2, 4, 163, 443]",,meco_para_12
vehiculo._3,1071.0,9,"[132, 161, 164, 374, 385, 386, 388, 389, 427]",,meco_para_12
En_0,680.0,7,"[175, 375, 387, 390, 404, 413, 414]",,meco_para_12
algunos_0,169.0,2,"[176, 428]",,meco_para_12
"paises,_1",69.0,1,[56],,meco_para_12
el_2,nan,0,[],,meco_para_12
identificador_1,67.0,1,[431],,meco_para_12
es_2,205.0,3,"[314, 451, 468]",,meco_para_12
Unico_0,237.0,2,"[434, 469]",,meco_para_12
en_1,136.0,2,"[209, 435]",,meco_para_12
todo_0,69.0,1,[437],,meco_para_12
el_3,103.0,1,[180],,meco_para_12
"pais,_0",273.0,2,"[144, 145]",,meco_para_12
mientras_0,747.0,8,"[6, 143, 146, 148, 157, 162, 184, 305]",,meco_para_12
"que,_1",274.0,3,"[5, 149, 441]",,meco_para_12
en_2,101.0,1,[442],,meco_para_12
"otros,_1",541.0,5,"[150, 165, 166, 312, 405]",,meco_para_12
es_3,68.0,1,[391],,meco_para_12
Unico_1,nan,0,[],,meco_para_12
dentro_1,70.0,1,[248],meco_para_12_qa_0 ,meco_para_12
de_7,nan,0,[],meco_para_12_qa_0 ,meco_para_12
un_2,nan,0,[],meco_para_12_qa_0 ,meco_para_12
estado_0,69.0,1,[470],meco_para_12_qa_0 ,meco_para_12
o_3,nan,0,[],meco_para_12_qa_0 ,meco_para_12
provincia._0,204.0,3,"[212, 230, 475]",meco_para_12_qa_0 ,meco_para_12
Francia_0,309.0,4,"[231, 438, 454, 571]",meco_para_12_qa_0 ,meco_para_12
fue_0,68.0,1,[171],meco_para_12_qa_0 ,meco_para_12
el_4,205.0,3,"[147, 439, 481]",meco_para_12_qa_0 ,meco_para_12
primer_0,103.0,1,[459],meco_para_12_qa_0 ,meco_para_12
pais_1,137.0,2,"[186, 187]",meco_para_12_qa_0 ,meco_para_12
en_3,102.0,1,[174],meco_para_12_qa_0 ,meco_para_12
 introducir_0,305.0,3,"[167, 444, 445]",meco_para_12_qa_0 ,meco_para_12
la_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
"patente,_1",202.0,2,"[199, 249]",meco_para_12_qa_0 ,meco_para_12
a_0,194.0,2,"[250, 471]",meco_para_12_qa_0 ,meco_para_12
fines_0,69.0,1,[229],meco_para_12_qa_0 ,meco_para_12
