word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,651.0,10,"[969, 1033, 1066, 1162, 1515, 1622, 1994, 2035, 2038, 2062]",,meco_para_7
"tadimi,_0",627.0,4,"[1068, 1516, 1778, 2809]",,meco_para_7
sarabin_0,955.0,9,"[976, 1001, 1037, 1619, 1668, 1780, 1970, 2413, 2810]",,meco_para_7
 duyumsal_0,1100.0,12,"[12, 45, 46, 977, 1105, 2351, 2407, 2416, 2460, 3549, 3598, 4107]",,meco_para_7
olarak_0,2124.0,22,"[980, 981, 1040, 1106, 1493, 1618, 1626, 1682, 1829, 2009, 2010, 2085, 2264, 2350, 2437, 2473, 2481, 2482, 2636, 3547, 3565, 3566]",,meco_para_7
incelenmesi_0,1881.0,25,"[15, 771, 922, 948, 950, 951, 1029, 1496, 1640, 1686, 1745, 3050, 3433, 3469, 3517, 3528, 3555, 3562, 3563, 3587, 3588, 3589, 3742, 3743, 4138]",,meco_para_7
ve_0,337.0,4,"[62, 2252, 3514, 3525]",,meco_para_7
degerlendirilmesidir._0,1079.0,15,"[927, 928, 1382, 1513, 2078, 2251, 3049, 3054, 3055, 3521, 3523, 3529, 3530, 4101, 4157]",,meco_para_7
Sarap_1,88.0,1,[930],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,1267.0,11,"[1064, 1065, 1161, 1714, 1776, 1777, 1993, 2039, 2266, 2721, 3381]",,meco_para_7
sarap_2,888.0,11,"[9, 38, 968, 1035, 1163, 1660, 1712, 1775, 2034, 2718, 2807]",,meco_para_7
Uretimi_0,1128.0,16,"[41, 106, 227, 946, 1063, 1069, 1164, 1586, 1667, 1711, 1781, 1819, 1969, 2434, 2759, 2811]",,meco_para_7
kadar_0,1209.0,15,"[226, 228, 1009, 1062, 1070, 1517, 1678, 1679, 1680, 1924, 1971, 2433, 2461, 2812, 3468]",,meco_para_7
"antikken,_0",3252.0,32,"[13, 47, 513, 978, 982, 1012, 1115, 1488, 1627, 1661, 1677, 1681, 1683, 1722, 1818, 1830, 2011, 2086, 2353, 2406, 2432, 2446, 2462, 2649, 3388, 3435, 3554, 3557, 3582, 3592, 3746, 4099]",,meco_para_7
daha_0,940.0,12,"[84, 436, 983, 1042, 1639, 2349, 2354, 2447, 2480, 2781, 3560, 3567]",,meco_para_7
bicimsel_0,1704.0,19,"[437, 772, 1498, 1688, 1744, 1863, 2263, 2464, 2472, 2479, 2640, 2650, 3308, 3385, 3470, 3527, 3574, 4108, 4133]",,meco_para_7
bir_0,384.0,3,"[113, 770, 3030]",,meco_para_7
metodoloji_0,1210.0,16,"[952, 953, 987, 1385, 1611, 1617, 1841, 1842, 2805, 3061, 3063, 3411, 3412, 3534, 3543, 4102]",,meco_para_7
orta_0,247.0,3,"[2250, 3060, 4130]",,meco_para_7
 caglarin_0,65.0,1,[931],,meco_para_7
sonlarindan_0,997.0,13,"[504, 938, 1034, 1096, 1102, 1159, 1571, 1582, 1583, 1820, 2719, 3600, 3642]",,meco_para_7
 glnUmUuze_0,1609.0,20,"[37, 40, 42, 154, 1103, 1165, 1448, 1484, 1623, 1669, 1774, 1923, 1992, 2598, 2608, 2697, 2726, 2727, 2737, 2760]",,meco_para_7
yavasca__0,3348.0,30,"[44, 107, 388, 1010, 1071, 1072, 1104, 1108, 1216, 1217, 1222, 1597, 1666, 1720, 1789, 1922, 2008, 2041, 2042, 2431, 2694, 2741, 2742, 2761, 2813, 3321, 3570, 3571, 3572, 3886]",,meco_para_7
olusmaktadir._0,5800.0,59,"[48, 49, 50, 83, 229, 231, 512, 514, 917, 923, 979, 1011, 1013, 1107, 1112, 1113, 1114, 1176, 1178, 1205, 1223, 1492, 1596, 1600, 1631, 1632, 1676, 1721, 1725, 1746, 1791, 1792, 1793, 1796, 1828, 1972, 2043, 2087, 2405, 2408, 2418, 2463, 2611, 2693, 2717, 2784, 3306, 3324, 3325, 3389, 3553, 3558, 3559, 3568, 3573, 3590, 3591, 3595, 3596]",,meco_para_7
"Modern,_0",3021.0,41,"[16, 64, 85, 86, 230, 773, 984, 1179, 1461, 1462, 1499, 1641, 1662, 1685, 1723, 1737, 1739, 1864, 2253, 2438, 2458, 2469, 2477, 2478, 2612, 2642, 2691, 2716, 2782, 2783, 2929, 3031, 3051, 3068, 3307, 3311, 3445, 3518, 3575, 4100, 4137]",,meco_para_7
profesyonel_0,2607.0,31,"[61, 91, 92, 114, 218, 769, 958, 1383, 1386, 1554, 1609, 1610, 1817, 2254, 2255, 2799, 2800, 2801, 3053, 3064, 3067, 3410, 3432, 3440, 3444, 3520, 4103, 4155, 4156, 4158, 4175]",,meco_para_7
sarap_3,769.0,7,"[1555, 1843, 2077, 2249, 2256, 2804, 4152]",,meco_para_7
—_0,369.0,2,"[2077, 4152]",,meco_para_7
tadimcilari_0,310.0,4,"[28, 932, 1380, 3059]",,meco_para_7
sarabin_1,1673.0,18,"[126, 153, 500, 871, 939, 1207, 1208, 1404, 1581, 1715, 1821, 1968, 2320, 2499, 2500, 2501, 2757, 4098]",meco_para_7_qa_1 ,meco_para_7
