word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,130.0,1,[688],,meco_para_7
"tadimi,_0",143.0,2,"[32, 658]",,meco_para_7
sarabin_0,342.0,3,"[93, 630, 631]",,meco_para_7
 duyumsal_0,836.0,8,"[90, 129, 130, 193, 628, 629, 654, 655]",,meco_para_7
olarak_0,139.0,2,"[10, 67]",,meco_para_7
incelenmesi_0,333.0,2,"[520, 605]",,meco_para_7
ve_0,89.0,1,[27],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,63.0,1,[659],,meco_para_7
sarap_2,133.0,2,"[71, 132]",,meco_para_7
Uretimi_0,580.0,4,"[131, 194, 293, 632]",,meco_para_7
kadar_0,129.0,2,"[105, 106]",,meco_para_7
"antikken,_0",708.0,10,"[11, 89, 104, 128, 190, 191, 262, 606, 627, 685]",,meco_para_7
daha_0,192.0,3,"[66, 521, 653]",,meco_para_7
bicimsel_0,66.0,1,[522],,meco_para_7
bir_0,1134.0,3,"[519, 603, 604]",,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,921.0,9,"[33, 34, 133, 294, 295, 297, 298, 660, 689]",,meco_para_7
 glnUmUuze_0,822.0,12,"[35, 36, 72, 73, 94, 95, 107, 195, 219, 292, 299, 300]",,meco_para_7
yavasca__0,544.0,5,"[12, 37, 217, 218, 263]",,meco_para_7
olusmaktadir._0,734.0,11,"[6, 88, 102, 103, 127, 189, 216, 261, 607, 626, 684]",,meco_para_7
"Modern,_0",205.0,3,"[101, 523, 652]",,meco_para_7
profesyonel_0,210.0,2,"[26, 518]",,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,266.0,2,"[134, 690]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,512.0,3,"[135, 220, 633]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,301.0,3,"[108, 109, 157]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",783.0,7,"[13, 38, 74, 165, 291, 608, 610]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,432.0,6,"[87, 162, 163, 215, 260, 290]",meco_para_7_qa_1 ,meco_para_7
ve_1,360.0,4,"[65, 79, 126, 625]",meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,127.0,1,[99],meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,195.0,3,"[136, 264, 301]",meco_para_7_qa_1 ,meco_para_7
olarak_1,67.0,1,[634],meco_para_7_qa_1 ,meco_para_7
