word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,330.0,4,"[21, 1055, 2247, 2501]",,meco_para_7
"tadimi,_0",307.0,5,"[1445, 1458, 1538, 2248, 2502]",,meco_para_7
sarabin_0,1288.0,15,"[82, 88, 100, 149, 157, 158, 1210, 1314, 1411, 1416, 1457, 1461, 1842, 2243, 2503]",,meco_para_7
 duyumsal_0,4002.0,45,"[44, 48, 68, 95, 99, 101, 108, 120, 147, 148, 156, 160, 161, 171, 214, 346, 741, 743, 1223, 1230, 1231, 1234, 1241, 1244, 1294, 1300, 1309, 1315, 1358, 1359, 1388, 1820, 1823, 1827, 2027, 2037, 2038, 2055, 2058, 2152, 2161, 2274, 2504, 2589, 2592]",,meco_para_7
olarak_0,4029.0,44,"[31, 72, 125, 131, 182, 194, 223, 228, 229, 347, 589, 744, 821, 943, 965, 1194, 1233, 1251, 1324, 1360, 1387, 1405, 1415, 1421, 1429, 1466, 1695, 1774, 1789, 1791, 1819, 2044, 2063, 2127, 2151, 2153, 2159, 2184, 2270, 2292, 2294, 2337, 2342, 3437]",,meco_para_7
incelenmesi_0,4148.0,44,"[168, 187, 198, 227, 613, 759, 766, 771, 801, 820, 853, 925, 931, 934, 942, 946, 947, 1212, 1354, 1373, 1386, 1401, 1439, 1441, 1601, 1607, 1692, 1693, 1758, 1776, 1800, 1877, 2130, 2132, 2133, 2137, 2138, 2173, 2189, 2192, 2205, 2506, 3390, 3434]",,meco_para_7
ve_0,1219.0,14,"[239, 256, 488, 716, 725, 738, 762, 767, 1440, 1754, 1762, 2175, 3411, 3429]",,meco_para_7
degerlendirilmesidir._0,3181.0,34,"[240, 251, 262, 570, 591, 592, 594, 702, 717, 718, 721, 729, 779, 845, 869, 875, 876, 880, 882, 918, 1017, 1018, 1584, 1680, 1681, 1682, 1715, 1720, 1726, 1732, 1765, 2199, 2529, 3431]",,meco_para_7
Sarap_1,158.0,2,"[1714, 3383]",,meco_para_7
tadim_0,nan,0,[],,meco_para_7
