word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",370.0,5,"[244, 445, 508, 575, 576]",,meco_para_7
sarabin_0,278.0,4,"[89, 208, 506, 574]",,meco_para_7
 duyumsal_0,403.0,5,"[9, 262, 313, 364, 571]",,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,197.0,3,"[10, 19, 350]",,meco_para_7
ve_0,68.0,1,[378],,meco_para_7
degerlendirilmesidir._0,615.0,9,"[80, 220, 253, 363, 386, 408, 429, 454, 488]",,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,166.0,2,"[56, 113]",,meco_para_7
sarap_2,269.0,3,"[204, 375, 391]",,meco_para_7
Uretimi_0,261.0,4,"[90, 166, 465, 523]",,meco_para_7
kadar_0,210.0,2,"[369, 417]",,meco_para_7
"antikken,_0",186.0,3,"[261, 496, 553]",,meco_para_7
daha_0,243.0,3,"[95, 97, 274]",,meco_para_7
bicimsel_0,127.0,2,"[121, 570]",,meco_para_7
bir_0,193.0,3,"[175, 513, 546]",,meco_para_7
metodoloji_0,339.0,5,"[263, 324, 403, 498, 535]",,meco_para_7
orta_0,237.0,4,"[409, 451, 497, 552]",,meco_para_7
 caglarin_0,322.0,5,"[15, 69, 348, 385, 400]",,meco_para_7
sonlarindan_0,382.0,7,"[114, 339, 345, 376, 410, 411, 477]",,meco_para_7
 glnUmUuze_0,509.0,7,"[88, 116, 128, 145, 206, 312, 328]",,meco_para_7
yavasca__0,289.0,5,"[103, 172, 213, 415, 518]",,meco_para_7
olusmaktadir._0,527.0,8,"[57, 106, 155, 185, 327, 398, 486, 531]",,meco_para_7
"Modern,_0",385.0,5,"[136, 352, 379, 383, 502]",,meco_para_7
profesyonel_0,253.0,4,"[318, 399, 436, 507]",,meco_para_7
sarap_3,126.0,2,"[525, 548]",,meco_para_7
—_0,109.0,2,"[331, 534]",,meco_para_7
tadimcilari_0,150.0,2,"[331, 336]",,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,278.0,5,"[42, 115, 179, 268, 359]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,171.0,3,"[35, 102, 132]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",789.0,11,"[109, 153, 168, 184, 186, 243, 297, 423, 491, 495, 511]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,224.0,4,"[11, 12, 73, 267]",meco_para_7_qa_1 ,meco_para_7
ve_1,347.0,5,"[299, 330, 442, 530, 542]",meco_para_7_qa_1 ,meco_para_7
 genel__0,451.0,6,"[319, 354, 382, 407, 448, 561]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,490.0,7,"[20, 384, 437, 529, 545, 547, 562]",meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,114.0,2,"[78, 337]",meco_para_7_qa_1 ,meco_para_7
icin_0,65.0,1,[471],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,339.0,6,"[36, 81, 122, 123, 223, 390]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,402.0,6,"[8, 180, 207, 296, 424, 431]",meco_para_7_qa_1 ,meco_para_7
olarak_1,58.0,1,[370],meco_para_7_qa_1 ,meco_para_7
gelisen_0,499.0,6,"[55, 108, 283, 305, 344, 396]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,337.0,5,"[117, 303, 397, 414, 504]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,423.0,7,"[33, 215, 227, 347, 468, 517, 560]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,133.0,2,"[119, 467]",meco_para_7_qa_1 ,meco_para_7
Son_0,172.0,3,"[333, 487, 555]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,170.0,2,"[482, 550]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,73.0,1,[389],meco_para_7_qa_0 ,meco_para_7
hem_1,204.0,3,"[7, 154, 270]",meco_para_7_qa_0 ,meco_para_7
de__0,238.0,4,"[40, 98, 314, 360]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,944.0,14,"[13, 67, 147, 194, 197, 242, 251, 290, 291, 343, 365, 416, 522, 572]",meco_para_7_qa_0 ,meco_para_7
sarap_4,157.0,2,"[74, 377]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,390.0,6,"[68, 96, 187, 188, 395, 565]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,360.0,6,"[76, 275, 311, 353, 449, 559]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,nan,1,[0],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,159.0,3,"[469, 532, 533]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,130.0,1,[158],,meco_para_7
