word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,59.0,1,[179],,meco_para_7
Uretimi_0,76.0,1,[24],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,66.0,1,[178],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,67.0,1,[5],,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,nan,0,[],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,72.0,1,[11],meco_para_7_qa_1 ,meco_para_7
algilanan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",nan,0,[],meco_para_7_qa_1 ,meco_para_7
aromasini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,79.0,1,[33],meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,77.0,1,[9],meco_para_7_qa_1 ,meco_para_7
icin_0,62.0,1,[76],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,137.0,2,"[7, 28]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
Son_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
yillarda_0,138.0,2,"[32, 63]",meco_para_7_qa_1 ,meco_para_7
hem_0,225.0,2,"[17, 34]",meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,181.0,2,"[100, 194]",meco_para_7_qa_0 ,meco_para_7
hem_1,62.0,1,[193],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
sarap_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tadimi__0,239.0,1,[8],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,225.0,2,"[56, 59]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,64.0,1,[62],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,316.0,2,"[16, 18]",,meco_para_7
 ortaya_0,143.0,2,"[10, 77]",,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",151.0,2,"[101, 195]",,meco_para_7
arastirmalar_0,nan,0,[],,meco_para_7
insanlarin_0,nan,0,[],,meco_para_7
daha_1,nan,0,[],,meco_para_7
pahali_0,nan,0,[],,meco_para_7
sarabin_2,125.0,2,"[13, 55]",,meco_para_7
daha_2,356.0,2,"[58, 125]",,meco_para_7
ucuz_0,nan,0,[],,meco_para_7
saraba__0,141.0,2,"[78, 94]",,meco_para_7
gore_0,63.0,1,[79],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,56.0,1,[102],,meco_para_7
karakteristige_0,194.0,2,"[67, 183]",,meco_para_7
sahip_0,126.0,2,"[6, 205]",,meco_para_7
olmasini_0,135.0,2,"[53, 71]",,meco_para_7
beklediklerini_0,501.0,6,"[14, 31, 37, 39, 40, 54]",,meco_para_7
gostermistir:_0,491.0,5,"[42, 43, 75, 95, 144]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,286.0,2,"[64, 98]",,meco_para_7
verilen_0,85.0,1,[66],,meco_para_7
 sarabin_0,57.0,1,[182],,meco_para_7
gercek_0,64.0,1,[47],,meco_para_7
olmayan’_0,74.0,1,[103],,meco_para_7
bir_1,nan,0,[],,meco_para_7
 sekilde_0,353.0,4,"[27, 50, 57, 69]",,meco_para_7
 pahali_0,508.0,5,"[4, 38, 70, 72, 155]",,meco_para_7
oldugu_0,264.0,3,"[29, 107, 108]",,meco_para_7
"soylendiginde,_0",565.0,6,"[36, 74, 93, 109, 126, 145]",,meco_para_7
neredeyse_0,857.0,8,"[19, 45, 97, 99, 110, 117, 118, 143]",,meco_para_7
her_0,138.0,2,"[119, 201]",,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,166.0,1,[132],,meco_para_7
sarap_5,nan,0,[],,meco_para_7
onlara__0,126.0,2,"[86, 87]",,meco_para_7
ucuz_1,466.0,5,"[25, 68, 84, 85, 131]",,meco_para_7
oldugu_sdylendiginden_0,783.0,8,"[2, 30, 60, 83, 106, 130, 203, 204]",,meco_para_7
daha__0,460.0,3,"[3, 41, 91]",,meco_para_7
lezzetli_0,nan,0,[],,meco_para_7
oldugunu_0,387.0,3,"[111, 112, 177]",,meco_para_7
belirttiler._0,66.0,1,[20],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,nan,0,[],,meco_para_7
gosteriyor_0,239.0,4,"[120, 122, 123, 181]",,meco_para_7
ki_0,140.0,2,"[121, 124]",,meco_para_7
tadimcilarin”_0,229.0,3,"[26, 82, 172]",,meco_para_7
kararlari_0,249.0,3,"[49, 129, 139]",,meco_para_7
cografi_0,242.0,3,"[90, 113, 128]",,meco_para_7
"kéken,_0",479.0,5,"[92, 96, 142, 157, 158]",,meco_para_7
itibar_0,142.0,2,"[146, 199]",,meco_para_7
veya_0,nan,0,[],,meco_para_7
diger_0,223.0,3,"[21, 22, 184]",,meco_para_7
etkenlerin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,57.0,1,[180],meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,364.0,3,"[48, 52, 81]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,275.0,2,"[105, 202]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,348.0,4,"[1, 116, 140, 141]",meco_para_7_qa_2 ,meco_para_7
sarap_6,546.0,3,"[114, 127, 156]",meco_para_7_qa_2 ,meco_para_7
tadimi_1,322.0,4,"[148, 176, 192, 198]",meco_para_7_qa_2 ,meco_para_7
bu_0,142.0,1,[44],meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,152.0,1,[189],meco_para_7_qa_2 ,meco_para_7
kor_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
tadimini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,65.0,1,[133],meco_para_7_qa_2 ,meco_para_7
bu_1,60.0,1,[150],meco_para_7_qa_2 ,meco_para_7
 tadimcinin§_0,177.0,2,"[51, 88]",meco_para_7_qa_2 ,meco_para_7
sarabin_4,273.0,2,"[105, 138]",meco_para_7_qa_2 ,meco_para_7
etiketini_0,75.0,1,[147],meco_para_7_qa_2 ,meco_para_7
veya_1,nan,1,[0],meco_para_7_qa_2 ,meco_para_7
 sisenin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_2,nan,0,[],meco_para_7_qa_2 ,meco_para_7
seklini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
gormemesidir._0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
Kor_1,nan,0,[],meco_para_7_qa_3 ,meco_para_7
