word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,1,[0],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,107.0,2,"[68, 71]",,meco_para_7
ve_0,107.0,2,"[72, 135]",,meco_para_7
degerlendirilmesidir._0,128.0,2,"[99, 171]",,meco_para_7
Sarap_1,123.0,1,[98],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,53.0,1,[240],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,58.0,1,[84],,meco_para_7
"antikken,_0",174.0,2,"[1, 154]",,meco_para_7
daha_0,148.0,2,"[11, 37]",,meco_para_7
bicimsel_0,50.0,1,[10],,meco_para_7
bir_0,69.0,1,[137],,meco_para_7
metodoloji_0,129.0,2,"[100, 134]",,meco_para_7
orta_0,56.0,1,[172],,meco_para_7
 caglarin_0,199.0,3,"[53, 140, 326]",,meco_para_7
sonlarindan_0,115.0,2,"[85, 273]",,meco_para_7
 glnUmUuze_0,188.0,2,"[238, 239]",,meco_para_7
yavasca__0,192.0,3,"[2, 155, 187]",,meco_para_7
olusmaktadir._0,289.0,4,"[56, 92, 153, 162]",,meco_para_7
"Modern,_0",130.0,2,"[136, 198]",,meco_para_7
profesyonel_0,178.0,2,"[69, 138]",,meco_para_7
sarap_3,56.0,1,[139],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,110.0,2,"[237, 241]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,53.0,1,[123],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",370.0,5,"[124, 126, 127, 188, 189]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,357.0,4,"[42, 128, 129, 152]",meco_para_7_qa_1 ,meco_para_7
ve_1,176.0,2,"[36, 91]",meco_para_7_qa_1 ,meco_para_7
 genel__0,238.0,4,"[22, 145, 163, 197]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,306.0,5,"[46, 80, 83, 173, 325]",meco_para_7_qa_1 ,meco_para_7
tarif_0,54.0,1,[170],meco_para_7_qa_1 ,meco_para_7
etmek_0,71.0,1,[26],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,221.0,4,"[4, 7, 113, 205]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,199.0,3,"[8, 59, 60]",meco_para_7_qa_1 ,meco_para_7
olarak_1,244.0,3,"[3, 9, 122]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,123.0,1,[93],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,333.0,5,"[94, 125, 248, 330, 331]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,613.0,8,"[24, 38, 43, 44, 70, 95, 97, 151]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,264.0,5,"[101, 195, 196, 230, 327]",meco_para_7_qa_1 ,meco_para_7
Son_0,73.0,1,[231],meco_para_7_qa_1 ,meco_para_7
yillarda_0,296.0,3,"[81, 143, 268]",meco_para_7_qa_1 ,meco_para_7
hem_0,75.0,1,[21],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,107.0,2,"[86, 313]",meco_para_7_qa_0 ,meco_para_7
hem_1,149.0,2,"[204, 295]",meco_para_7_qa_0 ,meco_para_7
de__0,53.0,1,[236],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,397.0,7,"[41, 57, 112, 118, 156, 242, 247]",meco_para_7_qa_0 ,meco_para_7
sarap_4,273.0,4,"[176, 186, 203, 329]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,236.0,4,"[12, 130, 185, 254]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,826.0,11,"[15, 96, 105, 107, 108, 161, 165, 183, 184, 229, 328]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,262.0,4,"[16, 51, 73, 79]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,489.0,7,"[52, 111, 142, 144, 168, 169, 201]",,meco_para_7
 ortaya_0,123.0,1,[82],,meco_para_7
ciktl._0,72.0,1,[206],,meco_para_7
"Ornegin,_0",54.0,1,[115],,meco_para_7
arastirmalar_0,360.0,5,"[33, 296, 297, 298, 299]",,meco_para_7
insanlarin_0,306.0,4,"[35, 119, 157, 249]",,meco_para_7
daha_1,325.0,4,"[13, 18, 66, 158]",,meco_para_7
pahali_0,251.0,4,"[90, 131, 132, 256]",,meco_para_7
sarabin_2,339.0,5,"[17, 23, 39, 78, 202]",,meco_para_7
daha_2,256.0,4,"[47, 102, 166, 324]",,meco_para_7
ucuz_0,287.0,3,"[50, 200, 265]",,meco_para_7
saraba__0,268.0,4,"[232, 235, 269, 307]",,meco_para_7
gore_0,135.0,2,"[267, 288]",,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,198.0,3,"[116, 312, 314]",,meco_para_7
 arzulanan__0,205.0,2,"[58, 315]",,meco_para_7
karakteristige_0,392.0,7,"[34, 87, 88, 121, 175, 177, 294]",,meco_para_7
sahip_0,269.0,3,"[65, 281, 284]",,meco_para_7
olmasini_0,381.0,6,"[19, 106, 150, 182, 257, 280]",,meco_para_7
beklediklerini_0,327.0,3,"[45, 74, 259]",,meco_para_7
gostermistir:_0,635.0,8,"[104, 167, 199, 217, 218, 228, 261, 262]",,meco_para_7
|_0,74.0,1,[263],,meco_para_7
Tadimcilar_0,219.0,3,"[109, 234, 263]",,meco_para_7
verilen_0,53.0,1,[207],,meco_para_7
 sarabin_0,56.0,1,[32],,meco_para_7
gercek_0,nan,0,[],,meco_para_7
olmayan’_0,282.0,4,"[63, 180, 209, 300]",,meco_para_7
bir_1,329.0,4,"[64, 89, 274, 293]",,meco_para_7
 sekilde_0,746.0,9,"[77, 219, 226, 250, 251, 275, 282, 283, 316]",,meco_para_7
 pahali_0,438.0,5,"[225, 276, 285, 286, 302]",,meco_para_7
oldugu_0,407.0,6,"[133, 160, 190, 191, 258, 292]",,meco_para_7
"soylendiginde,_0",620.0,9,"[48, 49, 194, 216, 260, 304, 306, 308, 323]",,meco_para_7
neredeyse_0,240.0,3,"[264, 287, 291]",,meco_para_7
her_0,157.0,2,"[289, 290]",,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,143.0,2,"[117, 208]",,meco_para_7
sarap_5,nan,0,[],,meco_para_7
onlara__0,nan,0,[],,meco_para_7
ucuz_1,70.0,1,[246],,meco_para_7
oldugu_sdylendiginden_0,726.0,10,"[149, 210, 220, 222, 252, 253, 272, 301, 303, 332]",,meco_para_7
daha__0,92.0,1,[317],,meco_para_7
lezzetli_0,142.0,2,"[103, 305]",,meco_para_7
oldugunu_0,164.0,3,"[20, 270, 336]",,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,69.0,1,[311],,meco_para_7
gosteriyor_0,56.0,1,[62],,meco_para_7
ki_0,nan,0,[],,meco_para_7
tadimcilarin”_0,147.0,2,"[221, 333]",,meco_para_7
kararlari_0,51.0,1,[76],,meco_para_7
cografi_0,nan,0,[],,meco_para_7
"kéken,_0",74.0,1,[335],,meco_para_7
itibar_0,155.0,3,"[192, 215, 322]",,meco_para_7
veya_0,58.0,1,[193],,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,106.0,2,"[147, 178]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,109.0,2,"[75, 223]",meco_para_7_qa_2 ,meco_para_7
sarap_6,105.0,2,"[271, 319]",meco_para_7_qa_2 ,meco_para_7
tadimi_1,272.0,2,"[213, 320]",meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
yuzen_0,68.0,1,[214],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kor_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
