word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",91.0,1,[909],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,183.0,1,[902],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,91.0,1,[908],,meco_para_7
kadar_0,181.0,2,"[371, 907]",,meco_para_7
"antikken,_0",204.0,2,"[372, 905]",,meco_para_7
daha_0,233.0,2,"[46, 373]",,meco_para_7
bicimsel_0,90.0,1,[903],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,93.0,1,[43],,meco_para_7
orta_0,91.0,1,[44],,meco_para_7
 caglarin_0,91.0,1,[82],,meco_para_7
sonlarindan_0,365.0,2,"[12, 13]",,meco_para_7
 glnUmUuze_0,91.0,1,[14],,meco_para_7
yavasca__0,92.0,1,[370],,meco_para_7
olusmaktadir._0,506.0,4,"[47, 369, 374, 904]",,meco_para_7
"Modern,_0",182.0,2,"[85, 901]",,meco_para_7
profesyonel_0,91.0,1,[45],,meco_para_7
sarap_3,183.0,2,"[79, 84]",,meco_para_7
—_0,368.0,2,"[42, 83]",,meco_para_7
tadimcilari_0,458.0,3,"[42, 80, 83]",,meco_para_7
sarabin_1,279.0,3,"[114, 116, 117]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,740.0,6,"[113, 115, 214, 241, 242, 676]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,832.0,7,"[11, 150, 213, 243, 244, 508, 677]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",2328.0,8,"[49, 88, 111, 148, 212, 301, 377, 947]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,1568.0,13,"[22, 62, 63, 110, 162, 164, 300, 368, 375, 379, 381, 558, 948]",meco_para_7_qa_1 ,meco_para_7
ve_1,878.0,8,"[30, 64, 86, 147, 163, 165, 380, 557]",meco_para_7_qa_1 ,meco_para_7
 genel__0,466.0,2,"[65, 898]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,1479.0,10,"[36, 40, 41, 78, 103, 107, 146, 166, 899, 900]",meco_para_7_qa_1 ,meco_para_7
tarif_0,92.0,1,[145],meco_para_7_qa_1 ,meco_para_7
etmek_0,182.0,2,"[104, 105]",meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,275.0,1,[118],meco_para_7_qa_1 ,meco_para_7
stirekli_0,565.0,5,"[8, 119, 178, 240, 674]",meco_para_7_qa_1 ,meco_para_7
olarak_1,880.0,6,"[18, 177, 216, 239, 378, 673]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,2125.0,15,"[19, 20, 25, 89, 112, 149, 160, 176, 211, 217, 238, 376, 507, 509, 672]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,2978.0,20,"[21, 24, 53, 57, 61, 132, 161, 175, 277, 278, 279, 299, 367, 382, 510, 642, 643, 644, 922, 949]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,3106.0,24,"[33, 34, 54, 55, 56, 96, 99, 100, 131, 133, 134, 135, 139, 174, 237, 398, 533, 534, 535, 536, 894, 895, 950, 951]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,911.0,9,"[32, 35, 72, 74, 102, 109, 233, 893, 897]",meco_para_7_qa_1 ,meco_para_7
Son_0,463.0,4,"[37, 75, 77, 141]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,740.0,7,"[38, 39, 106, 142, 484, 839, 840]",meco_para_7_qa_1 ,meco_para_7
hem_0,281.0,3,"[144, 171, 485]",meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,92.0,1,[944],meco_para_7_qa_0 ,meco_para_7
hem_1,106.0,1,[179],meco_para_7_qa_0 ,meco_para_7
de__0,729.0,8,"[6, 7, 9, 151, 521, 609, 639, 678]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,2465.0,18,"[10, 15, 16, 17, 159, 218, 245, 276, 302, 343, 463, 519, 559, 610, 641, 921, 924, 946]",meco_para_7_qa_0 ,meco_para_7
sarap_4,1373.0,15,"[23, 50, 59, 222, 280, 383, 464, 489, 505, 543, 920, 923, 958, 959, 960]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,1474.0,13,"[28, 29, 52, 58, 60, 196, 197, 399, 504, 518, 645, 671, 961]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,5118.0,32,"[66, 67, 95, 97, 98, 101, 127, 128, 130, 136, 137, 138, 191, 192, 198, 199, 200, 228, 229, 230, 231, 232, 298, 503, 511, 512, 532, 537, 542, 646, 670, 952]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,922.0,8,"[70, 71, 108, 140, 173, 234, 474, 475]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,830.0,7,"[168, 235, 483, 574, 838, 891, 892]",,meco_para_7
 ortaya_0,830.0,5,"[143, 169, 170, 830, 831]",,meco_para_7
ciktl._0,93.0,1,[914],,meco_para_7
