word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,56.0,1,[229],,meco_para_7
 duyumsal_0,187.0,3,"[141, 225, 319]",,meco_para_7
olarak_0,50.0,1,[222],,meco_para_7
incelenmesi_0,55.0,1,[434],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,322.0,3,"[130, 132, 400]",,meco_para_7
Sarap_1,73.0,1,[398],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,51.0,1,[354],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,129.0,2,"[318, 366]",,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",61.0,1,[223],,meco_para_7
daha_0,279.0,4,"[138, 224, 312, 404]",,meco_para_7
bicimsel_0,118.0,2,"[228, 313]",,meco_para_7
bir_0,143.0,1,[315],,meco_para_7
metodoloji_0,70.0,1,[131],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,130.0,2,"[133, 456]",,meco_para_7
 glnUmUuze_0,116.0,2,"[418, 419]",,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,337.0,4,"[117, 226, 310, 311]",,meco_para_7
"Modern,_0",50.0,1,[314],,meco_para_7
profesyonel_0,192.0,3,"[58, 91, 316]",,meco_para_7
sarap_3,71.0,1,[123],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,121.0,1,[317],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,97.0,1,[142],meco_para_7_qa_1 ,meco_para_7
lezzet_0,127.0,2,"[360, 417]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",117.0,2,"[368, 433]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,515.0,5,"[119, 191, 321, 393, 405]",meco_para_7_qa_1 ,meco_para_7
ve_1,72.0,1,[118],meco_para_7_qa_1 ,meco_para_7
 genel__0,334.0,4,"[56, 120, 402, 421]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,494.0,7,"[12, 122, 124, 197, 234, 401, 438]",meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,159.0,2,"[174, 358]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,898.0,10,"[5, 89, 113, 140, 150, 151, 208, 232, 403, 406]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,1001.0,14,"[3, 6, 20, 59, 67, 88, 185, 194, 196, 199, 227, 240, 329, 428]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,943.0,10,"[18, 69, 70, 121, 166, 168, 271, 308, 309, 453]",meco_para_7_qa_1 ,meco_para_7
Son_0,162.0,1,[272],meco_para_7_qa_1 ,meco_para_7
yillarda_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
hem_1,75.0,1,[357],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,368.0,6,"[13, 78, 146, 149, 207, 412]",meco_para_7_qa_0 ,meco_para_7
sarap_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tadimi__0,792.0,11,"[4, 44, 60, 61, 112, 114, 116, 186, 192, 233, 414]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,1346.0,19,"[19, 43, 57, 63, 68, 93, 125, 158, 160, 190, 235, 239, 261, 327, 330, 331, 369, 382, 439]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,55.0,1,[422],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,nan,0,[],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,134.0,2,"[248, 249]",,meco_para_7
"Ornegin,_0",92.0,1,[364],,meco_para_7
arastirmalar_0,361.0,5,"[23, 206, 359, 408, 410]",,meco_para_7
insanlarin_0,952.0,12,"[77, 85, 115, 137, 148, 209, 252, 333, 334, 394, 407, 416]",,meco_para_7
daha_1,615.0,8,"[45, 90, 193, 216, 332, 373, 413, 415]",,meco_para_7
pahali_0,739.0,9,"[66, 94, 157, 237, 238, 326, 432, 437, 443]",,meco_para_7
sarabin_2,767.0,11,"[64, 76, 126, 161, 195, 236, 381, 383, 423, 426, 454]",,meco_para_7
daha_2,236.0,2,"[424, 445]",,meco_para_7
ucuz_0,nan,0,[],,meco_para_7
saraba__0,73.0,1,[21],,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,57.0,1,[351],,meco_para_7
 arzulanan__0,418.0,5,"[103, 104, 144, 363, 365]",,meco_para_7
karakteristige_0,1215.0,15,"[35, 84, 86, 87, 110, 111, 136, 145, 147, 205, 210, 219, 251, 371, 409]",,meco_para_7
sahip_0,918.0,10,"[135, 156, 187, 215, 217, 218, 253, 323, 372, 374]",,meco_para_7
olmasini_0,662.0,10,"[2, 14, 42, 65, 71, 74, 134, 152, 254, 452]",,meco_para_7
beklediklerini_0,1054.0,14,"[16, 17, 52, 167, 169, 242, 260, 263, 265, 302, 336, 427, 446, 455]",,meco_para_7
gostermistir:_0,310.0,4,"[241, 247, 273, 291]",,meco_para_7
|_0,58.0,1,[247],,meco_para_7
Tadimcilar_0,63.0,1,[11],,meco_para_7
verilen_0,185.0,2,"[24, 25]",,meco_para_7
 sarabin_0,250.0,4,"[101, 179, 180, 350]",,meco_para_7
gercek_0,374.0,4,"[26, 109, 356, 411]",,meco_para_7
olmayan’_0,403.0,4,"[27, 106, 107, 183]",,meco_para_7
bir_1,219.0,3,"[211, 221, 324]",,meco_para_7
 sekilde_0,782.0,9,"[28, 184, 220, 255, 270, 282, 295, 370, 380]",,meco_para_7
 pahali_0,823.0,12,"[1, 41, 73, 127, 200, 201, 276, 283, 429, 431, 460, 461]",,meco_para_7
oldugu_0,418.0,6,"[15, 95, 164, 170, 266, 299]",,meco_para_7
"soylendiginde,_0",980.0,13,"[0, 96, 162, 171, 172, 246, 262, 293, 300, 305, 396, 444, 447]",,meco_para_7
neredeyse_0,nan,0,[],,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,71.0,1,[175],,meco_para_7
ayni_0,94.0,1,[102],,meco_para_7
sarap_5,267.0,4,"[100, 143, 355, 458]",,meco_para_7
onlara__0,68.0,1,[204],,meco_para_7
ucuz_1,385.0,4,"[34, 155, 230, 459]",,meco_para_7
oldugu_sdylendiginden_0,1854.0,23,"[29, 32, 40, 46, 47, 51, 54, 214, 243, 259, 267, 275, 277, 284, 296, 298, 322, 337, 375, 378, 384, 430, 440]",,meco_para_7
daha__0,490.0,6,"[163, 244, 264, 301, 376, 448]",,meco_para_7
lezzetli_0,408.0,2,"[97, 173]",,meco_para_7
oldugunu_0,162.0,2,"[22, 292]",,meco_para_7
belirttiler._0,65.0,1,[7],,meco_para_7
Baska_0,63.0,1,[353],,meco_para_7
calismalar_0,60.0,1,[181],,meco_para_7
gosteriyor_0,141.0,2,"[99, 250]",,meco_para_7
ki_0,62.0,1,[154],,meco_para_7
tadimcilarin”_0,1038.0,13,"[30, 31, 33, 81, 153, 212, 256, 258, 325, 342, 379, 436, 442]",,meco_para_7
kararlari_0,692.0,10,"[36, 48, 50, 53, 72, 188, 257, 377, 385, 395]",,meco_para_7
cografi_0,295.0,2,"[285, 306]",,meco_para_7
"kéken,_0",353.0,4,"[290, 388, 389, 390]",,meco_para_7
itibar_0,70.0,1,[349],,meco_para_7
veya_0,56.0,1,[10],,meco_para_7
diger_0,66.0,1,[8],,meco_para_7
etkenlerin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,63.0,1,[352],meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,142.0,2,"[83, 340]",meco_para_7_qa_2 ,meco_para_7
altinda___0,334.0,4,"[83, 269, 339, 340]",meco_para_7_qa_2 ,meco_para_7
