word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
PeructpalWoHHbId_0,170.0,1,[6],,meco_para_12
HOMep_0,nan,0,[],,meco_para_12
TpaHcMopTHoro§_0,nan,0,[],,meco_para_12
cpefcTBa_0,186.0,2,"[12, 24]",,meco_para_12
—_0,nan,0,[],,meco_para_12
3TO_0,68.0,1,[40],,meco_para_12
MeTannuyeckan_0,nan,0,[],,meco_para_12
unU_0,nan,0,[],,meco_para_12
Mnactukopaa_0,73.0,1,[7],,meco_para_12
=_0,nan,0,[],,meco_para_12
"Ta6nvuka,_0",nan,0,[],,meco_para_12
KOTOpaA_0,nan,0,[],,meco_para_12
mMomeljaeTCA_0,536.0,4,"[11, 17, 18, 23]",,meco_para_12
Ha_0,nan,0,[],,meco_para_12
TpaHCNOpTHOe_0,nan,0,[],,meco_para_12
cpefCcTBO_0,69.0,1,[25],,meco_para_12
B__0,nan,0,[],,meco_para_12
WenAx_0,nan,0,[],,meco_para_12
vgeHtTugukaywn._0,nan,0,[],,meco_para_12
Bce_0,nan,0,[],,meco_para_12
cTpaHbl_0,nan,0,[],,meco_para_12
Tpe6yloT_0,134.0,1,[30],,meco_para_12
pervctpalWMOoHHbIX_0,173.0,2,"[31, 32]",,meco_para_12
3HaKOB_0,nan,0,[],,meco_para_12
AA_0,nan,0,[],,meco_para_12
TaKVX_0,nan,0,[],,meco_para_12
Ha3eMHbIxX_0,236.0,2,"[26, 27]",,meco_para_12
TPaHCNOpTHbIX_0,169.0,2,"[8, 37]",,meco_para_12
"CpeACTB,_0",nan,0,[],,meco_para_12
KaK_0,nan,0,[],,meco_para_12
erKOBble_0,nan,0,[],,meco_para_12
UW_0,nan,0,[],,meco_para_12
rpy30Bble_0,133.0,2,"[67, 68]",,meco_para_12
"aBTOMO6unY,_0",nan,0,[],,meco_para_12
a_0,nan,0,[],,meco_para_12
TaKKe_0,nan,0,[],,meco_para_12
MOTOLWKAbI._0,200.0,2,"[33, 41]",,meco_para_12
O6s3aTenbHbI_0,127.0,2,"[21, 38]",meco_para_12_qa_2 ,meco_para_12
AM_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
OHM_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
ANA_0,65.0,1,[9],meco_para_12_qa_2 ,meco_para_12
Apyrux_0,271.0,3,"[47, 49, 59]",meco_para_12_qa_2 ,meco_para_12
BNACB_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"TpaHcnopTa,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
"Hanpymep,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
ANA_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"Benocunesos,_0",202.0,2,"[42, 51]",meco_para_12_qa_2 ,meco_para_12
NOACK_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
WU_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
"TpakTOpoB,_0",nan,0,[],meco_para_12_qa_2 ,meco_para_12
3aBUCVT_0,241.0,3,"[46, 48, 58]",meco_para_12_qa_2 ,meco_para_12
OT_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
MeCTHbIX_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
3aKOHOB._0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
