word_id,TRT,FixCount,Span_word_is_in,text_id
Sarap_0,nan,0,,meco_para_7
"tadimi,_0",338.0,1,,meco_para_7
sarabin_0,nan,0,,meco_para_7
 duyumsal_0,nan,0,,meco_para_7
olarak_0,74.0,1,,meco_para_7
incelenmesi_0,nan,0,,meco_para_7
ve_0,67.0,1,,meco_para_7
degerlendirilmesidir._0,542.0,5,,meco_para_7
Sarap_1,nan,0,,meco_para_7
tadim_0,nan,0,,meco_para_7
pratigi_0,267.0,3,,meco_para_7
sarap_2,295.0,4,,meco_para_7
Uretimi_0,174.0,2,,meco_para_7
kadar_0,71.0,1,,meco_para_7
"antikken,_0",411.0,2,,meco_para_7
daha_0,222.0,3,,meco_para_7
bicimsel_0,nan,0,,meco_para_7
bir_0,nan,0,,meco_para_7
metodoloji_0,806.0,6,,meco_para_7
orta_0,342.0,2,,meco_para_7
 caglarin_0,nan,0,,meco_para_7
sonlarindan_0,548.0,5,,meco_para_7
 glnUmUuze_0,697.0,8,,meco_para_7
yavasca__0,267.0,3,,meco_para_7
olusmaktadir._0,537.0,5,,meco_para_7
"Modern,_0",nan,0,,meco_para_7
profesyonel_0,168.0,2,,meco_para_7
sarap_3,462.0,5,,meco_para_7
—_0,74.0,1,,meco_para_7
tadimcilari_0,210.0,1,,meco_para_7
sarabin_1,500.0,6,meco_para_7_qa_1 ,meco_para_7
algilanan_0,983.0,9,meco_para_7_qa_1 ,meco_para_7
lezzet_0,881.0,8,meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",958.0,8,meco_para_7_qa_1 ,meco_para_7
aromasini_0,801.0,9,meco_para_7_qa_1 ,meco_para_7
ve_1,201.0,2,meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,379.0,4,meco_para_7_qa_1 ,meco_para_7
tarif_0,197.0,2,meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,meco_para_7_qa_1 ,meco_para_7
kullanilan_0,516.0,7,meco_para_7_qa_1 ,meco_para_7
stirekli_0,472.0,5,meco_para_7_qa_1 ,meco_para_7
olarak_1,708.0,6,meco_para_7_qa_1 ,meco_para_7
gelisen_0,682.0,8,meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,1230.0,14,meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,476.0,4,meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,407.0,4,meco_para_7_qa_1 ,meco_para_7
Son_0,65.0,1,meco_para_7_qa_1 ,meco_para_7
yillarda_0,374.0,4,meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,1132.0,9,meco_para_7_qa_0 ,meco_para_7
hem_1,284.0,2,meco_para_7_qa_0 ,meco_para_7
de__0,103.0,1,meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,419.0,6,meco_para_7_qa_0 ,meco_para_7
