word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,364.0,5,"[12, 13, 15, 229, 699]",,meco_para_7
"tadimi,_0",221.0,3,"[18, 52, 464]",,meco_para_7
sarabin_0,409.0,5,"[17, 19, 51, 227, 234]",,meco_para_7
 duyumsal_0,119.0,2,"[755, 790]",,meco_para_7
olarak_0,399.0,6,"[5, 219, 235, 245, 288, 290]",,meco_para_7
incelenmesi_0,2404.0,16,"[30, 31, 116, 209, 210, 218, 222, 252, 254, 360, 583, 679, 680, 707, 753, 758]",,meco_para_7
ve_0,371.0,4,"[215, 618, 756, 757]",,meco_para_7
degerlendirilmesidir._0,1249.0,15,"[91, 117, 118, 128, 166, 224, 225, 302, 325, 375, 540, 541, 582, 617, 656]",,meco_para_7
Sarap_1,319.0,2,"[93, 336]",,meco_para_7
tadim_0,97.0,1,[371],,meco_para_7
pratigi_0,142.0,2,"[53, 230]",,meco_para_7
sarap_2,217.0,3,"[10, 269, 427]",,meco_para_7
Uretimi_0,251.0,4,"[98, 99, 233, 426]",,meco_para_7
kadar_0,764.0,6,"[24, 50, 267, 425, 701, 711]",,meco_para_7
"antikken,_0",1003.0,9,"[23, 60, 61, 69, 70, 291, 376, 493, 494]",,meco_para_7
daha_0,236.0,2,"[115, 236]",,meco_para_7
bicimsel_0,683.0,8,"[29, 152, 211, 223, 258, 359, 556, 789]",,meco_para_7
bir_0,456.0,5,"[165, 167, 261, 262, 361]",,meco_para_7
metodoloji_0,732.0,9,"[92, 119, 125, 256, 294, 331, 402, 502, 542]",,meco_para_7
orta_0,432.0,5,"[94, 332, 337, 651, 655]",,meco_para_7
 caglarin_0,57.0,1,[672],,meco_para_7
sonlarindan_0,353.0,5,"[228, 417, 465, 689, 690]",,meco_para_7
 glnUmUuze_0,354.0,4,"[131, 305, 418, 688]",,meco_para_7
yavasca__0,204.0,3,"[58, 130, 273]",,meco_para_7
olusmaktadir._0,1336.0,18,"[25, 71, 76, 129, 176, 177, 243, 274, 356, 357, 358, 557, 574, 575, 623, 706, 708, 709]",,meco_para_7
"Modern,_0",715.0,10,"[77, 151, 153, 162, 292, 303, 398, 619, 621, 698]",,meco_para_7
profesyonel_0,1831.0,20,"[34, 49, 78, 88, 124, 164, 195, 214, 248, 257, 259, 260, 295, 362, 367, 501, 539, 549, 555, 670]",,meco_para_7
sarap_3,520.0,6,"[95, 126, 338, 363, 368, 422]",,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,255.0,4,"[335, 370, 421, 654]",,meco_para_7
sarabin_1,296.0,4,"[54, 55, 428, 498]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,415.0,6,"[132, 133, 134, 135, 268, 377]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,432.0,5,"[8, 57, 272, 343, 687]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",1245.0,12,"[6, 26, 59, 68, 106, 175, 342, 354, 391, 393, 558, 638]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,4710.0,14,"[62, 206, 239, 244, 251, 304, 355, 388, 389, 390, 392, 394, 580, 752]",meco_para_7_qa_1 ,meco_para_7
ve_1,1076.0,10,"[28, 33, 63, 65, 114, 161, 419, 424, 538, 581]",meco_para_7_qa_1 ,meco_para_7
 genel__0,1183.0,15,"[38, 64, 79, 192, 263, 399, 400, 401, 543, 545, 548, 578, 765, 791, 804]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,1310.0,12,"[35, 120, 121, 123, 168, 190, 296, 365, 366, 403, 423, 616]",meco_para_7_qa_1 ,meco_para_7
tarif_0,381.0,4,"[46, 297, 364, 671]",meco_para_7_qa_1 ,meco_para_7
etmek_0,164.0,2,"[48, 652]",meco_para_7_qa_1 ,meco_para_7
icin_0,58.0,1,[653],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,333.0,4,"[307, 308, 345, 378]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,470.0,7,"[9, 136, 306, 310, 344, 429, 466]",meco_para_7_qa_1 ,meco_para_7
olarak_1,516.0,6,"[100, 270, 271, 311, 312, 514]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,651.0,9,"[7, 101, 107, 286, 353, 437, 438, 467, 686]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,1380.0,14,"[27, 66, 67, 220, 221, 237, 275, 287, 387, 529, 573, 681, 721, 751]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,1748.0,21,"[96, 113, 150, 169, 191, 193, 212, 249, 278, 324, 339, 397, 446, 530, 537, 547, 612, 713, 722, 788, 803]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,865.0,12,"[36, 39, 43, 80, 83, 84, 122, 189, 196, 369, 461, 550]",meco_para_7_qa_1 ,meco_para_7
Son_0,77.0,1,[615],meco_para_7_qa_1 ,meco_para_7
yillarda_0,53.0,1,[673],meco_para_7_qa_1 ,meco_para_7
