word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,73.0,1,[8],,meco_para_7
 duyumsal_0,339.0,2,"[9, 22]",,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,101.0,1,[25],,meco_para_7
degerlendirilmesidir._0,308.0,2,"[26, 28]",,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,94.0,1,[29],,meco_para_7
pratigi_0,80.0,1,[16],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,71.0,1,[54],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,198.0,2,"[27, 39]",,meco_para_7
metodoloji_0,613.0,5,"[40, 41, 59, 60, 62]",,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,338.0,5,"[15, 17, 18, 31, 68]",,meco_para_7
 glnUmUuze_0,208.0,2,"[20, 35]",,meco_para_7
yavasca__0,304.0,3,"[21, 36, 71]",,meco_para_7
olusmaktadir._0,210.0,2,"[37, 52]",,meco_para_7
"Modern,_0",132.0,1,[24],,meco_para_7
profesyonel_0,178.0,2,"[38, 42]",,meco_para_7
sarap_3,273.0,2,"[61, 63]",,meco_para_7
—_0,99.0,1,[63],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,198.0,3,"[19, 34, 69]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,100.0,1,[70],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",104.0,1,[87],meco_para_7_qa_1 ,meco_para_7
aromasini_0,295.0,3,"[4, 51, 212]",meco_para_7_qa_1 ,meco_para_7
ve_1,136.0,1,[55],meco_para_7_qa_1 ,meco_para_7
 genel__0,131.0,2,"[56, 57]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
tarif_0,212.0,1,[43],meco_para_7_qa_1 ,meco_para_7
etmek_0,173.0,2,"[64, 79]",meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,278.0,3,"[32, 33, 67]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
olarak_1,282.0,3,"[48, 49, 80]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,65.0,1,[86],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,184.0,2,"[3, 207]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,547.0,4,"[74, 75, 117, 211]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,313.0,2,"[76, 92]",meco_para_7_qa_1 ,meco_para_7
Son_0,237.0,1,[77],meco_para_7_qa_1 ,meco_para_7
yillarda_0,454.0,3,"[65, 78, 93]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,373.0,3,"[46, 47, 81]",meco_para_7_qa_0 ,meco_para_7
hem_1,169.0,2,"[83, 97]",meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,174.0,2,"[84, 85]",meco_para_7_qa_0 ,meco_para_7
sarap_4,64.0,1,[72],meco_para_7_qa_0 ,meco_para_7
tadimi__0,408.0,3,"[50, 73, 89]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,786.0,6,"[91, 104, 116, 118, 132, 133]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,140.0,1,[105],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,130.0,1,[106],,meco_para_7
 ortaya_0,338.0,3,"[122, 143, 153]",,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",103.0,1,[96],,meco_para_7
arastirmalar_0,nan,0,[],,meco_para_7
insanlarin_0,144.0,1,[113],,meco_para_7
daha_1,303.0,3,"[114, 206, 210]",,meco_para_7
pahali_0,nan,0,[],,meco_para_7
sarabin_2,344.0,4,"[90, 103, 119, 123]",,meco_para_7
daha_2,72.0,1,[120],,meco_para_7
ucuz_0,274.0,2,"[139, 140]",,meco_para_7
saraba__0,276.0,3,"[107, 121, 152]",,meco_para_7
gore_0,129.0,1,[108],,meco_para_7
daha_3,274.0,2,"[95, 111]",,meco_para_7
fazla_0,70.0,1,[112],,meco_para_7
 arzulanan__0,nan,0,[],,meco_para_7
karakteristige_0,172.0,2,"[98, 128]",,meco_para_7
sahip_0,141.0,1,[99],,meco_para_7
olmasini_0,409.0,4,"[2, 102, 115, 130]",,meco_para_7
beklediklerini_0,141.0,1,[135],,meco_para_7
gostermistir:_0,1102.0,7,"[137, 138, 141, 151, 171, 172, 173]",,meco_para_7
|_0,141.0,2,"[141, 142]",,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,140.0,2,"[109, 125]",,meco_para_7
 sarabin_0,nan,0,[],,meco_para_7
gercek_0,171.0,1,[126],,meco_para_7
olmayan’_0,176.0,2,"[127, 146]",,meco_para_7
bir_1,nan,0,[],,meco_para_7
 sekilde_0,268.0,2,"[100, 129]",,meco_para_7
 pahali_0,374.0,4,"[1, 101, 131, 148]",,meco_para_7
oldugu_0,286.0,2,"[134, 149]",,meco_para_7
"soylendiginde,_0",1220.0,6,"[136, 150, 167, 168, 169, 170]",,meco_para_7
neredeyse_0,nan,0,[],,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,nan,0,[],,meco_para_7
onlara__0,71.0,1,[157],,meco_para_7
ucuz_1,301.0,3,"[158, 181, 186]",,meco_para_7
oldugu_sdylendiginden_0,1191.0,8,"[147, 160, 161, 162, 163, 164, 166, 209]",,meco_para_7
daha__0,nan,0,[],,meco_para_7
lezzetli_0,nan,0,[],,meco_para_7
oldugunu_0,205.0,1,[201],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,143.0,2,"[145, 178]",,meco_para_7
gosteriyor_0,433.0,2,"[179, 185]",,meco_para_7
ki_0,nan,0,[],,meco_para_7
tadimcilarin”_0,212.0,1,[182],,meco_para_7
kararlari_0,736.0,4,"[188, 196, 203, 204]",,meco_para_7
cografi_0,210.0,2,"[191, 202]",,meco_para_7
"kéken,_0",502.0,1,[200],,meco_para_7
itibar_0,nan,1,[0],,meco_para_7
veya_0,nan,0,[],,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,377.0,2,"[174, 175]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,138.0,2,"[176, 177]",meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,74.0,1,[184],meco_para_7_qa_2 ,meco_para_7
altinda___0,168.0,2,"[183, 184]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,166.0,1,[208],meco_para_7_qa_2 ,meco_para_7
Objektif_0,783.0,6,"[189, 190, 192, 194, 195, 199]",meco_para_7_qa_2 ,meco_para_7
sarap_6,137.0,1,[193],meco_para_7_qa_2 ,meco_para_7
tadimi_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kor_0,68.0,1,[155],meco_para_7_qa_2 ,meco_para_7
tadimini_0,69.0,1,[156],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
bu_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 tadimcinin§_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_4,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etiketini_0,103.0,1,[197],meco_para_7_qa_2 ,meco_para_7
veya_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 sisenin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_2,nan,0,[],meco_para_7_qa_2 ,meco_para_7
seklini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
