word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,57.0,1,[2148],,meco_para_7
"tadimi,_0",1192.0,10,"[9, 411, 864, 903, 1226, 1257, 1736, 1739, 1777, 1931]",,meco_para_7
sarabin_0,1179.0,10,"[410, 845, 1204, 1232, 1258, 1265, 1711, 1932, 1939, 1940]",,meco_para_7
 duyumsal_0,1909.0,17,"[10, 11, 401, 402, 406, 407, 882, 883, 1205, 1259, 1656, 1933, 1937, 1938, 1970, 2025, 2920]",,meco_para_7
olarak_0,1050.0,12,"[25, 455, 460, 462, 792, 1200, 1206, 1237, 1655, 1969, 2916, 2922]",,meco_para_7
incelenmesi_0,3964.0,23,"[26, 28, 29, 818, 828, 866, 887, 1207, 1208, 1209, 1212, 1272, 1296, 1790, 1905, 1907, 1981, 1982, 1983, 2142, 2204, 2205, 2207]",,meco_para_7
ve_0,1499.0,12,"[136, 427, 889, 1246, 1305, 1335, 1336, 1719, 1796, 1885, 1886, 2141]",,meco_para_7
degerlendirilmesidir._0,7704.0,43,"[66, 135, 808, 829, 891, 892, 893, 912, 1241, 1247, 1275, 1277, 1299, 1300, 1301, 1302, 1307, 1309, 1337, 1340, 1358, 1359, 1367, 1665, 1668, 1670, 1671, 1672, 1724, 1731, 1797, 1807, 1810, 1817, 1887, 1890, 1891, 1896, 1922, 1924, 1950, 2017, 2038]",,meco_para_7
Sarap_1,129.0,2,"[1346, 1364]",,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,1425.0,11,"[7, 1225, 1256, 1735, 1824, 1897, 1898, 2149, 2151, 2152, 2193]",,meco_para_7
sarap_2,2493.0,18,"[8, 73, 78, 114, 115, 932, 1227, 1737, 1738, 1740, 1768, 1769, 1776, 1955, 1957, 2147, 2176, 2178]",,meco_para_7
Uretimi_0,3261.0,18,"[116, 447, 448, 449, 880, 1192, 1203, 1266, 1512, 1741, 1865, 1900, 1941, 1959, 1972, 2026, 2155, 2209]",,meco_para_7
kadar_0,3845.0,27,"[412, 417, 450, 451, 865, 881, 948, 1267, 1268, 1351, 1352, 1770, 1772, 1868, 1934, 1942, 1960, 1967, 1971, 1973, 1992, 1994, 2144, 2158, 2159, 2162, 2208]",,meco_para_7
"antikken,_0",6103.0,44,"[53, 55, 118, 418, 421, 452, 453, 459, 461, 825, 826, 884, 949, 1197, 1199, 1262, 1353, 1354, 1373, 1566, 1567, 1570, 1571, 1714, 1742, 1743, 1873, 1936, 1944, 1946, 1947, 1961, 1962, 1965, 1968, 1979, 2128, 2129, 2143, 2164, 2200, 2201, 2918, 2921]",,meco_para_7
daha_0,3115.0,20,"[27, 31, 851, 1198, 1236, 1330, 1355, 1374, 1375, 1792, 1910, 1911, 1912, 1963, 1964, 1980, 1991, 2136, 2137, 2165]",,meco_para_7
bicimsel_0,6601.0,41,"[12, 30, 32, 134, 196, 811, 833, 850, 852, 870, 886, 895, 896, 907, 1213, 1271, 1273, 1295, 1297, 1298, 1304, 1333, 1379, 1718, 1720, 1733, 1744, 1745, 1746, 1789, 1791, 1795, 1877, 1990, 2012, 2015, 2032, 2138, 2139, 2140, 2169]",,meco_para_7
bir_0,1391.0,11,"[33, 539, 908, 953, 1220, 1240, 1274, 1357, 1806, 2011, 2013]",,meco_para_7
metodoloji_0,6586.0,41,"[65, 804, 807, 813, 853, 858, 875, 909, 910, 911, 913, 914, 954, 1278, 1279, 1287, 1288, 1308, 1310, 1315, 1316, 1317, 1360, 1366, 1669, 1689, 1690, 1691, 1749, 1751, 1753, 1754, 1812, 1816, 1819, 1821, 1888, 1889, 1918, 1919, 1984]",,meco_para_7
orta_0,2298.0,11,"[138, 809, 810, 927, 1390, 1417, 1723, 1725, 1726, 1728, 1811]",,meco_para_7
 caglarin_0,1304.0,10,"[618, 1363, 1392, 1393, 1394, 1418, 1419, 1727, 1925, 2044]",,meco_para_7
sonlarindan_0,3220.0,25,"[24, 47, 72, 165, 166, 208, 385, 816, 1223, 1224, 1255, 1350, 1778, 1825, 1826, 1899, 1930, 1953, 1954, 2153, 2172, 2174, 2175, 2177, 2233]",,meco_para_7
 glnUmUuze_0,5812.0,45,"[74, 75, 76, 77, 79, 207, 400, 482, 551, 820, 821, 846, 1193, 1291, 1773, 1774, 1775, 1827, 1866, 1867, 1958, 1993, 2023, 2146, 2156, 2170, 2171, 2179, 2180, 2181, 2182, 2183, 2184, 2185, 2186, 2191, 2196, 2274, 2279, 2312, 2671, 2912, 2913, 2914, 3127]",,meco_para_7
yavasca__0,7772.0,37,"[243, 413, 512, 558, 819, 847, 879, 1781, 1786, 1787, 1869, 1902, 1943, 1975, 1976, 1996, 1997, 1998, 1999, 2000, 2027, 2056, 2132, 2157, 2160, 2161, 2163, 2188, 2189, 2190, 2194, 2198, 2199, 2346, 2677, 2678, 2751]",,meco_para_7
olusmaktadir._0,12241.0,83,"[57, 58, 90, 91, 94, 117, 213, 244, 419, 420, 454, 457, 463, 498, 513, 514, 532, 557, 559, 848, 849, 904, 950, 971, 1269, 1329, 1331, 1332, 1356, 1377, 1568, 1569, 1707, 1713, 1715, 1771, 1782, 1788, 1793, 1834, 1842, 1845, 1870, 1871, 1872, 1874, 1875, 1903, 1904, 1909, 1913, 1935, 1945, 2001, 2002, 2007, 2057, 2085, 2122, 2123, 2126, 2127, 2130, 2131, 2133, 2134, 2135, 2166, 2167, 2202, 2203, 2206, 2399, 2416, 2679, 2702, 2729, 2910, 2915, 2917, 2919, 2925, 3126]",,meco_para_7
"Modern,_0",5046.0,42,"[13, 59, 60, 133, 195, 198, 199, 216, 403, 430, 486, 499, 812, 834, 836, 897, 951, 952, 1294, 1378, 1513, 1558, 1748, 1784, 1843, 1844, 1848, 1876, 1915, 1986, 2005, 2033, 2034, 2087, 2088, 2091, 2092, 2093, 2168, 2386, 2730, 2785]",,meco_para_7
