word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,107.0,1,[62],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,101.0,1,[24],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",132.0,2,"[12, 57]",,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,169.0,1,[63],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,236.0,3,"[51, 68, 70]",,meco_para_7
orta_0,75.0,1,[20],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,59.0,1,[10],,meco_para_7
olusmaktadir._0,111.0,1,[11],,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,292.0,3,"[22, 50, 52]",,meco_para_7
sarap_3,390.0,4,"[49, 137, 303, 351]",,meco_para_7
—_0,137.0,1,[351],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,77.0,1,[27],meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",nan,0,[],meco_para_7_qa_1 ,meco_para_7
aromasini_0,137.0,1,[61],meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,152.0,2,"[3, 113]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,1061.0,10,"[42, 44, 48, 69, 112, 136, 304, 305, 342, 343]",meco_para_7_qa_1 ,meco_para_7
tarif_0,457.0,4,"[140, 141, 223, 369]",meco_para_7_qa_1 ,meco_para_7
etmek_0,74.0,1,[225],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
olarak_1,106.0,1,[56],meco_para_7_qa_1 ,meco_para_7
gelisen_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,131.0,1,[82],meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,1284.0,10,"[15, 39, 84, 86, 88, 150, 151, 194, 254, 255]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,1663.0,15,"[43, 66, 92, 95, 123, 135, 240, 300, 301, 341, 344, 350, 353, 354, 368]",meco_para_7_qa_1 ,meco_para_7
Son_0,622.0,7,"[19, 118, 138, 157, 241, 242, 359]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,418.0,4,"[186, 187, 188, 224]",meco_para_7_qa_1 ,meco_para_7
hem_0,64.0,1,[26],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,63.0,1,[6],meco_para_7_qa_0 ,meco_para_7
hem_1,nan,0,[],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,283.0,4,"[29, 30, 33, 81]",meco_para_7_qa_0 ,meco_para_7
sarap_4,250.0,3,"[80, 102, 149]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,377.0,4,"[16, 103, 104, 286]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,993.0,11,"[2, 38, 87, 90, 105, 111, 152, 293, 294, 334, 363]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,2023.0,17,"[93, 94, 120, 124, 134, 182, 183, 184, 258, 261, 278, 330, 331, 333, 335, 357, 367]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,793.0,7,"[25, 139, 185, 264, 336, 337, 349]",,meco_para_7
 ortaya_0,272.0,2,"[196, 229]",,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",nan,0,[],,meco_para_7
arastirmalar_0,144.0,2,"[8, 130]",,meco_para_7
insanlarin_0,161.0,2,"[32, 179]",,meco_para_7
daha_1,nan,0,[],,meco_para_7
pahali_0,375.0,5,"[14, 131, 180, 285, 323]",,meco_para_7
sarabin_2,1152.0,13,"[0, 40, 41, 72, 106, 114, 115, 153, 159, 256, 287, 299, 302]",,meco_para_7
daha_2,1748.0,13,"[45, 47, 116, 154, 257, 292, 296, 297, 307, 327, 332, 356, 358]",,meco_para_7
ucuz_0,1128.0,10,"[119, 121, 133, 158, 166, 243, 259, 260, 328, 340]",,meco_para_7
saraba__0,787.0,9,"[125, 210, 212, 265, 279, 313, 314, 338, 339]",,meco_para_7
gore_0,480.0,5,"[197, 199, 228, 281, 315]",,meco_para_7
daha_3,80.0,1,[7],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,434.0,4,"[77, 129, 175, 200]",,meco_para_7
karakteristige_0,1236.0,10,"[34, 58, 98, 101, 146, 177, 178, 217, 235, 236]",,meco_para_7
sahip_0,96.0,1,[147],,meco_para_7
olmasini_0,630.0,5,"[36, 65, 110, 201, 276]",,meco_para_7
beklediklerini_0,2045.0,19,"[1, 17, 73, 89, 208, 239, 277, 289, 295, 306, 309, 311, 312, 346, 347, 355, 360, 364, 366]",,meco_para_7
gostermistir:_0,988.0,7,"[18, 74, 165, 211, 262, 263, 325]",,meco_para_7
|_0,378.0,3,"[215, 266, 280]",,meco_para_7
Tadimcilar_0,767.0,5,"[215, 266, 268, 280, 316]",,meco_para_7
verilen_0,103.0,1,[75],,meco_para_7
 sarabin_0,nan,0,[],,meco_para_7
gercek_0,135.0,1,[145],,meco_para_7
olmayan’_0,146.0,2,"[218, 251]",,meco_para_7
bir_1,180.0,2,"[60, 252]",,meco_para_7
 sekilde_0,628.0,3,"[79, 109, 132]",,meco_para_7
 pahali_0,204.0,2,"[13, 288]",,meco_para_7
oldugu_0,787.0,7,"[46, 222, 238, 274, 310, 324, 365]",,meco_para_7
"soylendiginde,_0",1358.0,13,"[55, 156, 160, 206, 207, 209, 213, 214, 290, 298, 326, 329, 348]",,meco_para_7
neredeyse_0,582.0,5,"[226, 246, 267, 269, 282]",,meco_para_7
her_0,70.0,1,[247],,meco_para_7
zaman_0,62.0,1,[167],,meco_para_7
ayni_0,122.0,2,"[96, 97]",,meco_para_7
sarap_5,217.0,3,"[78, 192, 250]",,meco_para_7
onlara__0,104.0,1,[99],,meco_para_7
ucuz_1,64.0,1,[176],,meco_para_7
oldugu_sdylendiginden_0,1054.0,10,"[31, 59, 108, 202, 234, 237, 253, 275, 321, 322]",,meco_para_7
daha__0,nan,0,[],,meco_para_7
lezzetli_0,149.0,2,"[155, 161]",,meco_para_7
oldugunu_0,67.0,1,[291],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,256.0,2,"[144, 174]",,meco_para_7
gosteriyor_0,157.0,2,"[170, 249]",,meco_para_7
ki_0,nan,0,[],,meco_para_7
tadimcilarin”_0,475.0,4,"[35, 216, 219, 284]",,meco_para_7
kararlari_0,nan,0,[],,meco_para_7
cografi_0,nan,0,[],,meco_para_7
"kéken,_0",129.0,2,"[54, 117]",,meco_para_7
itibar_0,151.0,2,"[244, 270]",,meco_para_7
veya_0,140.0,2,"[162, 271]",,meco_para_7
diger_0,65.0,1,[164],,meco_para_7
etkenlerin_0,64.0,1,[233],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,77.0,1,[231],meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,137.0,2,"[317, 318]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,206.0,2,"[319, 320]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarap_6,nan,0,[],meco_para_7_qa_2 ,meco_para_7
tadimi_1,70.0,1,[53],meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
yuzen_0,63.0,1,[245],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
