word_id,TRT,FixCount,Span_word_is_in,text_id
Sarap_0,nan,0,,meco_para_7
"tadimi,_0",nan,0,,meco_para_7
sarabin_0,nan,0,,meco_para_7
 duyumsal_0,nan,0,,meco_para_7
olarak_0,nan,0,,meco_para_7
incelenmesi_0,nan,0,,meco_para_7
ve_0,nan,0,,meco_para_7
degerlendirilmesidir._0,nan,0,,meco_para_7
Sarap_1,nan,0,,meco_para_7
tadim_0,nan,0,,meco_para_7
pratigi_0,nan,0,,meco_para_7
sarap_2,nan,0,,meco_para_7
Uretimi_0,nan,0,,meco_para_7
kadar_0,nan,0,,meco_para_7
"antikken,_0",nan,0,,meco_para_7
daha_0,nan,0,,meco_para_7
bicimsel_0,nan,0,,meco_para_7
bir_0,nan,0,,meco_para_7
metodoloji_0,nan,0,,meco_para_7
orta_0,nan,0,,meco_para_7
 caglarin_0,nan,0,,meco_para_7
sonlarindan_0,nan,0,,meco_para_7
 glnUmUuze_0,nan,0,,meco_para_7
yavasca__0,nan,0,,meco_para_7
olusmaktadir._0,nan,0,,meco_para_7
"Modern,_0",nan,0,,meco_para_7
profesyonel_0,nan,0,,meco_para_7
sarap_3,nan,0,,meco_para_7
—_0,nan,0,,meco_para_7
tadimcilari_0,nan,0,,meco_para_7
sarabin_1,nan,0,meco_para_7_qa_1 ,meco_para_7
algilanan_0,nan,0,meco_para_7_qa_1 ,meco_para_7
lezzet_0,73.0,1,meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",nan,0,meco_para_7_qa_1 ,meco_para_7
aromasini_0,nan,0,meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,nan,0,meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,meco_para_7_qa_1 ,meco_para_7
stirekli_0,69.0,1,meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,meco_para_7_qa_1 ,meco_para_7
gelisen_0,133.0,1,meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,75.0,1,meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,nan,0,meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,65.0,1,meco_para_7_qa_1 ,meco_para_7
Son_0,785.0,2,meco_para_7_qa_1 ,meco_para_7
yillarda_0,383.0,3,meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,meco_para_7_qa_0 ,meco_para_7
hem_1,70.0,1,meco_para_7_qa_0 ,meco_para_7
de__0,206.0,2,meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,nan,0,meco_para_7_qa_0 ,meco_para_7
sarap_4,66.0,1,meco_para_7_qa_0 ,meco_para_7
tadimi__0,nan,0,meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,138.0,2,meco_para_7_qa_0 ,meco_para_7
zorlayan_0,nan,0,meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,nan,0,,meco_para_7
 ortaya_0,nan,0,,meco_para_7
ciktl._0,nan,0,,meco_para_7
"Ornegin,_0",nan,0,,meco_para_7
arastirmalar_0,434.0,4,,meco_para_7
insanlarin_0,273.0,2,,meco_para_7
daha_1,nan,0,,meco_para_7
pahali_0,149.0,1,,meco_para_7
sarabin_2,1509.0,10,,meco_para_7
daha_2,786.0,7,,meco_para_7
ucuz_0,914.0,6,,meco_para_7
saraba__0,626.0,4,,meco_para_7
gore_0,nan,0,,meco_para_7
daha_3,nan,0,,meco_para_7
fazla_0,nan,0,,meco_para_7
 arzulanan__0,291.0,2,,meco_para_7
karakteristige_0,309.0,2,,meco_para_7
sahip_0,69.0,1,,meco_para_7
olmasini_0,466.0,5,,meco_para_7
beklediklerini_0,2449.0,19,,meco_para_7
gostermistir:_0,2564.0,14,,meco_para_7
|_0,192.0,1,,meco_para_7
Tadimcilar_0,nan,0,,meco_para_7
verilen_0,320.0,1,,meco_para_7
 sarabin_0,nan,0,,meco_para_7
gercek_0,375.0,4,,meco_para_7
olmayan’_0,541.0,4,,meco_para_7
bir_1,145.0,2,,meco_para_7
 sekilde_0,808.0,6,,meco_para_7
 pahali_0,674.0,7,,meco_para_7
oldugu_0,1582.0,13,,meco_para_7
"soylendiginde,_0",4124.0,20,,meco_para_7
neredeyse_0,nan,0,,meco_para_7
her_0,nan,0,,meco_para_7
zaman_0,nan,0,,meco_para_7
ayni_0,211.0,1,,meco_para_7
sarap_5,361.0,3,,meco_para_7
onlara__0,504.0,4,,meco_para_7
ucuz_1,567.0,6,,meco_para_7
oldugu_sdylendiginden_0,7235.0,46,,meco_para_7
daha__0,2254.0,9,,meco_para_7
lezzetli_0,1081.0,7,,meco_para_7
oldugunu_0,nan,0,,meco_para_7
belirttiler._0,nan,0,,meco_para_7
Baska_0,72.0,1,,meco_para_7
calismalar_0,1205.0,6,,meco_para_7
gosteriyor_0,2002.0,16,,meco_para_7
ki_0,1351.0,9,,meco_para_7
tadimcilarin”_0,6561.0,39,,meco_para_7
kararlari_0,5261.0,29,,meco_para_7
cografi_0,3824.0,19,,meco_para_7
"kéken,_0",566.0,7,,meco_para_7
itibar_0,nan,0,,meco_para_7
veya_0,nan,0,,meco_para_7
diger_0,nan,0,,meco_para_7
etkenlerin_0,1073.0,6,meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,2474.0,22,meco_para_7_qa_2 ,meco_para_7
etki_0,2849.0,22,meco_para_7_qa_2 ,meco_para_7
=_0,1281.0,7,meco_para_7_qa_2 ,meco_para_7
altinda___0,5301.0,37,meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,7602.0,44,meco_para_7_qa_2 ,meco_para_7
Objektif_0,4703.0,29,meco_para_7_qa_2 ,meco_para_7
sarap_6,412.0,3,meco_para_7_qa_2 ,meco_para_7
tadimi_1,70.0,1,meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,meco_para_7_qa_2 ,meco_para_7
kor_0,295.0,3,meco_para_7_qa_2 ,meco_para_7
tadimini_0,1065.0,8,meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,5440.0,33,meco_para_7_qa_2 ,meco_para_7
bu_1,4723.0,28,meco_para_7_qa_2 ,meco_para_7
 tadimcinin§_0,10024.0,64,meco_para_7_qa_2 ,meco_para_7
sarabin_4,6103.0,40,meco_para_7_qa_2 ,meco_para_7
etiketini_0,3260.0,18,meco_para_7_qa_2 ,meco_para_7
veya_1,nan,0,meco_para_7_qa_2 ,meco_para_7
 sisenin_0,nan,0,meco_para_7_qa_2 ,meco_para_7
—_2,nan,0,meco_para_7_qa_2 ,meco_para_7
seklini_0,nan,0,meco_para_7_qa_2 ,meco_para_7
gormemesidir._0,887.0,5,meco_para_7_qa_3 ,meco_para_7
Kor_1,3105.0,20,meco_para_7_qa_3 ,meco_para_7
tadim_1,5664.0,34,meco_para_7_qa_3 ,meco_para_7
 ayrica_0,6073.0,46,meco_para_7_qa_3 ,meco_para_7
sarabin§_0,4276.0,29,meco_para_7_qa_3 ,meco_para_7
siyah_0,2503.0,13,meco_para_7_qa_3 ,meco_para_7
sarap_7,639.0,4,meco_para_7_qa_3 ,meco_para_7
 bardaginda__0,nan,0,meco_para_7_qa_3 ,meco_para_7
sarabin_5,nan,0,meco_para_7_qa_3 ,meco_para_7
__rengini_0,nan,0,meco_para_7_qa_3 ,meco_para_7
maskeleyecek_0,1401.0,11,meco_para_7_qa_3 ,meco_para_7
sekilde_0,3704.0,25,meco_para_7_qa_3 ,meco_para_7
servis_0,5921.0,29,meco_para_7_qa_3 ,meco_para_7
edilmesini_0,5248.0,36,meco_para_7_qa_3 ,meco_para_7
de_0,701.0,7,meco_para_7_qa_3 ,meco_para_7
___0,323.0,4,meco_para_7_qa_3 ,meco_para_7
icerir._0,448.0,4,meco_para_7_qa_3 ,meco_para_7
Harvard_0,nan,0,,a_HarvardUniversity_1
Business_0,nan,0,,a_HarvardUniversity_1
School_0,nan,0,,a_HarvardUniversity_1
ve_0,nan,0,,a_HarvardUniversity_1
Harvard_1,nan,0,,a_HarvardUniversity_1
Stadyumu_0,nan,0,,a_HarvardUniversity_1
da_0,nan,0,,a_HarvardUniversity_1
dahil_0,nan,0,,a_HarvardUniversity_1
