word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,196.0,2,"[31, 164]",,meco_para_12
patente_0,263.0,2,"[32, 109]",,meco_para_12
de_0,94.0,1,[165],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,93.0,1,[41],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,50.0,1,[38],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,158.0,2,"[36, 123]",,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,279.0,3,"[30, 107, 138]",,meco_para_12
el_0,139.0,1,[108],,meco_para_12
propdsito_0,503.0,4,"[6, 40, 110, 147]",,meco_para_12
de_2,93.0,1,[33],,meco_para_12
identificacién_0,663.0,4,"[25, 42, 43, 51]",,meco_para_12
oficial_0,375.0,2,"[44, 52]",,meco_para_12
Todos_0,nan,0,[],,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,nan,0,[],,meco_para_12
requieren_0,195.0,2,"[23, 125]",,meco_para_12
patentes_0,93.0,1,[103],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,1021.0,9,"[5, 29, 80, 106, 127, 129, 139, 179, 180]",,meco_para_12
como_0,160.0,2,"[26, 151]",,meco_para_12
"autos,_0",282.0,3,"[39, 146, 181]",,meco_para_12
camiones_0,877.0,7,"[10, 34, 47, 48, 50, 112, 150]",,meco_para_12
y_0,92.0,1,[135],,meco_para_12
motocicletas._0,983.0,8,"[8, 11, 12, 45, 74, 97, 115, 222]",,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,95.0,1,[76],,meco_para_12
para_1,350.0,2,"[22, 124]",,meco_para_12
otros_0,96.0,1,[161],,meco_para_12
vehiculos_1,92.0,1,[104],,meco_para_12
como_1,331.0,4,"[27, 142, 162, 163]",,meco_para_12
"bicicletas,_0",697.0,4,"[145, 148, 149, 206]",meco_para_12_qa_2 ,meco_para_12
botes_0,557.0,5,"[57, 58, 71, 153, 182]",meco_para_12_qa_2 ,meco_para_12
o_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
tractores_0,1078.0,8,"[49, 59, 60, 116, 154, 155, 166, 185]",meco_para_12_qa_2 ,meco_para_12
puede_0,103.0,1,[9],meco_para_12_qa_2 ,meco_para_12
variar_0,280.0,1,[72],meco_para_12_qa_2 ,meco_para_12
por_0,432.0,5,"[15, 17, 73, 95, 98]",meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,904.0,6,"[16, 18, 19, 54, 75, 137]",meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,329.0,3,"[21, 102, 126]",,meco_para_12
de_3,93.0,1,[176],,meco_para_12
registro_0,96.0,1,[28],,meco_para_12
es_1,94.0,1,[55],,meco_para_12
una_1,328.0,2,"[56, 85]",meco_para_12_qa_3 ,meco_para_12
serie_0,139.0,1,[130],meco_para_12_qa_3 ,meco_para_12
de_4,92.0,1,[183],meco_para_12_qa_3 ,meco_para_12
letras_0,140.0,1,[184],meco_para_12_qa_3 ,meco_para_12
o_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,588.0,6,"[13, 14, 61, 114, 136, 158]",meco_para_12_qa_3 ,meco_para_12
que_0,54.0,1,[209],,meco_para_12
identifican_0,463.0,3,"[99, 170, 189]",,meco_para_12
Unicamente_0,369.0,3,"[190, 191, 192]",,meco_para_12
al_1,nan,0,[],,meco_para_12
duefio_0,93.0,1,[177],,meco_para_12
de_5,184.0,2,"[83, 105]",,meco_para_12
un_1,nan,0,[],,meco_para_12
vehiculo_2,93.0,1,[131],,meco_para_12
dentro_0,592.0,4,"[70, 86, 196, 219]",,meco_para_12
de_6,323.0,2,"[117, 207]",,meco_para_12
la__0,nan,0,[],,meco_para_12
regidn_0,376.0,4,"[132, 156, 208, 223]",,meco_para_12
del_0,510.0,2,"[91, 186]",,meco_para_12
registro_1,744.0,7,"[62, 63, 65, 66, 96, 157, 187]",,meco_para_12
del_1,94.0,1,[94],,meco_para_12
vehiculo._3,427.0,4,"[100, 101, 204, 210]",,meco_para_12
En_0,186.0,1,[174],,meco_para_12
algunos_0,233.0,2,"[78, 175]",,meco_para_12
"paises,_1",97.0,1,[178],,meco_para_12
el_2,nan,0,[],,meco_para_12
identificador_1,94.0,1,[144],,meco_para_12
es_2,nan,0,[],,meco_para_12
Unico_0,174.0,2,"[87, 214]",,meco_para_12
en_1,325.0,2,"[88, 216]",,meco_para_12
todo_0,281.0,2,"[217, 225]",,meco_para_12
el_3,233.0,2,"[90, 215]",,meco_para_12
"pais,_0",nan,0,[],,meco_para_12
mientras_0,511.0,4,"[64, 67, 68, 188]",,meco_para_12
"que,_1",nan,0,[],,meco_para_12
en_2,94.0,1,[203],,meco_para_12
"otros,_1",nan,0,[],,meco_para_12
es_3,231.0,2,"[121, 160]",,meco_para_12
Unico_1,nan,0,[],,meco_para_12
dentro_1,93.0,1,[82],meco_para_12_qa_0 ,meco_para_12
de_7,nan,0,[],meco_para_12_qa_0 ,meco_para_12
un_2,nan,0,[],meco_para_12_qa_0 ,meco_para_12
estado_0,129.0,1,[195],meco_para_12_qa_0 ,meco_para_12
o_3,nan,0,[],meco_para_12_qa_0 ,meco_para_12
provincia._0,332.0,3,"[3, 224, 226]",meco_para_12_qa_0 ,meco_para_12
Francia_0,186.0,2,"[46, 89]",meco_para_12_qa_0 ,meco_para_12
fue_0,94.0,1,[69],meco_para_12_qa_0 ,meco_para_12
el_4,95.0,1,[199],meco_para_12_qa_0 ,meco_para_12
primer_0,57.0,1,[213],meco_para_12_qa_0 ,meco_para_12
pais_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
en_3,186.0,2,"[172, 211]",meco_para_12_qa_0 ,meco_para_12
 introducir_0,91.0,1,[212],meco_para_12_qa_0 ,meco_para_12
la_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
"patente,_1",nan,0,[],meco_para_12_qa_0 ,meco_para_12
a_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
fines_0,95.0,1,[141],meco_para_12_qa_0 ,meco_para_12
del_2,94.0,1,[194],meco_para_12_qa_0 ,meco_para_12
siglo_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
diecinueve._0,279.0,3,"[92, 93, 197]",meco_para_12_qa_0 ,meco_para_12
Las_0,92.0,1,[169],meco_para_12_qa_0 ,meco_para_12
patentes_1,375.0,4,"[2, 133, 167, 200]",meco_para_12_qa_0 ,meco_para_12
de_8,59.0,1,[1],meco_para_12_qa_0 ,meco_para_12
 principios_0,231.0,2,"[0, 171]",meco_para_12_qa_0 ,meco_para_12
de_9,93.0,1,[120],meco_para_12_qa_0 ,meco_para_12
siglo_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
veinte_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
variaban_0,nan,0,[],,meco_para_12
en_4,nan,0,[],,meco_para_12
tamafio_0,139.0,1,[193],,meco_para_12
y_1,92.0,1,[143],,meco_para_12
forma_0,nan,0,[],,meco_para_12
de_10,nan,0,[],,meco_para_12
una_2,93.0,1,[227],,meco_para_12
 jurisdiccién_0,92.0,1,[228],,meco_para_12
a_1,94.0,1,[168],,meco_para_12
"otra,_0",93.0,1,[201],,meco_para_12
de_11,nan,0,[],,meco_para_12
manera_0,nan,0,[],,meco_para_12
"que,_2",nan,0,[],,meco_para_12
si_0,nan,0,[],,meco_para_12
una_3,nan,0,[],,meco_para_12
persona_0,nan,0,[],,meco_para_12
