word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,249.0,2,"[14, 195]",,meco_para_7
"tadimi,_0",750.0,9,"[24, 33, 93, 94, 96, 156, 180, 181, 196]",,meco_para_7
sarabin_0,1141.0,11,"[46, 70, 92, 95, 129, 157, 171, 197, 205, 206, 207]",,meco_para_7
 duyumsal_0,969.0,11,"[13, 25, 26, 35, 50, 78, 149, 173, 199, 202, 508]",,meco_para_7
olarak_0,645.0,8,"[174, 238, 264, 506, 539, 540, 542, 543]",,meco_para_7
incelenmesi_0,1031.0,11,"[119, 176, 231, 239, 505, 523, 524, 545, 562, 592, 696]",,meco_para_7
ve_0,449.0,6,"[263, 526, 531, 565, 591, 683]",,meco_para_7
degerlendirilmesidir._0,1406.0,14,"[213, 215, 223, 224, 250, 268, 529, 550, 551, 563, 625, 675, 685, 686]",,meco_para_7
Sarap_1,1277.0,14,"[243, 251, 273, 276, 296, 312, 515, 527, 567, 572, 600, 604, 629, 677]",,meco_para_7
tadim_0,733.0,9,"[122, 225, 241, 294, 320, 406, 555, 556, 688]",,meco_para_7
pratigi_0,266.0,4,"[130, 140, 193, 255]",,meco_para_7
sarap_2,1057.0,8,"[10, 71, 91, 125, 126, 135, 150, 182]",,meco_para_7
Uretimi_0,853.0,8,"[7, 11, 45, 143, 155, 158, 200, 204]",,meco_para_7
kadar_0,1332.0,13,"[19, 47, 51, 56, 77, 79, 101, 134, 145, 172, 185, 186, 544]",,meco_para_7
"antikken,_0",1631.0,12,"[18, 36, 57, 59, 80, 260, 261, 507, 538, 557, 700, 701]",,meco_para_7
daha_0,867.0,8,"[210, 237, 265, 511, 541, 585, 621, 702]",,meco_para_7
bicimsel_0,717.0,8,"[518, 522, 546, 586, 595, 620, 671, 697]",,meco_para_7
bir_0,439.0,4,"[326, 549, 610, 611]",,meco_para_7
metodoloji_0,565.0,7,"[262, 289, 292, 388, 530, 624, 674]",,meco_para_7
orta_0,93.0,1,[370],,meco_para_7
 caglarin_0,785.0,8,"[295, 528, 571, 626, 630, 631, 661, 662]",,meco_para_7
sonlarindan_0,1113.0,11,"[30, 104, 105, 106, 131, 132, 136, 139, 170, 217, 254]",,meco_para_7
 glnUmUuze_0,1508.0,14,"[12, 15, 54, 66, 67, 76, 83, 88, 90, 107, 162, 164, 169, 509]",,meco_para_7
yavasca__0,953.0,9,"[17, 52, 58, 110, 163, 228, 537, 576, 577]",,meco_para_7
olusmaktadir._0,1201.0,13,"[37, 179, 188, 189, 211, 230, 234, 235, 413, 583, 622, 680, 682]",,meco_para_7
