word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,70.0,1,[10],,meco_para_7
 duyumsal_0,102.0,1,[9],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,479.0,4,"[307, 332, 357, 358]",,meco_para_7
ve_0,67.0,1,[334],,meco_para_7
degerlendirilmesidir._0,69.0,1,[23],,meco_para_7
Sarap_1,308.0,3,"[338, 339, 340]",,meco_para_7
tadim_0,308.0,3,"[337, 365, 390]",,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,103.0,1,[5],,meco_para_7
Uretimi_0,404.0,5,"[6, 11, 301, 302, 351]",,meco_para_7
kadar_0,102.0,1,[8],,meco_para_7
"antikken,_0",103.0,1,[350],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,70.0,1,[308],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,339.0,4,"[24, 25, 26, 57]",,meco_para_7
orta_0,68.0,1,[360],,meco_para_7
 caglarin_0,68.0,1,[317],,meco_para_7
sonlarindan_0,66.0,1,[368],,meco_para_7
 glnUmUuze_0,753.0,7,"[7, 28, 300, 303, 327, 328, 354]",,meco_para_7
yavasca__0,100.0,1,[355],,meco_para_7
olusmaktadir._0,203.0,3,"[12, 356, 377]",,meco_para_7
"Modern,_0",680.0,4,"[309, 310, 359, 380]",,meco_para_7
profesyonel_0,66.0,1,[381],,meco_para_7
sarap_3,69.0,1,[56],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,204.0,3,"[21, 312, 335]",,meco_para_7
sarabin_1,375.0,3,"[325, 344, 369]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,68.0,1,[348],meco_para_7_qa_1 ,meco_para_7
lezzet_0,541.0,5,"[299, 329, 349, 352, 372]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",243.0,2,"[330, 376]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,269.0,3,"[29, 286, 331]",meco_para_7_qa_1 ,meco_para_7
ve_1,68.0,1,[379],meco_para_7_qa_1 ,meco_para_7
 genel__0,174.0,2,"[382, 383]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,68.0,1,[13],meco_para_7_qa_1 ,meco_para_7
tarif_0,103.0,1,[361],meco_para_7_qa_1 ,meco_para_7
etmek_0,613.0,4,"[76, 311, 314, 316]",meco_para_7_qa_1 ,meco_para_7
icin_0,137.0,2,"[387, 388]",meco_para_7_qa_1 ,meco_para_7
kullanilan_0,473.0,4,"[27, 345, 353, 370]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,138.0,1,[326],meco_para_7_qa_1 ,meco_para_7
olarak_1,476.0,5,"[47, 48, 304, 373, 374]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,67.0,1,[68],meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,272.0,4,"[14, 15, 30, 49]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,170.0,2,"[50, 439]",meco_para_7_qa_1 ,meco_para_7
Son_0,306.0,2,"[19, 55]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,476.0,4,"[20, 45, 75, 315]",meco_para_7_qa_1 ,meco_para_7
hem_0,66.0,1,[106],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,411.0,4,"[92, 323, 346, 371]",meco_para_7_qa_0 ,meco_para_7
hem_1,139.0,2,"[324, 395]",meco_para_7_qa_0 ,meco_para_7
de__0,207.0,2,"[298, 375]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,272.0,3,"[65, 66, 69]",meco_para_7_qa_0 ,meco_para_7
sarap_4,272.0,2,"[4, 67]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,508.0,6,"[17, 31, 36, 51, 384, 409]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,410.0,4,"[16, 18, 37, 38]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,202.0,1,[44],,meco_para_7
 ortaya_0,306.0,3,"[116, 441, 486]",,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",137.0,1,[392],,meco_para_7
arastirmalar_0,476.0,4,"[78, 94, 296, 396]",,meco_para_7
insanlarin_0,366.0,5,"[124, 284, 285, 402, 412]",,meco_para_7
daha_1,nan,0,[],,meco_para_7
pahali_0,374.0,4,"[3, 70, 414, 434]",,meco_para_7
sarabin_2,208.0,2,"[290, 407]",,meco_para_7
daha_2,239.0,2,"[81, 82]",,meco_para_7
ucuz_0,687.0,6,"[40, 42, 52, 83, 417, 438]",,meco_para_7
saraba__0,1428.0,8,"[39, 43, 54, 90, 101, 418, 419, 440]",,meco_para_7
gore_0,710.0,5,"[87, 104, 115, 386, 420]",,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,713.0,6,"[61, 93, 95, 293, 297, 393]",,meco_para_7
karakteristige_0,786.0,8,"[62, 96, 122, 123, 292, 399, 400, 411]",,meco_para_7
sahip_0,680.0,7,"[79, 80, 283, 401, 403, 410, 413]",,meco_para_7
olmasini_0,133.0,2,"[2, 415]",,meco_para_7
beklediklerini_0,684.0,6,"[289, 408, 416, 461, 462, 465]",,meco_para_7
gostermistir:_0,494.0,5,"[41, 53, 74, 84, 88]",,meco_para_7
|_0,208.0,3,"[89, 155, 156]",,meco_para_7
Tadimcilar_0,511.0,5,"[89, 102, 105, 155, 485]",,meco_para_7
verilen_0,173.0,2,"[63, 117]",,meco_para_7
 sarabin_0,307.0,3,"[77, 295, 397]",,meco_para_7
gercek_0,340.0,3,"[108, 294, 427]",,meco_para_7
olmayan’_0,440.0,3,"[109, 125, 398]",,meco_para_7
bir_1,205.0,2,"[144, 406]",,meco_para_7
 sekilde_0,780.0,6,"[97, 98, 110, 127, 145, 433]",,meco_para_7
 pahali_0,202.0,2,"[34, 71]",,meco_para_7
oldugu_0,473.0,6,"[112, 128, 435, 463, 479, 480]",,meco_para_7
"soylendiginde,_0",1325.0,12,"[72, 85, 99, 100, 113, 130, 436, 437, 464, 466, 467, 504]",,meco_para_7
neredeyse_0,848.0,9,"[73, 86, 103, 150, 152, 153, 157, 532, 552]",,meco_para_7
her_0,66.0,1,[505],,meco_para_7
zaman_0,439.0,5,"[59, 64, 118, 425, 444]",,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,104.0,1,[121],,meco_para_7
onlara__0,240.0,3,"[291, 429, 430]",,meco_para_7
ucuz_1,68.0,1,[126],,meco_para_7
oldugu_sdylendiginden_0,915.0,7,"[111, 143, 232, 405, 456, 474, 478]",,meco_para_7
daha__0,69.0,1,[129],,meco_para_7
lezzetli_0,407.0,4,"[131, 148, 149, 545]",,meco_para_7
oldugunu_0,747.0,7,"[132, 133, 134, 135, 179, 482, 553]",,meco_para_7
belirttiler._0,511.0,4,"[151, 154, 484, 568]",,meco_para_7
Baska_0,669.0,6,"[58, 107, 119, 120, 140, 424]",,meco_para_7
calismalar_0,274.0,3,"[426, 445, 446]",,meco_para_7
gosteriyor_0,507.0,4,"[428, 431, 452, 453]",,meco_para_7
ki_0,239.0,3,"[142, 451, 454]",,meco_para_7
tadimcilarin”_0,540.0,4,"[146, 220, 432, 475]",,meco_para_7
kararlari_0,170.0,2,"[457, 459]",,meco_para_7
cografi_0,272.0,2,"[187, 498]",,meco_para_7
"kéken,_0",340.0,3,"[497, 544, 546]",,meco_para_7
itibar_0,753.0,6,"[180, 481, 499, 500, 527, 547]",,meco_para_7
veya_0,307.0,4,"[503, 528, 554, 555]",,meco_para_7
diger_0,204.0,2,"[483, 551]",,meco_para_7
etkenlerin_0,237.0,2,"[138, 181]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,307.0,4,"[141, 222, 447, 469]",meco_para_7_qa_2 ,meco_para_7
etki_0,511.0,4,"[164, 206, 448, 450]",meco_para_7_qa_2 ,meco_para_7
=_0,69.0,1,[165],meco_para_7_qa_2 ,meco_para_7
altinda___0,439.0,6,"[165, 166, 167, 221, 404, 455]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,547.0,5,"[168, 169, 231, 460, 477]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,271.0,3,"[1, 147, 170]",meco_para_7_qa_2 ,meco_para_7
sarap_6,307.0,3,"[188, 495, 496]",meco_para_7_qa_2 ,meco_para_7
