word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,140.0,2,"[39, 59]",,meco_para_7
 duyumsal_0,361.0,4,"[23, 47, 210, 284]",,meco_para_7
olarak_0,260.0,2,"[46, 58]",,meco_para_7
incelenmesi_0,308.0,1,[262],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,78.0,1,[299],,meco_para_7
sarap_2,76.0,1,[257],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",301.0,3,"[45, 49, 52]",,meco_para_7
daha_0,223.0,2,"[208, 237]",,meco_para_7
bicimsel_0,52.0,1,[31],,meco_para_7
bir_0,64.0,1,[265],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,300.0,3,"[62, 233, 234]",,meco_para_7
yavasca__0,635.0,6,"[14, 16, 17, 19, 22, 282]",,meco_para_7
olusmaktadir._0,419.0,5,"[27, 44, 50, 215, 259]",,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,nan,0,[],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,118.0,1,[249],,meco_para_7
sarabin_1,110.0,1,[298],meco_para_7_qa_1 ,meco_para_7
algilanan_0,54.0,1,[174],meco_para_7_qa_1 ,meco_para_7
lezzet_0,144.0,1,[61],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",937.0,8,"[18, 20, 21, 51, 53, 56, 195, 236]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,55.0,1,[192],meco_para_7_qa_1 ,meco_para_7
ve_1,209.0,3,"[75, 193, 214]",meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,495.0,6,"[88, 89, 239, 242, 243, 244]",meco_para_7_qa_1 ,meco_para_7
tarif_0,77.0,1,[248],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,177.0,2,"[34, 273]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,337.0,3,"[63, 205, 206]",meco_para_7_qa_1 ,meco_para_7
olarak_1,288.0,3,"[60, 98, 235]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,247.0,3,"[103, 196, 280]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,378.0,4,"[55, 57, 186, 217]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,196.0,2,"[194, 213]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,104.0,1,[139],meco_para_7_qa_1 ,meco_para_7
Son_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
yillarda_0,216.0,2,"[247, 250]",meco_para_7_qa_1 ,meco_para_7
hem_0,74.0,1,[220],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,280.0,4,"[93, 203, 204, 297]",meco_para_7_qa_0 ,meco_para_7
hem_1,111.0,1,[146],meco_para_7_qa_0 ,meco_para_7
de__0,467.0,4,"[181, 191, 198, 199]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,876.0,10,"[41, 99, 183, 197, 211, 212, 232, 326, 328, 329]",meco_para_7_qa_0 ,meco_para_7
sarap_4,550.0,4,"[71, 187, 216, 281]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,365.0,4,"[28, 113, 189, 285]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,557.0,6,"[30, 85, 86, 111, 310, 311]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,297.0,4,"[83, 138, 240, 246]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,nan,0,[],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,308.0,3,"[8, 94, 274]",,meco_para_7
"Ornegin,_0",480.0,6,"[33, 38, 147, 148, 207, 270]",,meco_para_7
arastirmalar_0,706.0,8,"[7, 13, 15, 32, 43, 100, 182, 184]",,meco_para_7
insanlarin_0,595.0,5,"[54, 69, 185, 279, 304]",,meco_para_7
daha_1,331.0,3,"[70, 152, 308]",,meco_para_7
pahali_0,344.0,3,"[133, 134, 159]",,meco_para_7
sarabin_2,58.0,1,[286],,meco_para_7
daha_2,536.0,3,"[84, 87, 137]",,meco_para_7
ucuz_0,nan,0,[],,meco_para_7
saraba__0,nan,0,[],,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,349.0,3,"[37, 175, 226]",,meco_para_7
 arzulanan__0,483.0,7,"[12, 42, 200, 269, 271, 272, 278]",,meco_para_7
karakteristige_0,379.0,3,"[101, 105, 303]",,meco_para_7
sahip_0,383.0,3,"[151, 154, 305]",,meco_para_7
olmasini_0,569.0,6,"[73, 114, 131, 132, 307, 330]",,meco_para_7
beklediklerini_0,992.0,8,"[81, 116, 117, 165, 238, 263, 264, 321]",,meco_para_7
gostermistir:_0,769.0,7,"[140, 171, 241, 313, 319, 320, 336]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,289.0,3,"[118, 324, 325]",,meco_para_7
 sarabin_0,71.0,1,[201],,meco_para_7
gercek_0,204.0,2,"[227, 228]",,meco_para_7
olmayan’_0,827.0,8,"[11, 66, 102, 122, 149, 150, 300, 322]",,meco_para_7
bir_1,70.0,1,[68],,meco_para_7
 sekilde_0,262.0,3,"[72, 108, 126]",,meco_para_7
 pahali_0,137.0,2,"[155, 158]",,meco_para_7
oldugu_0,316.0,4,"[79, 110, 115, 294]",,meco_para_7
"soylendiginde,_0",362.0,5,"[141, 143, 172, 287, 312]",,meco_para_7
neredeyse_0,127.0,2,"[318, 337]",,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,409.0,4,"[9, 253, 254, 340]",,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,239.0,3,"[180, 229, 277]",,meco_para_7
onlara__0,239.0,3,"[90, 121, 276]",,meco_para_7
ucuz_1,132.0,2,"[6, 302]",,meco_para_7
oldugu_sdylendiginden_0,2273.0,19,"[29, 78, 80, 104, 106, 109, 125, 130, 135, 136, 153, 157, 160, 188, 288, 290, 306, 331, 341]",,meco_para_7
daha__0,344.0,3,"[168, 291, 332]",,meco_para_7
lezzetli_0,246.0,2,"[142, 335]",,meco_para_7
oldugunu_0,79.0,1,[144],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,56.0,1,[252],,meco_para_7
calismalar_0,233.0,3,"[202, 230, 275]",,meco_para_7
gosteriyor_0,410.0,3,"[97, 231, 268]",,meco_para_7
ki_0,nan,0,[],,meco_para_7
tadimcilarin”_0,230.0,3,"[5, 10, 127]",,meco_para_7
kararlari_0,245.0,3,"[77, 156, 161]",,meco_para_7
cografi_0,530.0,6,"[163, 164, 166, 169, 289, 293]",,meco_para_7
"kéken,_0",307.0,5,"[173, 292, 333, 334, 338]",,meco_para_7
itibar_0,80.0,1,[223],,meco_para_7
veya_0,87.0,1,[317],,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,361.0,2,"[95, 251]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etki_0,89.0,1,[119],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,63.0,1,[129],meco_para_7_qa_2 ,meco_para_7
Objektif_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarap_6,260.0,3,"[162, 167, 245]",meco_para_7_qa_2 ,meco_para_7
tadimi_1,98.0,1,[314],meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kor_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
tadimini_0,69.0,1,[145],meco_para_7_qa_2 ,meco_para_7
