word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,60.0,1,[16],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,73.0,1,[15],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,163.0,3,"[14, 17, 18]",,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,nan,0,[],,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,nan,0,[],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,78.0,1,[13],meco_para_7_qa_1 ,meco_para_7
algilanan_0,85.0,1,[19],meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",nan,0,[],meco_para_7_qa_1 ,meco_para_7
aromasini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,144.0,1,[38],meco_para_7_qa_1 ,meco_para_7
tarif_0,62.0,1,[39],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,171.0,2,"[20, 21]",meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,201.0,1,[83],meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
Son_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
yillarda_0,202.0,2,"[40, 43]",meco_para_7_qa_1 ,meco_para_7
hem_0,68.0,1,[42],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,131.0,1,[73],meco_para_7_qa_0 ,meco_para_7
hem_1,102.0,2,"[12, 74]",meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,67.0,1,[52],meco_para_7_qa_0 ,meco_para_7
sarap_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tadimi__0,61.0,1,[26],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,631.0,6,"[36, 60, 61, 62, 63, 82]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,255.0,3,"[37, 64, 65]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,369.0,4,"[41, 47, 68, 69]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",55.0,1,[72],,meco_para_7
arastirmalar_0,188.0,3,"[11, 22, 23]",,meco_para_7
insanlarin_0,235.0,2,"[24, 53]",,meco_para_7
daha_1,225.0,2,"[25, 54]",,meco_para_7
pahali_0,138.0,2,"[27, 85]",,meco_para_7
sarabin_2,1155.0,5,"[35, 58, 59, 70, 81]",,meco_para_7
daha_2,nan,0,[],,meco_para_7
ucuz_0,589.0,2,"[48, 66]",,meco_para_7
saraba__0,nan,0,[],,meco_para_7
gore_0,76.0,1,[44],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,177.0,1,[75],,meco_para_7
karakteristige_0,512.0,3,"[71, 77, 87]",,meco_para_7
sahip_0,520.0,4,"[10, 50, 55, 78]",,meco_para_7
olmasini_0,178.0,3,"[28, 56, 79]",,meco_para_7
beklediklerini_0,343.0,4,"[34, 49, 57, 80]",,meco_para_7
gostermistir:_0,nan,0,[],,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,nan,0,[],,meco_para_7
 sarabin_0,nan,0,[],,meco_para_7
gercek_0,58.0,1,[76],,meco_para_7
olmayan’_0,nan,0,[],,meco_para_7
bir_1,nan,0,[],,meco_para_7
 sekilde_0,52.0,1,[86],,meco_para_7
 pahali_0,nan,0,[],,meco_para_7
oldugu_0,131.0,1,[33],,meco_para_7
"soylendiginde,_0",nan,0,[],,meco_para_7
neredeyse_0,186.0,2,"[45, 46]",,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,nan,0,[],,meco_para_7
onlara__0,nan,0,[],,meco_para_7
ucuz_1,nan,0,[],,meco_para_7
oldugu_sdylendiginden_0,217.0,3,"[5, 9, 29]",,meco_para_7
daha__0,nan,0,[],,meco_para_7
lezzetli_0,nan,0,[],,meco_para_7
oldugunu_0,nan,0,[],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,nan,0,[],,meco_para_7
gosteriyor_0,nan,0,[],,meco_para_7
ki_0,nan,0,[],,meco_para_7
tadimcilarin”_0,nan,0,[],,meco_para_7
kararlari_0,500.0,4,"[3, 6, 30, 32]",,meco_para_7
cografi_0,nan,0,[],,meco_para_7
"kéken,_0",nan,0,[],,meco_para_7
itibar_0,nan,0,[],,meco_para_7
veya_0,nan,0,[],,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,243.0,2,"[7, 31]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,138.0,2,"[2, 8]",meco_para_7_qa_2 ,meco_para_7
sarap_6,87.0,1,[1],meco_para_7_qa_2 ,meco_para_7
tadimi_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kor_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
tadimini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
bu_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 tadimcinin§_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_4,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etiketini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
veya_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 sisenin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_2,nan,0,[],meco_para_7_qa_2 ,meco_para_7
seklini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
gormemesidir._0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
Kor_1,nan,0,[],meco_para_7_qa_3 ,meco_para_7
tadim_1,nan,0,[],meco_para_7_qa_3 ,meco_para_7
 ayrica_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
sarabin§_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
siyah_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
sarap_7,nan,0,[],meco_para_7_qa_3 ,meco_para_7
 bardaginda__0,nan,1,[0],meco_para_7_qa_3 ,meco_para_7
sarabin_5,nan,0,[],meco_para_7_qa_3 ,meco_para_7
__rengini_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
maskeleyecek_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
sekilde_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
servis_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
edilmesini_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
de_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
___0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
icerir._0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
Harvard_0,nan,0,[],,a_HarvardUniversity_1
Business_0,nan,0,[],,a_HarvardUniversity_1
School_0,nan,0,[],,a_HarvardUniversity_1
ve_0,nan,0,[],,a_HarvardUniversity_1
Harvard_1,nan,0,[],,a_HarvardUniversity_1
Stadyumu_0,nan,0,[],,a_HarvardUniversity_1
da_0,nan,0,[],,a_HarvardUniversity_1
dahil_0,nan,0,[],,a_HarvardUniversity_1
olmak_0,nan,0,[],,a_HarvardUniversity_1
Uzere_0,nan,0,[],,a_HarvardUniversity_1
Universitenin_0,nan,0,[],,a_HarvardUniversity_1
atletizm_0,nan,0,[],,a_HarvardUniversity_1
 tesislerinin_0,nan,0,[],,a_HarvardUniversity_1
"¢ogu,_0",nan,0,[],,a_HarvardUniversity_1
Allston'daki_0,nan,0,[],a_HarvardUniversity_1_qa_0 ,a_HarvardUniversity_1
Cambridge_0,nan,0,[],,a_HarvardUniversity_1
kampistnun_0,nan,0,[],,a_HarvardUniversity_1
karsisindaki_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
358_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
d6dnumluk_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
(145_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
hektar)_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
kamplste_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
yer_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
almaktadir._0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
John_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
W._0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Weeks_0,96.0,1,[19],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
"KO6prust,_0",nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
her_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
iki_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
kampust_0,56.0,1,[79],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
birbirine_0,311.0,2,"[32, 58]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
baglayan_0,1469.0,12,"[33, 34, 35, 36, 37, 38, 60, 62, 68, 78, 87, 88]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Charles_0,1482.0,5,"[11, 12, 39, 61, 75]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Nehri_0,341.0,3,"[13, 77, 91]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Uzerindeki_0,171.0,2,"[94, 95]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
yaya_0,nan,0,[],,a_HarvardUniversity_1
k6dprustdir._0,253.0,4,"[17, 18, 20, 136]",,a_HarvardUniversity_1
Harvard_2,138.0,2,"[7, 81]",,a_HarvardUniversity_1
Tip_0,486.0,6,"[8, 28, 80, 85, 110, 138]",,a_HarvardUniversity_1
"Okulu,_0",777.0,9,"[5, 9, 29, 30, 56, 57, 86, 103, 116]",,a_HarvardUniversity_1
Harvard_3,193.0,3,"[59, 115, 139]",,a_HarvardUniversity_1
Dis_0,824.0,10,"[10, 46, 47, 65, 102, 111, 118, 119, 140, 141]",,a_HarvardUniversity_1
Hekimligi_0,3836.0,19,"[15, 42, 43, 44, 53, 63, 64, 70, 71, 72, 89, 112, 120, 121, 123, 124, 142, 143, 144]",,a_HarvardUniversity_1
Okulu)_0,1171.0,6,"[92, 97, 101, 113, 122, 125]",,a_HarvardUniversity_1
ve_1,843.0,3,"[98, 100, 126]",,a_HarvardUniversity_1
Harvard_4,nan,0,[],,a_HarvardUniversity_1
Halk_0,nan,0,[],,a_HarvardUniversity_1
Sagligi_0,288.0,3,"[21, 107, 134]",,a_HarvardUniversity_1
"Okulu,_1",115.0,2,"[22, 109]",,a_HarvardUniversity_1
Boston_0,179.0,3,"[25, 84, 133]",,a_HarvardUniversity_1
sehir_0,112.0,1,[26],,a_HarvardUniversity_1
merkezinin§_0,115.0,2,"[55, 132]",,a_HarvardUniversity_1
yaklasik_0,172.0,3,"[4, 41, 48]",,a_HarvardUniversity_1
"3,3._0",84.0,1,[49],,a_HarvardUniversity_1
mil_0,74.0,1,[52],,a_HarvardUniversity_1
(5.3_0,nan,0,[],,a_HarvardUniversity_1
km)_0,126.0,1,[128],,a_HarvardUniversity_1
guneybatisinda_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
ve_2,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
Cambridge_1,154.0,2,"[24, 83]",a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
kampUustntin_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
"3,3_1",nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
mil_1,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
"(5,3_1",nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
km)_1,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
"glineyinde,_0",nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
Longwood_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
Tip_1,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
ve_3,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
Akademik_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
Alaninda_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
21_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
dénumluk_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
"(8,5_0",nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
 hektarlik)_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
bir_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
kampuste_0,nan,0,[],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
konumlanmaktadir._0,nan,0,[],,a_HarvardUniversity_1
Kuzeybati_0,54.0,1,[53],,a_Rhine_3
Avrupa_0,57.0,1,[9],,a_Rhine_3
22.000_0,136.0,2,"[10, 54]",a_Rhine_3_qa_0 ,a_Rhine_3
yil_0,59.0,1,[11],a_Rhine_3_qa_0 ,a_Rhine_3
Once_0,562.0,4,"[13, 15, 16, 56]",a_Rhine_3_qa_0 ,a_Rhine_3
yavasga__0,885.0,7,"[24, 25, 26, 27, 64, 109, 117]",,a_Rhine_3
isinmaya__0,200.0,2,"[60, 66]",,a_Rhine_3
"basladi,_0",nan,0,[],,a_Rhine_3
donmus_0,193.0,1,[71],,a_Rhine_3
alt_0,nan,0,[],,a_Rhine_3
topraklar_0,nan,0,[],,a_Rhine_3
ve_0,nan,0,[],,a_Rhine_3
genlesen_0,nan,0,[],,a_Rhine_3
alpin_0,nan,0,[],,a_Rhine_3
 buzullari_0,267.0,2,"[19, 58]",,a_Rhine_3
erimeye_0,844.0,8,"[17, 28, 37, 38, 59, 62, 111, 118]",a_Rhine_3_qa_1 ,a_Rhine_3
basladi_1,242.0,1,[61],,a_Rhine_3
ve_1,nan,0,[],,a_Rhine_3
sonbahar-kis_0,67.0,1,[72],,a_Rhine_3
kar_0,nan,0,[],,a_Rhine_3
ortileri_0,158.0,3,"[51, 96, 98]",,a_Rhine_3
baharda_0,nan,0,[],,a_Rhine_3
erimeye_1,116.0,2,"[49, 99]",,a_Rhine_3
basladi._2,nan,0,[],,a_Rhine_3
Ortaya_0,78.0,1,[105],,a_Rhine_3
cikan_0,999.0,9,"[18, 34, 36, 100, 101, 102, 112, 116, 119]",,a_Rhine_3
suyun_0,281.0,3,"[35, 39, 40]",,a_Rhine_3
cogu_0,nan,0,[],,a_Rhine_3
Ren_0,nan,0,[],a_Rhine_3_qa_2 ,a_Rhine_3
Nehri_0,nan,0,[],,a_Rhine_3
ve_2,nan,0,[],,a_Rhine_3
asagi_0,nan,0,[],,a_Rhine_3
akim_0,nan,0,[],,a_Rhine_3
uzantisina’_0,64.0,1,[94],,a_Rhine_3
ydneldi._0,nan,0,[],,a_Rhine_3
Hizli_0,51.0,1,[93],,a_Rhine_3
isinma_0,nan,0,[],,a_Rhine_3
ve_3,52.0,1,[106],,a_Rhine_3
bitki_0,543.0,5,"[32, 33, 77, 114, 115]",,a_Rhine_3
OrtUsti_0,447.0,5,"[30, 31, 48, 92, 120]",,a_Rhine_3
defgisiklikleri_0,964.0,8,"[41, 42, 43, 45, 79, 87, 90, 91]",,a_Rhine_3
ve_4,294.0,4,"[46, 47, 85, 86]",,a_Rhine_3
ormanlar_0,nan,0,[],,a_Rhine_3
13.000_0,nan,0,[],a_Rhine_3_qa_3 ,a_Rhine_3
yil_1,nan,0,[],a_Rhine_3_qa_3 ,a_Rhine_3
6nce_0,62.0,1,[6],,a_Rhine_3
olusmaya_0,nan,0,[],,a_Rhine_3
basladi._3,56.0,1,[107],,a_Rhine_3
9000_0,nan,0,[],a_Rhine_3_qa_4 ,a_Rhine_3
yil_2,nan,0,[],a_Rhine_3_qa_4 ,a_Rhine_3
6ncesi_0,114.0,1,[76],,a_Rhine_3
