word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,120.0,2,"[408, 457]",,meco_para_7
"tadimi,_0",412.0,5,"[424, 431, 432, 433, 725]",,meco_para_7
sarabin_0,673.0,4,"[26, 132, 253, 671]",,meco_para_7
 duyumsal_0,285.0,2,"[282, 670]",,meco_para_7
olarak_0,190.0,1,[288],,meco_para_7
incelenmesi_0,206.0,1,[290],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,88.0,1,[818],,meco_para_7
Sarap_1,81.0,1,[817],,meco_para_7
tadim_0,157.0,1,[816],,meco_para_7
pratigi_0,377.0,5,"[234, 359, 410, 458, 723]",,meco_para_7
sarap_2,153.0,2,"[682, 724]",,meco_para_7
Uretimi_0,1154.0,10,"[239, 252, 275, 285, 420, 430, 434, 672, 769, 770]",,meco_para_7
kadar_0,581.0,4,"[40, 195, 283, 423]",,meco_para_7
"antikken,_0",183.0,1,[422],,meco_para_7
daha_0,268.0,2,"[118, 289]",,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,199.0,3,"[741, 742, 748]",,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,812.0,8,"[217, 277, 279, 358, 685, 836, 837, 838]",,meco_para_7
 glnUmUuze_0,1361.0,17,"[27, 131, 238, 274, 276, 325, 460, 461, 547, 548, 551, 552, 673, 680, 681, 686, 707]",,meco_para_7
yavasca__0,993.0,10,"[15, 41, 133, 145, 421, 435, 576, 629, 703, 768]",,meco_para_7
olusmaktadir._0,939.0,11,"[117, 144, 286, 287, 326, 578, 669, 690, 691, 704, 755]",,meco_para_7
"Modern,_0",325.0,3,"[339, 398, 754]",,meco_para_7
profesyonel_0,378.0,3,"[304, 665, 789]",,meco_para_7
sarap_3,147.0,1,[749],,meco_para_7
—_0,114.0,1,[743],,meco_para_7
tadimcilari_0,114.0,1,[743],,meco_para_7
sarabin_1,679.0,7,"[216, 250, 357, 539, 683, 684, 762]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,1515.0,16,"[12, 25, 218, 324, 459, 544, 545, 549, 569, 572, 617, 687, 708, 709, 834, 835]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,1347.0,13,"[428, 429, 496, 550, 568, 593, 599, 628, 688, 689, 706, 727, 731]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",1512.0,16,"[19, 20, 106, 107, 134, 135, 249, 281, 327, 328, 406, 579, 692, 705, 756, 771]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,237.0,3,"[17, 405, 778]",meco_para_7_qa_1 ,meco_para_7
ve_1,993.0,6,"[196, 340, 668, 779, 782, 783]",meco_para_7_qa_1 ,meco_para_7
 genel__0,438.0,5,"[316, 317, 441, 667, 787]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,2596.0,18,"[35, 197, 198, 264, 301, 362, 445, 663, 664, 666, 677, 746, 747, 752, 786, 793, 794, 804]",meco_para_7_qa_1 ,meco_para_7
tarif_0,490.0,5,"[745, 750, 751, 800, 819]",meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,1071.0,8,"[236, 323, 380, 575, 618, 717, 718, 761]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,1082.0,13,"[13, 129, 130, 214, 215, 237, 251, 278, 376, 381, 571, 573, 853]",meco_para_7_qa_1 ,meco_para_7
olarak_1,1331.0,16,"[28, 146, 147, 495, 553, 557, 570, 580, 594, 615, 625, 627, 732, 735, 757, 833]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,1796.0,17,"[16, 21, 22, 29, 39, 103, 105, 273, 425, 493, 567, 577, 614, 693, 728, 767, 832]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,1682.0,15,"[18, 108, 115, 125, 136, 139, 140, 143, 222, 280, 368, 436, 702, 777, 831]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,1958.0,21,"[2, 31, 38, 110, 116, 223, 226, 227, 305, 341, 404, 451, 520, 660, 661, 695, 772, 780, 781, 784, 830]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,1791.0,17,"[51, 229, 263, 265, 396, 397, 411, 442, 443, 444, 446, 662, 790, 795, 823, 824, 828]",meco_para_7_qa_1 ,meco_para_7
Son_0,1139.0,9,"[34, 266, 299, 300, 523, 698, 799, 805, 814]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,412.0,2,"[538, 744]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,423.0,5,"[71, 540, 543, 760, 763]",meco_para_7_qa_0 ,meco_para_7
hem_1,588.0,5,"[219, 241, 574, 730, 852]",meco_para_7_qa_0 ,meco_para_7
de__0,1345.0,13,"[67, 148, 318, 378, 382, 554, 555, 622, 623, 626, 758, 766, 851]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,1873.0,19,"[10, 23, 30, 66, 213, 220, 248, 426, 494, 558, 559, 560, 581, 595, 598, 624, 729, 733, 776]",meco_para_7_qa_0 ,meco_para_7
sarap_4,2034.0,17,"[6, 8, 9, 53, 95, 101, 102, 137, 138, 141, 142, 158, 221, 453, 502, 503, 844]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,2754.0,25,"[3, 100, 126, 127, 150, 151, 155, 185, 225, 244, 272, 291, 360, 366, 367, 439, 452, 592, 642, 646, 659, 674, 694, 701, 840]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,4133.0,34,"[37, 50, 52, 113, 114, 119, 199, 224, 228, 233, 256, 262, 269, 306, 309, 310, 361, 365, 403, 440, 447, 448, 450, 509, 510, 563, 591, 647, 696, 697, 785, 822, 829, 841]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,3917.0,25,"[32, 33, 36, 232, 268, 298, 302, 303, 363, 399, 402, 412, 513, 522, 648, 649, 678, 699, 738, 739, 798, 803, 813, 820, 826]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,822.0,6,"[297, 524, 529, 534, 825, 827]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",1051.0,7,"[70, 616, 713, 716, 719, 759, 764]",,meco_para_7
arastirmalar_0,1729.0,19,"[11, 14, 69, 121, 124, 377, 427, 466, 467, 487, 490, 491, 498, 499, 562, 619, 711, 765, 847]",,meco_para_7
insanlarin_0,1386.0,13,"[120, 128, 149, 416, 478, 501, 561, 582, 596, 606, 644, 773, 775]",,meco_para_7
daha_1,1241.0,11,"[5, 210, 211, 242, 369, 437, 463, 504, 597, 641, 839]",,meco_para_7
pahali_0,2826.0,21,"[48, 49, 96, 98, 99, 154, 186, 207, 243, 372, 390, 438, 565, 566, 600, 631, 655, 656, 657, 842, 843]",,meco_para_7
sarabin_2,1266.0,15,"[97, 152, 200, 292, 293, 307, 311, 449, 506, 511, 564, 650, 675, 679, 700]",,meco_para_7
daha_2,1604.0,11,"[271, 395, 400, 521, 613, 636, 639, 792, 796, 811, 821]",,meco_para_7
ucuz_0,964.0,7,"[231, 267, 401, 508, 740, 791, 812]",,meco_para_7
