word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,72.0,1,[49],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,136.0,1,[11],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,72.0,1,[42],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,95.0,1,[26],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,72.0,1,[10],,meco_para_7
 glnUmUuze_0,101.0,1,[383],,meco_para_7
yavasca__0,160.0,2,"[44, 399]",,meco_para_7
olusmaktadir._0,nan,0,[],,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,84.0,1,[144],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,344.0,4,"[8, 9, 48, 330]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,583.0,5,"[3, 39, 123, 377, 380]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",162.0,2,"[85, 362]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,196.0,2,"[40, 401]",meco_para_7_qa_1 ,meco_para_7
ve_1,271.0,3,"[25, 45, 50]",meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
tarif_0,68.0,1,[391],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,309.0,3,"[336, 338, 378]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,806.0,8,"[35, 47, 74, 120, 121, 122, 332, 379]",meco_para_7_qa_1 ,meco_para_7
olarak_1,1013.0,8,"[36, 72, 124, 241, 337, 357, 358, 384]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,338.0,3,"[81, 347, 364]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,375.0,5,"[24, 80, 129, 172, 361]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,483.0,5,"[51, 52, 138, 185, 400]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,539.0,7,"[27, 106, 139, 186, 345, 366, 372]",meco_para_7_qa_1 ,meco_para_7
Son_0,226.0,3,"[143, 371, 402]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,401.0,4,"[2, 7, 38, 397]",meco_para_7_qa_0 ,meco_para_7
hem_1,138.0,2,"[37, 329]",meco_para_7_qa_0 ,meco_para_7
de__0,72.0,1,[151],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,1001.0,10,"[82, 86, 101, 125, 126, 196, 262, 346, 356, 398]",meco_para_7_qa_0 ,meco_para_7
sarap_4,846.0,9,"[16, 78, 83, 87, 100, 128, 270, 360, 365]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,617.0,6,"[19, 76, 77, 102, 107, 178]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,1026.0,10,"[21, 22, 53, 56, 57, 108, 109, 110, 142, 341]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,429.0,6,"[23, 91, 116, 184, 387, 388]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,207.0,1,[93],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,103.0,1,[396],,meco_para_7
"Ornegin,_0",199.0,3,"[75, 165, 255]",,meco_para_7
arastirmalar_0,1555.0,14,"[34, 94, 127, 150, 166, 194, 195, 240, 256, 269, 335, 355, 381, 413]",,meco_para_7
insanlarin_0,635.0,9,"[15, 43, 99, 233, 236, 237, 239, 261, 382]",,meco_para_7
daha_1,1072.0,12,"[17, 18, 79, 84, 103, 104, 201, 244, 271, 342, 367, 386]",,meco_para_7
pahali_0,475.0,4,"[54, 61, 164, 343]",,meco_para_7
sarabin_2,866.0,10,"[55, 58, 64, 105, 115, 140, 161, 180, 370, 416]",,meco_para_7
daha_2,506.0,5,"[111, 118, 131, 208, 389]",,meco_para_7
ucuz_0,135.0,1,[163],,meco_para_7
saraba__0,368.0,4,"[209, 212, 403, 407]",,meco_para_7
gore_0,138.0,2,"[348, 349]",,meco_para_7
daha_3,207.0,3,"[6, 218, 254]",,meco_para_7
fazla_0,614.0,7,"[73, 149, 193, 217, 223, 231, 263]",,meco_para_7
 arzulanan__0,351.0,5,"[66, 222, 258, 334, 354]",,meco_para_7
karakteristige_0,873.0,9,"[98, 146, 158, 173, 238, 257, 268, 306, 414]",,meco_para_7
sahip_0,306.0,2,"[234, 385]",,meco_para_7
olmasini_0,566.0,7,"[60, 245, 339, 340, 368, 369, 445]",,meco_para_7
beklediklerini_0,1363.0,13,"[63, 65, 92, 114, 130, 136, 137, 181, 249, 277, 376, 455, 459]",,meco_para_7
gostermistir:_0,607.0,8,"[32, 112, 119, 206, 210, 276, 373, 457]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,310.0,3,"[175, 404, 406]",,meco_para_7
verilen_0,272.0,3,"[68, 227, 232]",,meco_para_7
 sarabin_0,602.0,7,"[4, 5, 70, 155, 156, 224, 225]",,meco_para_7
gercek_0,75.0,1,[259],,meco_para_7
olmayan’_0,197.0,3,"[147, 167, 171]",,meco_para_7
bir_1,435.0,5,"[197, 198, 235, 260, 359]",,meco_para_7
 sekilde_0,337.0,4,"[220, 242, 243, 264]",,meco_para_7
 pahali_0,870.0,10,"[88, 89, 132, 134, 160, 176, 207, 246, 417, 450]",,meco_para_7
oldugu_0,864.0,8,"[30, 211, 248, 415, 421, 430, 449, 460]",,meco_para_7
"soylendiginde,_0",610.0,8,"[59, 113, 187, 353, 418, 454, 456, 458]",,meco_para_7
neredeyse_0,750.0,5,"[274, 275, 392, 405, 471]",,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,209.0,2,"[281, 333]",,meco_para_7
ayni_0,277.0,4,"[69, 282, 408, 409]",,meco_para_7
sarap_5,250.0,3,"[97, 321, 410]",,meco_para_7
onlara__0,201.0,2,"[95, 154]",,meco_para_7
ucuz_1,97.0,1,[153],,meco_para_7
oldugu_sdylendiginden_0,1707.0,16,"[28, 62, 133, 135, 157, 174, 199, 204, 247, 267, 272, 287, 293, 419, 436, 451]",,meco_para_7
daha__0,777.0,9,"[29, 188, 294, 297, 422, 431, 435, 448, 452]",,meco_para_7
lezzetli_0,734.0,6,"[90, 117, 182, 205, 351, 432]",,meco_para_7
oldugunu_0,268.0,3,"[215, 350, 434]",,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,297.0,4,"[228, 229, 280, 283]",,meco_para_7
calismalar_0,439.0,5,"[96, 226, 230, 285, 302]",,meco_para_7
gosteriyor_0,202.0,2,"[411, 412]",,meco_para_7
ki_0,64.0,1,[168],,meco_para_7
tadimcilarin”_0,756.0,8,"[169, 286, 307, 311, 313, 316, 325, 326]",,meco_para_7
kararlari_0,548.0,7,"[202, 266, 290, 301, 317, 437, 461]",,meco_para_7
cografi_0,363.0,5,"[200, 295, 298, 352, 441]",,meco_para_7
"kéken,_0",138.0,2,"[183, 191]",,meco_para_7
itibar_0,501.0,6,"[0, 190, 279, 375, 433, 440]",,meco_para_7
veya_0,170.0,2,"[216, 374]",,meco_para_7
diger_0,132.0,2,"[219, 250]",,meco_para_7
etkenlerin_0,435.0,2,"[284, 304]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,127.0,2,"[323, 464]",meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,269.0,3,"[1, 312, 474]",meco_para_7_qa_2 ,meco_para_7
