word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,371.0,3,"[209, 210, 219]",,meco_para_7
"tadimi,_0",509.0,3,"[148, 180, 327]",,meco_para_7
sarabin_0,608.0,5,"[25, 37, 150, 351, 365]",,meco_para_7
 duyumsal_0,3191.0,15,"[7, 8, 11, 12, 26, 53, 130, 135, 151, 152, 154, 251, 254, 259, 328]",,meco_para_7
olarak_0,752.0,6,"[13, 54, 123, 124, 136, 310]",,meco_para_7
incelenmesi_0,831.0,8,"[43, 137, 138, 158, 161, 309, 318, 338]",,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,1735.0,13,"[17, 19, 20, 22, 34, 45, 58, 75, 127, 162, 165, 177, 321]",,meco_para_7
Sarap_1,709.0,6,"[145, 166, 322, 325, 334, 339]",,meco_para_7
tadim_0,136.0,1,[144],,meco_para_7
pratigi_0,70.0,1,[407],,meco_para_7
sarap_2,1194.0,9,"[93, 146, 147, 211, 220, 308, 349, 408, 409]",,meco_para_7
Uretimi_0,336.0,3,"[24, 49, 222]",,meco_para_7
kadar_0,1062.0,9,"[51, 169, 181, 182, 197, 250, 311, 336, 366]",,meco_para_7
"antikken,_0",1526.0,9,"[27, 38, 52, 160, 198, 312, 313, 314, 337]",,meco_para_7
daha_0,1493.0,8,"[14, 29, 55, 71, 131, 281, 317, 331]",,meco_para_7
bicimsel_0,944.0,8,"[15, 16, 40, 41, 170, 172, 200, 319]",,meco_para_7
bir_0,305.0,2,"[57, 184]",,meco_para_7
metodoloji_0,1591.0,11,"[33, 59, 88, 163, 164, 174, 175, 179, 189, 266, 320]",,meco_para_7
orta_0,203.0,3,"[65, 66, 269]",,meco_para_7
 caglarin_0,238.0,3,"[344, 346, 361]",,meco_para_7
sonlarindan_0,714.0,5,"[192, 233, 240, 335, 350]",,meco_para_7
 glnUmUuze_0,2826.0,17,"[48, 94, 112, 134, 193, 221, 223, 256, 257, 258, 305, 306, 307, 363, 364, 379, 393]",,meco_para_7
yavasca__0,1200.0,6,"[132, 213, 224, 225, 255, 380]",,meco_para_7
olusmaktadir._0,1119.0,10,"[72, 199, 262, 263, 271, 330, 341, 352, 369, 370]",,meco_para_7
"Modern,_0",409.0,4,"[30, 171, 183, 316]",,meco_para_7
profesyonel_0,1493.0,8,"[32, 42, 78, 92, 188, 343, 357, 451]",,meco_para_7
sarap_3,745.0,6,"[23, 68, 91, 167, 326, 452]",,meco_para_7
—_0,510.0,4,"[167, 205, 326, 452]",,meco_para_7
tadimcilari_0,646.0,6,"[205, 267, 268, 347, 360, 390]",,meco_para_7
sarabin_1,171.0,1,[391],meco_para_7_qa_1 ,meco_para_7
algilanan_0,1050.0,9,"[35, 36, 95, 111, 232, 239, 304, 340, 392]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,1190.0,8,"[82, 89, 133, 168, 212, 226, 280, 394]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",1051.0,11,"[79, 80, 81, 196, 214, 329, 381, 411, 412, 413, 467]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,753.0,7,"[73, 153, 272, 282, 414, 415, 466]",meco_para_7_qa_1 ,meco_para_7
ve_1,436.0,5,"[74, 86, 264, 355, 371]",meco_para_7_qa_1 ,meco_para_7
 genel__0,309.0,4,"[186, 201, 265, 356]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,822.0,8,"[69, 70, 87, 342, 358, 373, 374, 375]",meco_para_7_qa_1 ,meco_para_7
tarif_0,1388.0,10,"[60, 90, 178, 206, 348, 359, 376, 389, 404, 453]",meco_para_7_qa_1 ,meco_para_7
etmek_0,813.0,4,"[207, 208, 362, 455]",meco_para_7_qa_1 ,meco_para_7
icin_0,82.0,1,[218],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,306.0,3,"[104, 420, 422]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,375.0,2,"[103, 303]",meco_para_7_qa_1 ,meco_para_7
olarak_1,504.0,4,"[194, 195, 395, 410]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,68.0,1,[234],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,452.0,5,"[85, 215, 228, 382, 383]",meco_para_7_qa_1 ,meco_para_7
