word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",50.0,1,[42],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,302.0,3,"[10, 65, 66]",,meco_para_7
olarak_0,54.0,1,[44],,meco_para_7
incelenmesi_0,67.0,1,[37],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,84.0,1,[60],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,210.0,2,"[43, 73]",,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,364.0,5,"[41, 106, 107, 108, 131]",,meco_para_7
"antikken,_0",442.0,3,"[9, 67, 130]",,meco_para_7
daha_0,165.0,1,[46],,meco_para_7
bicimsel_0,56.0,1,[13],,meco_para_7
bir_0,61.0,1,[50],,meco_para_7
metodoloji_0,149.0,2,"[51, 59]",,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,53.0,1,[7],,meco_para_7
 glnUmUuze_0,221.0,3,"[19, 84, 85]",,meco_para_7
yavasca__0,347.0,2,"[74, 147]",,meco_para_7
olusmaktadir._0,513.0,6,"[35, 45, 87, 88, 129, 149]",,meco_para_7
"Modern,_0",50.0,1,[14],,meco_para_7
profesyonel_0,nan,0,[],,meco_para_7
sarap_3,92.0,1,[61],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
lezzet_0,71.0,1,[146],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",449.0,6,"[5, 86, 109, 148, 153, 175]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,553.0,6,"[75, 110, 111, 132, 150, 173]",meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,53.0,1,[49],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,229.0,2,"[47, 211]",meco_para_7_qa_1 ,meco_para_7
tarif_0,96.0,1,[21],meco_para_7_qa_1 ,meco_para_7
etmek_0,55.0,1,[120],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,301.0,2,"[83, 105]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,164.0,2,"[144, 145]",meco_para_7_qa_1 ,meco_para_7
olarak_1,278.0,3,"[6, 62, 174]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,299.0,2,"[4, 154]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,445.0,4,"[33, 89, 93, 172]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,590.0,6,"[15, 68, 90, 92, 183, 198]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,159.0,1,[48],meco_para_7_qa_1 ,meco_para_7
Son_0,255.0,3,"[52, 72, 210]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,194.0,2,"[101, 119]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
hem_1,54.0,1,[121],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,468.0,5,"[126, 127, 176, 195, 196]",meco_para_7_qa_0 ,meco_para_7
sarap_4,332.0,5,"[3, 128, 152, 155, 177]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,359.0,4,"[1, 151, 156, 199]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,692.0,6,"[76, 77, 78, 112, 170, 184]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,216.0,3,"[56, 69, 80]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,214.0,3,"[100, 118, 185]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,97.0,1,[143],,meco_para_7
"Ornegin,_0",nan,0,[],,meco_para_7
arastirmalar_0,257.0,3,"[124, 125, 194]",,meco_para_7
insanlarin_0,251.0,4,"[102, 181, 182, 265]",,meco_para_7
daha_1,63.0,1,[168],,meco_para_7
pahali_0,815.0,6,"[2, 94, 133, 157, 169, 200]",,meco_para_7
sarabin_2,226.0,4,"[0, 16, 113, 158]",,meco_para_7
daha_2,nan,0,[],,meco_para_7
ucuz_0,316.0,4,"[55, 70, 71, 115]",,meco_para_7
saraba__0,50.0,1,[209],,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,82.0,1,[123],,meco_para_7
 arzulanan__0,143.0,1,[193],,meco_para_7
karakteristige_0,209.0,3,"[32, 223, 224]",,meco_para_7
sahip_0,179.0,2,"[38, 180]",,meco_para_7
olmasini_0,278.0,3,"[82, 178, 226]",,meco_para_7
beklediklerini_0,418.0,5,"[18, 79, 134, 159, 212]",,meco_para_7
gostermistir:_0,448.0,5,"[139, 140, 186, 203, 208]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,299.0,3,"[25, 189, 217]",,meco_para_7
 sarabin_0,nan,0,[],,meco_para_7
gercek_0,179.0,1,[220],,meco_para_7
olmayan’_0,135.0,2,"[222, 264]",,meco_para_7
bir_1,nan,0,[],,meco_para_7
 sekilde_0,391.0,3,"[179, 225, 263]",,meco_para_7
 pahali_0,52.0,1,[201],,meco_para_7
oldugu_0,154.0,2,"[227, 238]",,meco_para_7
"soylendiginde,_0",549.0,8,"[95, 96, 97, 116, 204, 207, 245, 246]",,meco_para_7
neredeyse_0,124.0,2,"[136, 137]",,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,394.0,4,"[24, 31, 188, 190]",,meco_para_7
ayni_0,211.0,2,"[191, 219]",,meco_para_7
sarap_5,50.0,1,[213],,meco_para_7
onlara__0,139.0,1,[221],,meco_para_7
ucuz_1,nan,0,[],,meco_para_7
oldugu_sdylendiginden_0,278.0,3,"[141, 235, 277]",,meco_para_7
daha__0,329.0,5,"[202, 228, 239, 242, 276]",,meco_para_7
lezzetli_0,430.0,4,"[99, 206, 240, 244]",,meco_para_7
oldugunu_0,403.0,5,"[54, 81, 117, 135, 138]",,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,501.0,4,"[22, 26, 214, 216]",,meco_para_7
