word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,74.0,1,[101],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,137.0,2,"[99, 187]",,meco_para_7
incelenmesi_0,70.0,1,[98],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,132.0,2,"[176, 236]",,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,204.0,3,"[144, 240, 371]",,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,130.0,2,"[100, 103]",,meco_para_7
"antikken,_0",69.0,1,[186],,meco_para_7
daha_0,66.0,1,[177],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,232.0,2,"[141, 395]",,meco_para_7
metodoloji_0,151.0,2,"[142, 373]",,meco_para_7
orta_0,71.0,1,[243],,meco_para_7
 caglarin_0,316.0,5,"[118, 239, 242, 244, 370]",,meco_para_7
sonlarindan_0,69.0,1,[153],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,204.0,3,"[104, 178, 185]",,meco_para_7
olusmaktadir._0,138.0,1,[189],,meco_para_7
"Modern,_0",212.0,3,"[139, 191, 374]",,meco_para_7
profesyonel_0,151.0,2,"[119, 140]",,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,273.0,4,"[195, 238, 245, 369]",,meco_para_7
sarabin_1,178.0,2,"[152, 154]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
lezzet_0,86.0,1,[10],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",69.0,1,[159],meco_para_7_qa_1 ,meco_para_7
aromasini_0,213.0,3,"[97, 120, 217]",meco_para_7_qa_1 ,meco_para_7
ve_1,67.0,1,[138],meco_para_7_qa_1 ,meco_para_7
 genel__0,100.0,1,[192],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,227.0,3,"[146, 193, 248]",meco_para_7_qa_1 ,meco_para_7
tarif_0,135.0,2,"[194, 404]",meco_para_7_qa_1 ,meco_para_7
etmek_0,131.0,2,"[235, 246]",meco_para_7_qa_1 ,meco_para_7
icin_0,378.0,4,"[116, 234, 324, 435]",meco_para_7_qa_1 ,meco_para_7
kullanilan_0,199.0,2,"[155, 297]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,87.0,1,[9],meco_para_7_qa_1 ,meco_para_7
olarak_1,346.0,4,"[105, 179, 180, 376]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,524.0,4,"[11, 15, 121, 263]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,463.0,6,"[12, 14, 147, 375, 390, 475]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,699.0,8,"[13, 45, 112, 216, 218, 293, 394, 405]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,333.0,5,"[44, 46, 113, 199, 249]",meco_para_7_qa_1 ,meco_para_7
Son_0,129.0,2,"[114, 325]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,224.0,3,"[115, 291, 368]",meco_para_7_qa_1 ,meco_para_7
hem_0,128.0,2,"[173, 432]",meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
hem_1,421.0,4,"[8, 149, 184, 489]",meco_para_7_qa_0 ,meco_para_7
de__0,479.0,4,"[106, 158, 213, 490]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,536.0,7,"[107, 148, 160, 162, 260, 264, 488]",meco_para_7_qa_0 ,meco_para_7
sarap_4,491.0,6,"[96, 110, 215, 294, 352, 392]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,458.0,6,"[17, 170, 171, 250, 353, 393]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,270.0,4,"[137, 219, 326, 496]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,146.0,2,"[292, 511]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,389.0,5,"[82, 365, 431, 436, 498]",,meco_para_7
 ortaya_0,346.0,3,"[290, 499, 500]",,meco_para_7
ciktl._0,190.0,2,"[124, 298]",,meco_para_7
"Ornegin,_0",993.0,12,"[123, 125, 126, 127, 128, 150, 211, 253, 296, 377, 378, 493]",,meco_para_7
arastirmalar_0,1322.0,17,"[108, 122, 156, 157, 161, 164, 181, 183, 212, 252, 258, 261, 295, 331, 337, 491, 492]",,meco_para_7
insanlarin_0,933.0,10,"[7, 132, 168, 169, 214, 251, 259, 310, 389, 476]",,meco_para_7
daha_1,260.0,4,"[281, 351, 487, 495]",,meco_para_7
pahali_0,408.0,6,"[200, 220, 464, 474, 512, 587]",,meco_para_7
sarabin_2,367.0,3,"[47, 78, 463]",,meco_para_7
daha_2,341.0,4,"[80, 221, 356, 497]",,meco_para_7
ucuz_0,134.0,2,"[81, 357]",,meco_para_7
saraba__0,530.0,5,"[85, 288, 366, 430, 472]",,meco_para_7
gore_0,433.0,6,"[83, 230, 289, 367, 471, 534]",,meco_para_7
daha_3,68.0,1,[379],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,697.0,7,"[130, 131, 182, 210, 257, 329, 336]",,meco_para_7
karakteristige_0,1175.0,13,"[6, 109, 163, 166, 167, 201, 202, 307, 328, 341, 407, 494, 513]",,meco_para_7
sahip_0,571.0,8,"[265, 280, 309, 311, 327, 342, 350, 406]",,meco_para_7
olmasini_0,337.0,4,"[136, 279, 465, 586]",,meco_para_7
beklediklerini_0,986.0,14,"[48, 79, 278, 316, 317, 354, 355, 460, 461, 462, 478, 479, 486, 588]",,meco_para_7
gostermistir:_0,1116.0,14,"[41, 43, 86, 223, 287, 319, 358, 437, 484, 485, 531, 532, 624, 625]",,meco_para_7
|_0,151.0,2,"[484, 533]",,meco_para_7
Tadimcilar_0,791.0,9,"[84, 224, 229, 507, 533, 535, 555, 556, 597]",,meco_para_7
verilen_0,nan,0,[],,meco_para_7
 sarabin_0,741.0,8,"[209, 254, 256, 302, 335, 338, 412, 452]",,meco_para_7
gercek_0,953.0,8,"[203, 303, 384, 453, 454, 455, 636, 665]",,meco_para_7
olmayan’_0,606.0,7,"[165, 304, 306, 332, 340, 514, 682]",,meco_para_7
bir_1,345.0,4,"[266, 308, 388, 526]",,meco_para_7
 sekilde_0,651.0,7,"[18, 267, 348, 387, 466, 528, 683]",,meco_para_7
 pahali_0,565.0,6,"[2, 77, 135, 282, 347, 684]",,meco_para_7
oldugu_0,1387.0,10,"[49, 63, 65, 66, 268, 277, 283, 284, 346, 530]",,meco_para_7
"soylendiginde,_0",1345.0,13,"[29, 64, 222, 269, 270, 360, 362, 363, 364, 429, 589, 598, 623]",,meco_para_7
neredeyse_0,1106.0,10,"[321, 322, 359, 470, 480, 503, 505, 594, 626, 627]",,meco_para_7
her_0,457.0,4,"[225, 323, 502, 506]",,meco_para_7
zaman_0,514.0,3,"[301, 380, 411]",,meco_para_7
ayni_0,534.0,5,"[255, 381, 409, 442, 635]",,meco_para_7
sarap_5,950.0,9,"[330, 334, 339, 408, 421, 451, 515, 637, 666]",,meco_para_7
onlara__0,435.0,4,"[333, 385, 417, 422]",,meco_para_7
ucuz_1,778.0,7,"[133, 305, 386, 423, 545, 577, 578]",,meco_para_7
oldugu_sdylendiginden_0,2068.0,26,"[1, 5, 50, 74, 75, 76, 95, 312, 314, 315, 343, 349, 459, 525, 527, 529, 546, 549, 550, 566, 567, 580, 581, 585, 681, 685]",,meco_para_7
daha__0,541.0,7,"[28, 30, 67, 87, 276, 565, 590]",,meco_para_7
lezzetli_0,323.0,5,"[27, 40, 42, 591, 592]",,meco_para_7
oldugunu_0,472.0,7,"[286, 320, 428, 504, 537, 593, 595]",,meco_para_7
belirttiler._0,281.0,3,"[481, 563, 628]",,meco_para_7
Baska_0,67.0,1,[443],,meco_para_7
calismalar_0,1405.0,15,"[204, 208, 382, 413, 415, 416, 441, 447, 516, 570, 575, 605, 664, 667, 698]",,meco_para_7
gosteriyor_0,813.0,10,"[418, 420, 448, 449, 450, 456, 569, 576, 695, 708]",,meco_para_7
ki_0,204.0,3,"[440, 457, 544]",,meco_para_7
tadimcilarin”_0,733.0,9,"[3, 35, 313, 458, 547, 643, 694, 709, 710]",,meco_para_7
kararlari_0,1493.0,14,"[19, 32, 51, 73, 345, 439, 541, 548, 582, 583, 692, 711, 712, 714]",,meco_para_7
