word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,241.0,3,"[82, 402, 468]",,meco_para_7
"tadimi,_0",176.0,2,"[430, 511]",,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,173.0,2,"[63, 444]",,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,65.0,1,[333],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,70.0,1,[405],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,67.0,1,[323],,meco_para_7
pratigi_0,214.0,3,"[467, 493, 577]",,meco_para_7
sarap_2,203.0,2,"[37, 85]",,meco_para_7
Uretimi_0,172.0,2,"[38, 41]",,meco_para_7
kadar_0,200.0,3,"[5, 64, 392]",,meco_para_7
"antikken,_0",1597.0,7,"[7, 10, 11, 313, 353, 355, 427]",,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,75.0,1,[316],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,597.0,7,"[34, 492, 508, 510, 576, 578, 721]",,meco_para_7
 glnUmUuze_0,211.0,3,"[84, 488, 579]",,meco_para_7
yavasca__0,231.0,3,"[69, 331, 449]",,meco_para_7
olusmaktadir._0,1222.0,4,"[330, 352, 424, 443]",,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,1003.0,1,[708],,meco_para_7
sarap_3,61.0,1,[406],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,147.0,2,"[31, 514]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,534.0,7,"[36, 61, 62, 83, 86, 489, 517]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",2211.0,5,"[6, 9, 39, 425, 704]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,1012.0,1,[426],meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,68.0,1,[18],meco_para_7_qa_1 ,meco_para_7
tarif_0,77.0,1,[530],meco_para_7_qa_1 ,meco_para_7
etmek_0,66.0,1,[684],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,512.0,6,"[2, 3, 4, 30, 35, 512]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,138.0,2,"[192, 509]",meco_para_7_qa_1 ,meco_para_7
olarak_1,336.0,4,"[89, 90, 689, 691]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,1274.0,4,"[40, 68, 448, 703]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,3293.0,7,"[1, 421, 422, 423, 450, 471, 472]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,75.0,1,[487],meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,136.0,2,"[17, 628]",meco_para_7_qa_1 ,meco_para_7
Son_0,130.0,1,[19],meco_para_7_qa_1 ,meco_para_7
yillarda_0,130.0,2,"[215, 529]",meco_para_7_qa_1 ,meco_para_7
hem_0,402.0,4,"[359, 363, 369, 568]",meco_para_7_qa_1 ,meco_para_7
