word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",68.0,1,[327],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,68.0,1,[389],,meco_para_7
olarak_0,135.0,1,[391],,meco_para_7
incelenmesi_0,307.0,3,"[341, 382, 388]",,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,101.0,1,[385],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,53.0,1,[307],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,270.0,2,"[12, 305]",,meco_para_7
"antikken,_0",279.0,2,"[380, 390]",,meco_para_7
daha_0,205.0,3,"[34, 40, 392]",,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,341.0,2,"[100, 386]",,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,102.0,1,[384],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,69.0,1,[29],,meco_para_7
olusmaktadir._0,544.0,5,"[35, 36, 39, 340, 378]",,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,238.0,2,"[101, 103]",,meco_para_7
sarap_3,65.0,1,[383],,meco_para_7
—_0,65.0,1,[383],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,69.0,1,[26],meco_para_7_qa_1 ,meco_para_7
algilanan_0,443.0,3,"[356, 357, 358]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",407.0,2,"[30, 395]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,68.0,1,[38],meco_para_7_qa_1 ,meco_para_7
ve_1,343.0,2,"[41, 393]",meco_para_7_qa_1 ,meco_para_7
 genel__0,341.0,2,"[99, 155]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,577.0,5,"[102, 104, 118, 156, 157]",meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,142.0,2,"[28, 325]",meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,135.0,2,"[31, 52]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,138.0,2,"[32, 377]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,542.0,3,"[20, 154, 342]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,510.0,4,"[21, 22, 137, 400]",meco_para_7_qa_1 ,meco_para_7
Son_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
yillarda_0,203.0,2,"[105, 119]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,101.0,1,[63],meco_para_7_qa_0 ,meco_para_7
hem_1,nan,0,[],meco_para_7_qa_0 ,meco_para_7
de__0,548.0,6,"[5, 6, 11, 51, 86, 324]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,475.0,3,"[7, 13, 323]",meco_para_7_qa_0 ,meco_para_7
sarap_4,511.0,3,"[53, 71, 394]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,67.0,1,[54],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,989.0,4,"[23, 98, 138, 401]",meco_para_7_qa_0 ,meco_para_7
