word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,240.0,1,[10],,meco_para_12
de_0,128.0,1,[11],,meco_para_12
un_0,205.0,1,[12],,meco_para_12
vehiculo_0,88.0,1,[109],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,156.0,1,[64],,meco_para_12
fijada_0,750.0,4,"[26, 28, 30, 352]",,meco_para_12
al_0,101.0,1,[29],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,146.0,1,[71],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,309.0,2,"[41, 283]",,meco_para_12
de_2,178.0,1,[69],,meco_para_12
identificacién_0,392.0,3,"[68, 107, 110]",,meco_para_12
oficial_0,289.0,2,"[67, 314]",,meco_para_12
Todos_0,98.0,1,[66],,meco_para_12
los_0,341.0,2,"[315, 316]",,meco_para_12
paises_0,185.0,1,[65],,meco_para_12
requieren_0,469.0,3,"[63, 85, 88]",,meco_para_12
patentes_0,745.0,3,"[23, 24, 25]",,meco_para_12
para_0,112.0,1,[186],,meco_para_12
vehiculos_0,nan,0,[],,meco_para_12
como_0,599.0,3,"[42, 70, 106]",,meco_para_12
"autos,_0",738.0,4,"[39, 40, 43, 284]",,meco_para_12
camiones_0,189.0,1,[44],,meco_para_12
y_0,467.0,2,"[45, 111]",,meco_para_12
motocicletas._0,418.0,2,"[53, 112]",,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,425.0,3,"[60, 87, 89]",,meco_para_12
para_1,560.0,3,"[31, 84, 86]",,meco_para_12
otros_0,98.0,1,[353],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,196.0,1,[72],,meco_para_12
"bicicletas,_0",90.0,1,[295],meco_para_12_qa_2 ,meco_para_12
botes_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
o_1,100.0,1,[38],meco_para_12_qa_2 ,meco_para_12
tractores_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
puede_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
variar_0,416.0,2,"[37, 54]",meco_para_12_qa_2 ,meco_para_12
