word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,68.0,1,[17],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,137.0,1,[61],,meco_para_7
incelenmesi_0,137.0,1,[33],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,68.0,1,[39],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,68.0,1,[287],,meco_para_7
sarap_2,100.0,1,[173],,meco_para_7
Uretimi_0,205.0,3,"[21, 162, 206]",,meco_para_7
kadar_0,69.0,1,[229],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,103.0,1,[34],,meco_para_7
bicimsel_0,238.0,1,[7],,meco_para_7
bir_0,68.0,1,[295],,meco_para_7
metodoloji_0,68.0,1,[222],,meco_para_7
orta_0,67.0,1,[238],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,269.0,3,"[122, 288, 292]",,meco_para_7
 glnUmUuze_0,205.0,3,"[20, 163, 172]",,meco_para_7
yavasca__0,272.0,2,"[22, 86]",,meco_para_7
olusmaktadir._0,102.0,1,[81],,meco_para_7
"Modern,_0",405.0,4,"[15, 27, 88, 109]",,meco_para_7
profesyonel_0,374.0,4,"[14, 16, 110, 126]",,meco_para_7
sarap_3,134.0,2,"[38, 137]",,meco_para_7
—_0,66.0,1,[137],,meco_para_7
tadimcilari_0,134.0,2,"[154, 239]",,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,136.0,2,"[205, 231]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,341.0,2,"[108, 207]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",67.0,1,[280],meco_para_7_qa_1 ,meco_para_7
aromasini_0,406.0,4,"[28, 82, 224, 264]",meco_para_7_qa_1 ,meco_para_7
ve_1,341.0,2,"[124, 249]",meco_para_7_qa_1 ,meco_para_7
 genel__0,308.0,4,"[2, 208, 226, 234]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,716.0,8,"[26, 89, 93, 114, 116, 125, 136, 214]",meco_para_7_qa_1 ,meco_para_7
tarif_0,135.0,2,"[138, 240]",meco_para_7_qa_1 ,meco_para_7
etmek_0,68.0,1,[254],meco_para_7_qa_1 ,meco_para_7
icin_0,68.0,1,[23],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,203.0,3,"[54, 55, 259]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,204.0,2,"[106, 245]",meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,137.0,2,"[243, 281]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,136.0,2,"[225, 294]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,558.0,6,"[13, 123, 132, 177, 213, 248]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,675.0,7,"[25, 43, 127, 150, 181, 209, 252]",meco_para_7_qa_1 ,meco_para_7
Son_0,136.0,2,"[24, 180]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,316.0,3,"[42, 115, 227]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,465.0,6,"[31, 53, 230, 260, 289, 291]",meco_para_7_qa_0 ,meco_para_7
hem_1,68.0,1,[62],meco_para_7_qa_0 ,meco_para_7
de__0,68.0,1,[265],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,342.0,3,"[244, 266, 293]",meco_para_7_qa_0 ,meco_para_7
sarap_4,85.0,1,[176],meco_para_7_qa_0 ,meco_para_7
tadimi__0,69.0,1,[12],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,582.0,7,"[1, 8, 11, 133, 178, 215, 237]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,236.0,3,"[100, 128, 139]",,meco_para_7
 ortaya_0,135.0,2,"[90, 152]",,meco_para_7
ciktl._0,604.0,5,"[29, 79, 185, 186, 187]",,meco_para_7
"Ornegin,_0",237.0,2,"[80, 159]",,meco_para_7
arastirmalar_0,202.0,3,"[160, 166, 267]",,meco_para_7
insanlarin_0,371.0,4,"[67, 85, 147, 236]",,meco_para_7
daha_1,nan,0,[],,meco_para_7
pahali_0,404.0,5,"[3, 35, 175, 179, 246]",,meco_para_7
sarabin_2,375.0,4,"[36, 111, 112, 247]",,meco_para_7
daha_2,nan,0,[],,meco_para_7
ucuz_0,nan,0,[],,meco_para_7
saraba__0,187.0,2,"[151, 296]",,meco_para_7
gore_0,67.0,1,[155],,meco_para_7
daha_3,68.0,1,[121],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,542.0,6,"[56, 107, 157, 158, 261, 270]",,meco_para_7
karakteristige_0,344.0,4,"[146, 164, 165, 235]",,meco_para_7
sahip_0,338.0,2,"[145, 268]",,meco_para_7
olmasini_0,330.0,3,"[4, 9, 87]",,meco_para_7
beklediklerini_0,272.0,3,"[37, 250, 251]",,meco_para_7
gostermistir:_0,136.0,1,[117],,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,69.0,1,[217],,meco_para_7
verilen_0,374.0,4,"[118, 120, 196, 241]",,meco_para_7
 sarabin_0,141.0,2,"[78, 271]",,meco_para_7
gercek_0,nan,0,[],,meco_para_7
olmayan’_0,68.0,1,[57],,meco_para_7
bir_1,203.0,3,"[10, 58, 84]",,meco_para_7
 sekilde_0,202.0,2,"[282, 283]",,meco_para_7
 pahali_0,407.0,5,"[134, 135, 272, 275, 284]",,meco_para_7
oldugu_0,nan,0,[],,meco_para_7
"soylendiginde,_0",120.0,2,"[73, 286]",,meco_para_7
neredeyse_0,374.0,2,"[99, 256]",,meco_para_7
her_0,205.0,3,"[63, 219, 228]",,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,69.0,1,[200],,meco_para_7
sarap_5,136.0,1,[201],,meco_para_7
onlara__0,nan,0,[],,meco_para_7
ucuz_1,168.0,2,"[72, 263]",,meco_para_7
oldugu_sdylendiginden_0,170.0,2,"[149, 273]",,meco_para_7
daha__0,nan,0,[],,meco_para_7
lezzetli_0,nan,0,[],,meco_para_7
oldugunu_0,68.0,1,[44],,meco_para_7
belirttiler._0,173.0,3,"[0, 218, 257]",,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,nan,0,[],,meco_para_7
gosteriyor_0,138.0,2,"[5, 71]",,meco_para_7
ki_0,nan,0,[],,meco_para_7
tadimcilarin”_0,60.0,1,[169],,meco_para_7
kararlari_0,168.0,2,"[68, 276]",,meco_para_7
cografi_0,nan,0,[],,meco_para_7
"kéken,_0",nan,0,[],,meco_para_7
itibar_0,nan,0,[],,meco_para_7
veya_0,68.0,1,[50],,meco_para_7
diger_0,169.0,2,"[94, 279]",,meco_para_7
etkenlerin_0,260.0,4,"[144, 167, 190, 197]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,306.0,3,"[70, 198, 269]",meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,68.0,1,[69],meco_para_7_qa_2 ,meco_para_7
altinda___0,68.0,1,[69],meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,67.0,1,[274],meco_para_7_qa_2 ,meco_para_7
Objektif_0,67.0,1,[148],meco_para_7_qa_2 ,meco_para_7
sarap_6,168.0,2,"[47, 203]",meco_para_7_qa_2 ,meco_para_7
tadimi_1,272.0,2,"[98, 204]",meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
yuzen_0,136.0,1,[96],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kor_0,135.0,1,[60],meco_para_7_qa_2 ,meco_para_7
tadimini_0,68.0,1,[191],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
bu_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 tadimcinin§_0,68.0,1,[202],meco_para_7_qa_2 ,meco_para_7
sarabin_4,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etiketini_0,68.0,1,[77],meco_para_7_qa_2 ,meco_para_7
veya_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 sisenin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_2,nan,0,[],meco_para_7_qa_2 ,meco_para_7
seklini_0,68.0,1,[97],meco_para_7_qa_2 ,meco_para_7
gormemesidir._0,136.0,2,"[66, 192]",meco_para_7_qa_3 ,meco_para_7
Kor_1,nan,0,[],meco_para_7_qa_3 ,meco_para_7
tadim_1,102.0,1,[182],meco_para_7_qa_3 ,meco_para_7
 ayrica_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
sarabin§_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
siyah_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
sarap_7,nan,0,[],meco_para_7_qa_3 ,meco_para_7
 bardaginda__0,101.0,1,[46],meco_para_7_qa_3 ,meco_para_7
sarabin_5,53.0,1,[49],meco_para_7_qa_3 ,meco_para_7
__rengini_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
maskeleyecek_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
sekilde_0,70.0,1,[183],meco_para_7_qa_3 ,meco_para_7
servis_0,64.0,1,[168],meco_para_7_qa_3 ,meco_para_7
edilmesini_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
de_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
___0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
icerir._0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
Harvard_0,nan,0,[],,a_HarvardUniversity_1
Business_0,102.0,1,[73],,a_HarvardUniversity_1
School_0,67.0,1,[128],,a_HarvardUniversity_1
ve_0,nan,0,[],,a_HarvardUniversity_1
Harvard_1,nan,0,[],,a_HarvardUniversity_1
Stadyumu_0,69.0,1,[21],,a_HarvardUniversity_1
da_0,nan,0,[],,a_HarvardUniversity_1
dahil_0,nan,0,[],,a_HarvardUniversity_1
olmak_0,nan,0,[],,a_HarvardUniversity_1
Uzere_0,nan,0,[],,a_HarvardUniversity_1
Universitenin_0,235.0,3,"[1, 120, 127]",,a_HarvardUniversity_1
atletizm_0,68.0,1,[11],,a_HarvardUniversity_1
 tesislerinin_0,68.0,1,[8],,a_HarvardUniversity_1
"¢ogu,_0",67.0,1,[99],,a_HarvardUniversity_1
Allston'daki_0,136.0,1,[22],a_HarvardUniversity_1_qa_0 ,a_HarvardUniversity_1
Cambridge_0,201.0,3,"[23, 77, 125]",,a_HarvardUniversity_1
kampistnun_0,102.0,1,[65],,a_HarvardUniversity_1
karsisindaki_0,279.0,3,"[31, 113, 121]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
358_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
d6dnumluk_0,452.0,4,"[72, 75, 129, 130]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
(145_0,70.0,1,[85],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
hektar)_0,170.0,2,"[5, 122]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
kamplste_0,69.0,1,[124],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
yer_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
almaktadir._0,273.0,2,"[66, 76]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
John_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
W._0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Weeks_0,240.0,3,"[41, 53, 117]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
"KO6prust,_0",68.0,1,[54],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
her_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
iki_0,137.0,2,"[60, 61]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
kampust_0,133.0,2,"[3, 4]",a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
birbirine_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
baglayan_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Charles_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Nehri_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Uzerindeki_0,102.0,1,[69],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
yaya_0,204.0,2,"[32, 116]",,a_HarvardUniversity_1
k6dprustdir._0,460.0,6,"[33, 55, 97, 102, 103, 111]",,a_HarvardUniversity_1
Harvard_2,137.0,1,[37],,a_HarvardUniversity_1
Tip_0,67.0,1,[62],,a_HarvardUniversity_1
"Okulu,_0",102.0,1,[12],,a_HarvardUniversity_1
Harvard_3,nan,1,[0],,a_HarvardUniversity_1
Dis_0,nan,0,[],,a_HarvardUniversity_1
Hekimligi_0,68.0,1,[9],,a_HarvardUniversity_1
Okulu)_0,nan,0,[],,a_HarvardUniversity_1
ve_1,102.0,1,[70],,a_HarvardUniversity_1
Harvard_4,187.0,2,"[79, 80]",,a_HarvardUniversity_1
Halk_0,236.0,3,"[98, 100, 118]",,a_HarvardUniversity_1
Sagligi_0,340.0,4,"[14, 45, 46, 56]",,a_HarvardUniversity_1
"Okulu,_1",138.0,2,"[36, 63]",,a_HarvardUniversity_1
Boston_0,135.0,1,[39],,a_HarvardUniversity_1
sehir_0,169.0,1,[47],,a_HarvardUniversity_1
merkezinin§_0,237.0,3,"[24, 67, 131]",,a_HarvardUniversity_1
yaklasik_0,67.0,1,[101],,a_HarvardUniversity_1
"3,3._0",nan,0,[],,a_HarvardUniversity_1
mil_0,nan,0,[],,a_HarvardUniversity_1
(5.3_0,nan,0,[],,a_HarvardUniversity_1
km)_0,nan,0,[],,a_HarvardUniversity_1
guneybatisinda_0,68.0,1,[112],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
ve_2,205.0,3,"[6, 57, 93]",a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
