word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",135.0,2,"[169, 387]",,meco_para_7
sarabin_0,131.0,2,"[413, 429]",,meco_para_7
 duyumsal_0,225.0,3,"[10, 27, 206]",,meco_para_7
olarak_0,132.0,2,"[49, 170]",,meco_para_7
incelenmesi_0,185.0,2,"[207, 360]",,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,70.0,1,[119],,meco_para_7
sarap_2,63.0,1,[451],,meco_para_7
Uretimi_0,310.0,3,"[28, 412, 452]",,meco_para_7
kadar_0,374.0,5,"[73, 74, 410, 450, 466]",,meco_para_7
"antikken,_0",142.0,2,"[26, 50]",,meco_para_7
daha_0,71.0,1,[208],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,105.0,1,[363],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,143.0,2,"[24, 388]",,meco_para_7
 glnUmUuze_0,271.0,4,"[96, 180, 389, 430]",,meco_para_7
yavasca__0,474.0,5,"[75, 121, 181, 427, 453]",,meco_para_7
olusmaktadir._0,597.0,6,"[51, 76, 209, 210, 375, 465]",,meco_para_7
"Modern,_0",79.0,1,[52],,meco_para_7
profesyonel_0,nan,0,[],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,106.0,1,[366],,meco_para_7
sarabin_1,133.0,2,"[147, 237]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,66.0,1,[22],meco_para_7_qa_1 ,meco_para_7
lezzet_0,66.0,1,[122],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",484.0,5,"[11, 182, 372, 373, 390]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,529.0,6,"[13, 77, 374, 391, 409, 417]",meco_para_7_qa_1 ,meco_para_7
ve_1,69.0,1,[397],meco_para_7_qa_1 ,meco_para_7
 genel__0,61.0,1,[216],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
tarif_0,164.0,1,[381],meco_para_7_qa_1 ,meco_para_7
etmek_0,75.0,1,[368],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,58.0,1,[238],meco_para_7_qa_1 ,meco_para_7
olarak_1,442.0,4,"[98, 101, 266, 414]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,139.0,2,"[415, 416]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,960.0,9,"[29, 31, 183, 241, 269, 376, 393, 396, 454]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,668.0,8,"[32, 78, 217, 364, 377, 379, 392, 398]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,403.0,3,"[380, 382, 400]",meco_para_7_qa_1 ,meco_para_7
Son_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
yillarda_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,69.0,1,[236],meco_para_7_qa_0 ,meco_para_7
hem_1,86.0,1,[148],meco_para_7_qa_0 ,meco_para_7
de__0,201.0,3,"[102, 150, 153]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,826.0,8,"[12, 100, 151, 267, 288, 315, 395, 455]",meco_para_7_qa_0 ,meco_para_7
sarap_4,907.0,9,"[14, 30, 184, 218, 240, 268, 319, 436, 437]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,455.0,6,"[53, 57, 242, 359, 378, 426]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,911.0,8,"[56, 79, 243, 401, 402, 421, 422, 423]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,516.0,5,"[66, 404, 443, 444, 460]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,271.0,4,"[369, 383, 405, 459]",,meco_para_7
 ortaya_0,68.0,1,[384],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",367.0,3,"[107, 123, 149]",,meco_para_7
arastirmalar_0,547.0,7,"[99, 105, 106, 152, 154, 157, 185]",,meco_para_7
insanlarin_0,1212.0,15,"[33, 55, 158, 172, 186, 246, 271, 289, 316, 318, 320, 432, 438, 439, 440]",,meco_para_7
daha_1,1042.0,13,"[15, 35, 58, 80, 219, 220, 248, 274, 433, 434, 435, 441, 456]",,meco_para_7
pahali_0,489.0,5,"[36, 37, 59, 214, 399]",,meco_para_7
sarabin_2,423.0,5,"[38, 194, 322, 420, 458]",,meco_para_7
daha_2,248.0,3,"[61, 63, 68]",,meco_para_7
ucuz_0,75.0,1,[424],,meco_para_7
saraba__0,348.0,4,"[69, 70, 461, 462]",,meco_para_7
gore_0,92.0,1,[406],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,303.0,4,"[103, 155, 156, 211]",,meco_para_7
karakteristige_0,836.0,8,"[4, 159, 188, 245, 247, 272, 290, 317]",,meco_para_7
sahip_0,541.0,6,"[54, 173, 265, 273, 292, 293]",,meco_para_7
olmasini_0,870.0,8,"[16, 39, 41, 112, 131, 250, 251, 442]",,meco_para_7
beklediklerini_0,1696.0,12,"[17, 18, 60, 62, 64, 65, 130, 132, 161, 195, 328, 352]",,meco_para_7
gostermistir:_0,485.0,5,"[45, 94, 133, 408, 445]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,459.0,6,"[71, 72, 117, 370, 407, 446]",,meco_para_7
verilen_0,nan,0,[],,meco_para_7
 sarabin_0,207.0,2,"[109, 171]",,meco_para_7
gercek_0,456.0,5,"[108, 124, 125, 187, 291]",,meco_para_7
olmayan’_0,523.0,5,"[3, 5, 34, 321, 323]",,meco_para_7
bir_1,131.0,2,"[189, 419]",,meco_para_7
 sekilde_0,591.0,6,"[40, 221, 249, 252, 294, 457]",,meco_para_7
 pahali_0,1046.0,9,"[43, 44, 162, 222, 253, 297, 331, 353, 358]",,meco_para_7
oldugu_0,503.0,6,"[86, 114, 197, 254, 329, 330]",,meco_para_7
"soylendiginde,_0",728.0,8,"[46, 47, 67, 85, 93, 128, 129, 134]",,meco_para_7
neredeyse_0,414.0,3,"[19, 447, 463]",,meco_para_7
her_0,50.0,1,[425],,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,64.0,1,[342],,meco_para_7
onlara__0,126.0,2,"[327, 345]",,meco_para_7
ucuz_1,389.0,5,"[2, 140, 174, 298, 324]",,meco_para_7
oldugu_sdylendiginden_0,2007.0,21,"[42, 113, 115, 138, 141, 142, 196, 223, 225, 295, 296, 300, 301, 303, 304, 307, 325, 326, 349, 350, 351]",,meco_para_7
daha__0,122.0,2,"[87, 163]",,meco_para_7
lezzetli_0,432.0,4,"[81, 84, 111, 143]",,meco_para_7
oldugunu_0,361.0,5,"[20, 21, 88, 144, 448]",,meco_para_7
belirttiler._0,276.0,3,"[89, 90, 464]",,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,nan,0,[],,meco_para_7
gosteriyor_0,88.0,1,[277],,meco_para_7
ki_0,66.0,1,[1],,meco_para_7
tadimcilarin”_0,567.0,5,"[126, 192, 193, 299, 306]",,meco_para_7
kararlari_0,606.0,5,"[137, 224, 308, 354, 357]",,meco_para_7
cografi_0,732.0,7,"[82, 110, 175, 256, 281, 305, 309]",,meco_para_7
"kéken,_0",733.0,6,"[0, 127, 164, 176, 199, 282]",,meco_para_7
itibar_0,333.0,3,"[83, 135, 145]",,meco_para_7
veya_0,286.0,4,"[118, 165, 284, 449]",,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,223.0,3,"[341, 343, 344]",meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,51.0,1,[278],meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,296.0,4,"[226, 312, 313, 348]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,66.0,1,[136],meco_para_7_qa_2 ,meco_para_7
sarap_6,68.0,1,[334],meco_para_7_qa_2 ,meco_para_7
tadimi_1,425.0,5,"[228, 231, 232, 257, 260]",meco_para_7_qa_2 ,meco_para_7
bu_0,187.0,2,"[167, 285]",meco_para_7_qa_2 ,meco_para_7
yuzen_0,247.0,3,"[166, 178, 203]",meco_para_7_qa_2 ,meco_para_7
—_1,113.0,1,[203],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
