word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,62.0,1,[114],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,52.0,1,[20],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,51.0,1,[65],,meco_para_7
olusmaktadir._0,142.0,2,"[12, 25]",,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,108.0,1,[19],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",nan,0,[],meco_para_7_qa_1 ,meco_para_7
aromasini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,78.0,1,[30],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,125.0,2,"[17, 32]",meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,148.0,2,"[26, 140]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,102.0,1,[210],meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,137.0,1,[31],meco_para_7_qa_1 ,meco_para_7
Son_0,107.0,1,[16],meco_para_7_qa_1 ,meco_para_7
yillarda_0,129.0,2,"[207, 208]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
hem_1,nan,0,[],meco_para_7_qa_0 ,meco_para_7
de__0,102.0,1,[163],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
sarap_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tadimi__0,197.0,3,"[3, 33, 39]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,89.0,1,[209],meco_para_7_qa_0 ,meco_para_7
zorlayan_0,143.0,2,"[15, 88]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,116.0,1,[160],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",nan,0,[],,meco_para_7
arastirmalar_0,106.0,1,[175],,meco_para_7
insanlarin_0,nan,0,[],,meco_para_7
daha_1,147.0,2,"[13, 38]",,meco_para_7
pahali_0,581.0,5,"[14, 34, 37, 154, 206]",,meco_para_7
sarabin_2,613.0,8,"[0, 1, 42, 52, 87, 135, 188, 194]",,meco_para_7
daha_2,347.0,3,"[89, 136, 185]",,meco_para_7
ucuz_0,366.0,4,"[131, 138, 172, 189]",,meco_para_7
saraba__0,245.0,2,"[162, 173]",,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,74.0,1,[174],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,335.0,4,"[8, 9, 199, 200]",,meco_para_7
karakteristige_0,534.0,7,"[127, 149, 155, 164, 165, 201, 202]",,meco_para_7
sahip_0,74.0,1,[64],,meco_para_7
olmasini_0,585.0,6,"[40, 72, 105, 176, 178, 191]",,meco_para_7
beklediklerini_0,981.0,12,"[28, 29, 41, 53, 55, 73, 75, 137, 171, 193, 195, 203]",,meco_para_7
gostermistir:_0,322.0,4,"[35, 77, 92, 187]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,301.0,3,"[5, 156, 157]",,meco_para_7
 sarabin_0,74.0,1,[7],,meco_para_7
gercek_0,66.0,1,[10],,meco_para_7
olmayan’_0,65.0,1,[190],,meco_para_7
bir_1,68.0,1,[128],,meco_para_7
 sekilde_0,587.0,6,"[2, 36, 69, 71, 129, 179]",,meco_para_7
 pahali_0,770.0,10,"[115, 116, 130, 141, 177, 181, 182, 192, 204, 205]",,meco_para_7
oldugu_0,801.0,7,"[51, 54, 90, 143, 144, 170, 184]",,meco_para_7
"soylendiginde,_0",686.0,9,"[44, 56, 57, 58, 74, 78, 91, 110, 145]",,meco_para_7
neredeyse_0,nan,0,[],,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,295.0,4,"[4, 22, 93, 158]",,meco_para_7
ayni_0,176.0,2,"[6, 23]",,meco_para_7
sarap_5,67.0,1,[24],,meco_para_7
onlara__0,63.0,1,[60],,meco_para_7
ucuz_1,nan,0,[],,meco_para_7
oldugu_sdylendiginden_0,726.0,9,"[49, 86, 104, 106, 166, 167, 168, 180, 183]",,meco_para_7
daha__0,276.0,3,"[43, 108, 152]",,meco_para_7
lezzetli_0,107.0,1,[59],,meco_para_7
oldugunu_0,nan,0,[],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,66.0,1,[148],,meco_para_7
gosteriyor_0,136.0,2,"[61, 102]",,meco_para_7
ki_0,nan,0,[],,meco_para_7
tadimcilarin”_0,nan,0,[],,meco_para_7
kararlari_0,404.0,5,"[50, 85, 103, 119, 142]",,meco_para_7
cografi_0,277.0,3,"[107, 151, 153]",,meco_para_7
"kéken,_0",311.0,3,"[109, 125, 146]",,meco_para_7
itibar_0,nan,0,[],,meco_para_7
veya_0,72.0,1,[132],,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,175.0,2,"[111, 112]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,293.0,4,"[46, 99, 100, 113]",meco_para_7_qa_2 ,meco_para_7
etki_0,137.0,1,[134],meco_para_7_qa_2 ,meco_para_7
=_0,137.0,1,[134],meco_para_7_qa_2 ,meco_para_7
altinda___0,232.0,3,"[47, 48, 63]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,133.0,1,[118],meco_para_7_qa_2 ,meco_para_7
Objektif_0,274.0,3,"[120, 121, 122]",meco_para_7_qa_2 ,meco_para_7
sarap_6,nan,0,[],meco_para_7_qa_2 ,meco_para_7
tadimi_1,197.0,2,"[124, 197]",meco_para_7_qa_2 ,meco_para_7
bu_0,72.0,1,[198],meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kor_0,74.0,1,[94],meco_para_7_qa_2 ,meco_para_7
tadimini_0,56.0,1,[133],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,83.0,1,[62],meco_para_7_qa_2 ,meco_para_7
bu_1,93.0,1,[81],meco_para_7_qa_2 ,meco_para_7
 tadimcinin§_0,67.0,1,[84],meco_para_7_qa_2 ,meco_para_7
sarabin_4,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etiketini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
veya_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 sisenin_0,245.0,2,"[123, 147]",meco_para_7_qa_2 ,meco_para_7
—_2,nan,0,[],meco_para_7_qa_2 ,meco_para_7
seklini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
gormemesidir._0,216.0,3,"[80, 96, 101]",meco_para_7_qa_3 ,meco_para_7
