word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",179.0,2,"[144, 170]",,meco_para_7
sarabin_0,58.0,1,[147],,meco_para_7
 duyumsal_0,441.0,5,"[148, 149, 172, 206, 237]",,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,513.0,5,"[125, 158, 159, 223, 228]",,meco_para_7
Sarap_1,223.0,2,"[161, 193]",,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,50.0,1,[169],,meco_para_7
sarap_2,382.0,3,"[143, 145, 175]",,meco_para_7
Uretimi_0,467.0,5,"[146, 173, 174, 203, 204]",,meco_para_7
kadar_0,512.0,4,"[198, 205, 238, 528]",,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,227.0,3,"[35, 40, 41]",,meco_para_7
bir_0,85.0,1,[39],,meco_para_7
metodoloji_0,272.0,4,"[222, 489, 490, 491]",,meco_para_7
orta_0,330.0,2,"[132, 194]",,meco_para_7
 caglarin_0,64.0,1,[136],,meco_para_7
sonlarindan_0,67.0,1,[200],,meco_para_7
 glnUmUuze_0,151.0,2,"[142, 199]",,meco_para_7
yavasca__0,166.0,1,[239],,meco_para_7
olusmaktadir._0,545.0,8,"[62, 178, 208, 242, 382, 383, 384, 418]",,meco_para_7
"Modern,_0",728.0,8,"[34, 36, 163, 385, 410, 417, 540, 541]",,meco_para_7
profesyonel_0,1673.0,17,"[38, 61, 86, 123, 124, 129, 157, 162, 197, 227, 229, 268, 415, 455, 456, 457, 517]",,meco_para_7
sarap_3,711.0,9,"[89, 130, 133, 134, 135, 139, 191, 192, 276]",,meco_para_7
—_0,411.0,5,"[89, 133, 134, 192, 266]",,meco_para_7
tadimcilari_0,163.0,3,"[195, 224, 266]",,meco_para_7
sarabin_1,207.0,3,"[168, 201, 202]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
lezzet_0,60.0,1,[234],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",869.0,11,"[151, 152, 164, 241, 243, 364, 365, 425, 472, 527, 529]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,1005.0,15,"[32, 33, 42, 82, 112, 113, 116, 141, 244, 245, 386, 473, 480, 530, 531]",meco_para_7_qa_1 ,meco_para_7
ve_1,58.0,1,[84],meco_para_7_qa_1 ,meco_para_7
 genel__0,275.0,4,"[255, 378, 413, 454]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,1358.0,16,"[46, 88, 140, 186, 187, 188, 190, 226, 261, 267, 277, 379, 414, 453, 488, 493]",meco_para_7_qa_1 ,meco_para_7
tarif_0,221.0,3,"[131, 196, 492]",meco_para_7_qa_1 ,meco_para_7
