word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
H_0,nan,0,[],,meco_para_11
AteOvriig_0,69.0,1,[3],,meco_para_11
‘Evwon_0,72.0,1,[4],,meco_para_11
Mpootaciag_0,604.0,4,"[5, 12, 21, 29]",,meco_para_11
to_0,69.0,1,[13],,meco_para_11
vong_0,540.0,4,"[9, 15, 26, 39]",,meco_para_11
epydetat_0,417.0,4,"[6, 7, 8, 68]",,meco_para_11
yia_0,68.0,1,[50],,meco_para_11
thy_0,361.0,3,"[17, 18, 42]",,meco_para_11
mpootacia_0,150.0,2,"[19, 40]",,meco_para_11
tho_0,108.0,1,[20],,meco_para_11
puvons_0,nan,0,[],,meco_para_11
Kat_0,nan,0,[],,meco_para_11
tng_0,nan,0,[],,meco_para_11
opO8hs_0,nan,0,[],,meco_para_11
xphons_0,467.0,2,"[27, 34]",,meco_para_11
twy_0,289.0,2,"[23, 28]",,meco_para_11
guolKwy_0,459.0,2,"[11, 203]",,meco_para_11
Ttdpwv._0,247.0,3,"[10, 25, 67]",,meco_para_11
ApaotnNploTtoteital_0,930.0,4,"[64, 65, 79, 90]",,meco_para_11
otoug_0,nan,0,[],,meco_para_11
topyEig_0,284.0,1,[52],,meco_para_11
tS_0,nan,0,[],,meco_para_11
ovuAdoyng_0,nan,0,[],,meco_para_11
Kal_0,nan,0,[],,meco_para_11
avdAuong_0,213.0,1,[35],,meco_para_11
"SeSouévwyv,_0",699.0,6,"[24, 32, 33, 36, 46, 47]",,meco_para_11
tAG_0,211.0,3,"[37, 62, 202]",,meco_para_11
"EpEeuvac,_0",670.0,8,"[38, 48, 49, 63, 66, 78, 204, 205]",,meco_para_11
TWV_0,nan,0,[],,meco_para_11
Kata_0,nan,0,[],,meco_para_11
tOmMoug_0,nan,0,[],,meco_para_11
"éepywv,_0",nan,0,[],,meco_para_11
TNs_0,nan,0,[],,meco_para_11
VOULKG_0,103.0,1,[87],,meco_para_11
TIpoctaciag_0,213.0,1,[59],,meco_para_11
Kat_1,179.0,2,"[60, 61]",,meco_para_11
NG_0,nan,0,[],,meco_para_11
ekmaideuonc._0,928.0,5,"[74, 75, 76, 77, 83]",,meco_para_11
AmMootoAr_0,nan,0,[],,meco_para_11
thc_0,nan,0,[],,meco_para_11
elvat_0,nan,0,[],,meco_para_11
va_0,nan,0,[],,meco_para_11
"«emnpedoet,_0",nan,0,[],,meco_para_11
va_1,nan,0,[],,meco_para_11
evOappUvel_0,176.0,2,"[44, 86]",,meco_para_11
Kal_1,328.0,1,[45],,meco_para_11
va_2,111.0,1,[56],,meco_para_11
fBonOnoet_0,72.0,1,[57],,meco_para_11
tic_0,nan,0,[],,meco_para_11
Kowwviec_0,nan,0,[],,meco_para_11
oe_0,250.0,1,[206],,meco_para_11
<dAO_0,nan,0,[],,meco_para_11
Tov_0,nan,0,[],,meco_para_11
KOOHO_0,69.0,1,[91],,meco_para_11
va_3,nan,0,[],,meco_para_11
TpootatevcouV_0,nan,0,[],,meco_para_11
tT_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
von_0,70.0,1,[54],meco_para_11_qa_2 ,meco_para_11
Kat_2,213.0,3,"[53, 55, 85]",meco_para_11_qa_2 ,meco_para_11
va_4,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Staopadicouv_0,148.0,2,"[73, 84]",meco_para_11_qa_2 ,meco_para_11
otl_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
A_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
xpPrOn_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
tTwy_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
guotKwy_0,71.0,1,[109],meco_para_11_qa_2 ,meco_para_11
Tidpwv_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
eivat_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Sikatn_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Kat_3,nan,0,[],meco_para_11_qa_2 ,meco_para_11
olkKoAoyiKad_0,68.0,1,[116],meco_para_11_qa_2 ,meco_para_11
BlWolUN»._0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
Tic_1,146.0,1,[114],meco_para_11_qa_2 ,meco_para_11
teAeutaiec_0,71.0,1,[108],meco_para_11_qa_2 ,meco_para_11
"Sekaetiec,_0",nan,0,[],meco_para_11_qa_2 ,meco_para_11
mM_0,105.0,1,[121],meco_para_11_qa_2 ,meco_para_11
opydvwon_0,69.0,1,[110],meco_para_11_qa_2 ,meco_para_11
éxel_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
SteupUvel_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
TOUG_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
topeic_0,nan,0,[],,meco_para_11
Spdong_0,214.0,1,[81],,meco_para_11
tS_1,69.0,1,[115],,meco_para_11
"EeEvow""aTWVOVTaG_0",394.0,3,"[72, 105, 113]",,meco_para_11
ota_0,103.0,1,[106],,meco_para_11
mMpoypduyata_0,110.0,1,[107],,meco_para_11
"tc,_0",nan,0,[],,meco_para_11
mMépa_0,108.0,1,[122],,meco_para_11
and_0,nan,0,[],,meco_para_11
Oéyata_0,nan,0,[],,meco_para_11
Tipootaciag_0,nan,0,[],,meco_para_11
thc_1,nan,0,[],,meco_para_11
"pons,_0",324.0,3,"[80, 96, 131]",,meco_para_11
Séata_0,111.0,1,[104],,meco_para_11
aewupopou_0,nan,0,[],,meco_para_11
avamtu—nc._0,nan,0,[],,meco_para_11
Le_0,nan,0,[],,meco_para_11
avtibeon_0,nan,0,[],,meco_para_11
pe_0,nan,0,[],,meco_para_11
TOAAEG_0,nan,0,[],,meco_para_11
GAAEG_0,nan,0,[],,meco_para_11
SueOveic_0,nan,0,[],,meco_para_11
TteptBadAovtikés_0,498.0,3,"[95, 103, 132]",meco_para_11_qa_0 ,meco_para_11
"opyavwoetc,_0",nan,0,[],meco_para_11_qa_0 ,meco_para_11
Sev_0,524.0,1,[2],meco_para_11_qa_0 ,meco_para_11
attookortei_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
otnv_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
Ktvntottoinon_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
tou_0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
kotvou._0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
"Avu8étwc,_0",578.0,4,"[94, 100, 112, 138]",,meco_para_11
tmpoomaGei_0,69.0,1,[102],,meco_para_11
va_5,nan,0,[],,meco_para_11
emnpedoet_0,108.0,1,[133],,meco_para_11
tic_2,nan,0,[],,meco_para_11
Spdcetc_0,nan,0,[],,meco_para_11
"KUPEPvroEWV,_0",72.0,1,[89],,meco_para_11
ETILXELPr}OEWY_0,nan,0,[],,meco_para_11
Kal_2,nan,0,[],,meco_para_11
GAAWV_0,nan,0,[],,meco_para_11
EUTAEKOWEVWYV_0,322.0,4,"[93, 98, 111, 150]",,meco_para_11
WE_0,nan,0,[],,meco_para_11
=_0,nan,0,[],,meco_para_11
TNV._0,69.0,1,[151],,meco_para_11
«so_0,69.0,1,[151],,meco_para_11
Ttapoxr_0,nan,0,[],,meco_para_11
"§=TAnpopopwy,_0",140.0,2,"[134, 135]",,meco_para_11
soupBouAwy_0,nan,0,[],,meco_para_11
Kal_3,nan,0,[],,meco_para_11
thy_1,73.0,1,[120],,meco_para_11
avamtuEen_0,nan,0,[],,meco_para_11
ouvepyaowv._0,388.0,4,"[92, 124, 125, 154]",,meco_para_11
H_1,391.0,2,"[126, 149]",,meco_para_11
opydvwon_1,74.0,1,[128],,meco_para_11
eivat_1,nan,0,[],,meco_para_11
yvwotr)_0,nan,0,[],,meco_para_11
oto_0,nan,0,[],,meco_para_11
eupUtepo_0,nan,0,[],,meco_para_11
KolvO_0,211.0,1,[144],,meco_para_11
yla_0,nan,0,[],,meco_para_11
tH_0,nan,0,[],,meco_para_11
ovvta—n_0,nan,0,[],,meco_para_11
kal_4,nan,0,[],,meco_para_11
Snuooievon_0,72.0,1,[137],,meco_para_11
toc_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
«KdKktvng_0,69.0,1,[155],meco_para_11_qa_3 ,meco_para_11
Alotag_0,352.0,3,"[127, 139, 169]",meco_para_11_qa_3 ,meco_para_11
AmeWouuevwy_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
"Etéwv»,_0",74.0,1,[129],meco_para_11_qa_3 ,meco_para_11
mn_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
omoia_0,280.0,2,"[130, 152]",meco_para_11_qa_3 ,meco_para_11
amoteAei_0,70.0,1,[119],meco_para_11_qa_3 ,meco_para_11
eUpetrplo_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
yla_1,69.0,1,[71],,meco_para_11
hv_0,76.0,1,[165],,meco_para_11
Katdotaon_0,143.0,1,[148],,meco_para_11
ameWovWevwy_0,142.0,1,[157],,meco_para_11
el6wy_0,nan,0,[],,meco_para_11
uTwWy_0,103.0,1,[170],,meco_para_11
Kal_5,nan,0,[],,meco_para_11
Cwwy_0,179.0,1,[162],,meco_para_11
oe_1,68.0,1,[175],,meco_para_11
<dAO_1,352.0,4,"[118, 142, 163, 174]",,meco_para_11
TOV_1,nan,0,[],,meco_para_11
KOOHO._1,nan,0,[],,meco_para_11
"XrvEpa,_0",73.0,1,[136],meco_para_11_qa_1 ,meco_para_11
otnv_1,nan,0,[],meco_para_11_qa_1 ,meco_para_11
opydvwon_2,210.0,2,"[166, 167]",meco_para_11_qa_1 ,meco_para_11
atmacxoAoUvtat_0,1256.0,8,"[156, 158, 159, 168, 177, 178, 181, 183]",meco_para_11_qa_1 ,meco_para_11
pe_1,253.0,3,"[160, 180, 184]",meco_para_11_qa_1 ,meco_para_11
KaGEotwG_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
TANMpouG_0,283.0,1,[161],meco_para_11_qa_1 ,meco_para_11
ataoxdAnong_0,353.0,2,"[164, 172]",meco_para_11_qa_1 ,meco_para_11
Tepittou_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
xia_0,107.0,1,[194],meco_para_11_qa_1 ,meco_para_11
