word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,57.0,1,[481],,meco_para_7
"tadimi,_0",52.0,1,[492],,meco_para_7
sarabin_0,270.0,4,"[405, 447, 465, 466]",,meco_para_7
 duyumsal_0,551.0,4,"[11, 12, 13, 406]",,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,159.0,3,"[409, 444, 446]",,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,62.0,1,[8],,meco_para_7
sarap_2,334.0,5,"[5, 6, 478, 494, 539]",,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,54.0,1,[448],,meco_para_7
"antikken,_0",114.0,2,"[442, 449]",,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,215.0,3,"[14, 412, 425]",,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,51.0,1,[462],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,171.0,3,"[9, 64, 523]",,meco_para_7
 glnUmUuze_0,228.0,3,"[10, 39, 556]",,meco_para_7
yavasca__0,70.0,1,[538],,meco_para_7
olusmaktadir._0,339.0,3,"[63, 411, 450]",,meco_para_7
"Modern,_0",411.0,3,"[451, 468, 657]",,meco_para_7
profesyonel_0,360.0,3,"[424, 655, 656]",,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,58.0,1,[59],,meco_para_7
sarabin_1,190.0,3,"[65, 147, 540]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,208.0,4,"[404, 505, 507, 524]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,277.0,5,"[40, 91, 122, 477, 508]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",185.0,3,"[495, 526, 527]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,756.0,5,"[46, 47, 482, 483, 509]",meco_para_7_qa_1 ,meco_para_7
ve_1,96.0,1,[469],meco_para_7_qa_1 ,meco_para_7
 genel__0,1077.0,8,"[15, 16, 22, 48, 81, 82, 83, 452]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,895.0,9,"[23, 25, 49, 54, 62, 90, 453, 454, 455]",meco_para_7_qa_1 ,meco_para_7
