word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",72.0,1,[340],,meco_para_7
sarabin_0,51.0,1,[656],,meco_para_7
 duyumsal_0,82.0,1,[657],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,66.0,1,[1018],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,74.0,1,[539],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,nan,0,[],,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,nan,0,[],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,85.0,1,[652],,meco_para_7
sarabin_1,77.0,1,[684],meco_para_7_qa_1 ,meco_para_7
algilanan_0,200.0,3,"[538, 540, 736]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",174.0,2,"[667, 1028]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,66.0,1,[668],meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,104.0,1,[653],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,369.0,5,"[384, 406, 557, 769, 791]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,508.0,6,"[362, 385, 591, 685, 735, 792]",meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,75.0,1,[390],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,67.0,1,[130],meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
Son_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
yillarda_0,74.0,1,[405],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,1227.0,13,"[132, 176, 383, 604, 680, 683, 715, 734, 768, 790, 834, 991, 1016]",meco_para_7_qa_0 ,meco_para_7
hem_1,416.0,5,"[365, 590, 716, 770, 793]",meco_para_7_qa_0 ,meco_para_7
de__0,210.0,2,"[305, 435]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,621.0,6,"[366, 389, 410, 437, 478, 664]",meco_para_7_qa_0 ,meco_para_7
sarap_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tadimi__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
zorlayan_0,97.0,1,[920],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,nan,0,[],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,269.0,4,"[490, 514, 682, 789]",,meco_para_7
"Ornegin,_0",873.0,9,"[6, 245, 266, 363, 432, 487, 571, 856, 1109]",,meco_para_7
arastirmalar_0,1681.0,17,"[7, 164, 386, 409, 477, 570, 605, 658, 661, 689, 741, 833, 835, 860, 963, 1008, 1029]",,meco_para_7
insanlarin_0,659.0,6,"[71, 411, 436, 476, 719, 742]",,meco_para_7
