word_id,TRT,FixCount,Span_word_is_in,text_id
Sarap_0,66.0,1,,meco_para_7
"tadimi,_0",298.0,2,,meco_para_7
sarabin_0,72.0,1,,meco_para_7
 duyumsal_0,517.0,5,,meco_para_7
olarak_0,332.0,5,,meco_para_7
incelenmesi_0,127.0,2,,meco_para_7
ve_0,303.0,4,,meco_para_7
degerlendirilmesidir._0,2358.0,29,,meco_para_7
Sarap_1,426.0,4,,meco_para_7
tadim_0,143.0,2,,meco_para_7
pratigi_0,169.0,2,,meco_para_7
sarap_2,1001.0,1,,meco_para_7
Uretimi_0,775.0,3,,meco_para_7
kadar_0,440.0,4,,meco_para_7
"antikken,_0",357.0,4,,meco_para_7
daha_0,451.0,2,,meco_para_7
bicimsel_0,711.0,8,,meco_para_7
bir_0,196.0,2,,meco_para_7
metodoloji_0,1620.0,19,,meco_para_7
orta_0,644.0,4,,meco_para_7
 caglarin_0,281.0,3,,meco_para_7
sonlarindan_0,551.0,6,,meco_para_7
 glnUmUuze_0,365.0,4,,meco_para_7
yavasca__0,539.0,4,,meco_para_7
olusmaktadir._0,1142.0,12,,meco_para_7
"Modern,_0",1216.0,11,,meco_para_7
profesyonel_0,2523.0,24,,meco_para_7
sarap_3,870.0,9,,meco_para_7
—_0,252.0,3,,meco_para_7
tadimcilari_0,546.0,6,,meco_para_7
sarabin_1,106.0,1,meco_para_7_qa_1 ,meco_para_7
algilanan_0,2239.0,4,meco_para_7_qa_1 ,meco_para_7
lezzet_0,534.0,5,meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",1393.0,13,meco_para_7_qa_1 ,meco_para_7
aromasini_0,842.0,10,meco_para_7_qa_1 ,meco_para_7
ve_1,1133.0,7,meco_para_7_qa_1 ,meco_para_7
 genel__0,808.0,11,meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,2087.0,26,meco_para_7_qa_1 ,meco_para_7
tarif_0,1217.0,11,meco_para_7_qa_1 ,meco_para_7
etmek_0,972.0,9,meco_para_7_qa_1 ,meco_para_7
icin_0,314.0,3,meco_para_7_qa_1 ,meco_para_7
kullanilan_0,1423.0,6,meco_para_7_qa_1 ,meco_para_7
stirekli_0,779.0,9,meco_para_7_qa_1 ,meco_para_7
olarak_1,644.0,8,meco_para_7_qa_1 ,meco_para_7
gelisen_0,817.0,8,meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,1612.0,20,meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,2000.0,21,meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,1966.0,26,meco_para_7_qa_1 ,meco_para_7
Son_0,426.0,6,meco_para_7_qa_1 ,meco_para_7
yillarda_0,687.0,9,meco_para_7_qa_1 ,meco_para_7
hem_0,587.0,7,meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,1785.0,9,meco_para_7_qa_0 ,meco_para_7
hem_1,792.0,7,meco_para_7_qa_0 ,meco_para_7
de__0,580.0,5,meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,2525.0,27,meco_para_7_qa_0 ,meco_para_7
sarap_4,1547.0,17,meco_para_7_qa_0 ,meco_para_7
tadimi__0,1386.0,16,meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,2813.0,33,meco_para_7_qa_0 ,meco_para_7
zorlayan_0,1068.0,13,meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,496.0,6,,meco_para_7
 ortaya_0,1316.0,11,,meco_para_7
ciktl._0,94.0,1,,meco_para_7
"Ornegin,_0",486.0,6,,meco_para_7
arastirmalar_0,2189.0,23,,meco_para_7
insanlarin_0,3083.0,27,,meco_para_7
daha_1,2218.0,20,,meco_para_7
pahali_0,2986.0,30,,meco_para_7
sarabin_2,3436.0,39,,meco_para_7
daha_2,1830.0,13,,meco_para_7
ucuz_0,632.0,9,,meco_para_7
saraba__0,1148.0,14,,meco_para_7
gore_0,426.0,6,,meco_para_7
