word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,55.0,1,[423],,meco_para_7
"tadimi,_0",160.0,2,"[424, 616]",,meco_para_7
sarabin_0,69.0,1,[406],,meco_para_7
 duyumsal_0,236.0,3,"[407, 429, 444]",,meco_para_7
olarak_0,248.0,2,"[404, 405]",,meco_para_7
incelenmesi_0,208.0,2,"[395, 446]",,meco_para_7
ve_0,70.0,1,[445],,meco_para_7
degerlendirilmesidir._0,276.0,4,"[375, 376, 381, 416]",,meco_para_7
Sarap_1,208.0,2,"[400, 474]",,meco_para_7
tadim_0,297.0,3,"[399, 419, 456]",,meco_para_7
pratigi_0,67.0,1,[464],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,272.0,2,"[479, 480]",,meco_para_7
kadar_0,192.0,3,"[443, 466, 485]",,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,299.0,2,"[541, 608]",,meco_para_7
bicimsel_0,267.0,4,"[31, 366, 447, 499]",,meco_para_7
bir_0,138.0,2,"[448, 627]",,meco_para_7
metodoloji_0,523.0,7,"[374, 472, 487, 497, 502, 503, 547]",,meco_para_7
orta_0,260.0,3,"[412, 462, 477]",,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,132.0,2,"[7, 463]",,meco_para_7
 glnUmUuze_0,124.0,2,"[379, 483]",,meco_para_7
yavasca__0,202.0,3,"[484, 486, 556]",,meco_para_7
olusmaktadir._0,510.0,7,"[62, 402, 426, 428, 522, 557, 636]",,meco_para_7
"Modern,_0",636.0,6,"[365, 536, 558, 559, 625, 626]",,meco_para_7
profesyonel_0,1247.0,14,"[16, 30, 69, 369, 382, 413, 431, 452, 527, 531, 546, 561, 565, 583]",,meco_para_7
sarap_3,895.0,9,"[32, 372, 384, 414, 461, 473, 506, 562, 563]",,meco_para_7
—_0,234.0,3,"[454, 501, 563]",,meco_para_7
tadimcilari_0,1050.0,12,"[385, 388, 398, 449, 454, 475, 476, 492, 494, 496, 501, 568]",,meco_para_7
