word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,350.0,3,"[13, 27, 57]",,meco_para_12
patente_0,773.0,11,"[56, 60, 125, 145, 174, 175, 233, 268, 318, 488, 490]",,meco_para_12
de_0,120.0,1,[406],,meco_para_12
un_0,63.0,1,[487],,meco_para_12
vehiculo_0,366.0,4,"[408, 432, 433, 518]",,meco_para_12
es_0,60.0,1,[519],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,731.0,7,"[16, 64, 147, 173, 228, 232, 263]",,meco_para_12
el_0,548.0,8,"[12, 26, 59, 122, 197, 234, 282, 316]",,meco_para_12
propdsito_0,1802.0,24,"[11, 25, 28, 55, 97, 98, 121, 126, 144, 176, 227, 235, 269, 281, 405, 459, 460, 461, 462, 491, 545, 546, 547, 572]",,meco_para_12
de_2,475.0,8,"[96, 143, 196, 457, 458, 492, 517, 573]",,meco_para_12
identificacién_0,586.0,8,"[54, 95, 409, 431, 456, 484, 486, 520]",,meco_para_12
oficial_0,nan,0,[],,meco_para_12
Todos_0,nan,0,[],,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,nan,0,[],,meco_para_12
requieren_0,nan,0,[],,meco_para_12
patentes_0,nan,0,[],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,1124.0,13,"[18, 65, 103, 104, 105, 106, 198, 230, 231, 267, 283, 317, 396]",,meco_para_12
como_0,1372.0,16,"[19, 24, 29, 99, 102, 107, 108, 120, 270, 272, 280, 508, 509, 514, 515, 571]",,meco_para_12
"autos,_0",1236.0,16,"[30, 78, 79, 101, 109, 117, 119, 177, 236, 315, 362, 441, 507, 516, 544, 548]",,meco_para_12
camiones_0,615.0,10,"[142, 319, 361, 404, 440, 442, 485, 493, 506, 574]",,meco_para_12
y_0,246.0,4,"[226, 455, 494, 521]",,meco_para_12
motocicletas._0,308.0,5,"[94, 454, 482, 483, 575]",,meco_para_12
Su_0,59.0,1,[53],,meco_para_12
 requerimiento_0,61.0,1,[93],,meco_para_12
para_1,nan,0,[],,meco_para_12
otros_0,nan,0,[],,meco_para_12
vehiculos_1,nan,0,[],,meco_para_12
como_1,441.0,5,"[150, 170, 199, 229, 266]",,meco_para_12
"bicicletas,_0",911.0,9,"[20, 67, 68, 69, 151, 262, 289, 513, 570]",meco_para_12_qa_2 ,meco_para_12
botes_0,697.0,11,"[10, 21, 23, 31, 75, 77, 100, 118, 169, 178, 464]",meco_para_12_qa_2 ,meco_para_12
o_1,660.0,10,"[32, 74, 110, 116, 127, 237, 330, 363, 465, 549]",meco_para_12_qa_2 ,meco_para_12
tractores_0,1142.0,14,"[33, 80, 81, 111, 128, 314, 364, 365, 366, 443, 495, 543, 550, 551]",meco_para_12_qa_2 ,meco_para_12
puede_0,770.0,9,"[195, 320, 328, 367, 411, 430, 522, 542, 552]",meco_para_12_qa_2 ,meco_para_12
variar_0,464.0,2,"[38, 576]",meco_para_12_qa_2 ,meco_para_12
por_0,61.0,1,[225],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,902.0,5,"[41, 92, 452, 453, 481]",meco_para_12_qa_2 ,meco_para_12
El_1,291.0,1,[52],,meco_para_12
identificador_0,228.0,4,"[164, 223, 390, 391]",,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,473.0,3,"[397, 398, 510]",,meco_para_12
es_1,62.0,1,[333],,meco_para_12
una_1,266.0,4,"[152, 200, 284, 334]",meco_para_12_qa_3 ,meco_para_12
serie_0,613.0,9,"[70, 76, 153, 154, 179, 261, 279, 331, 402]",meco_para_12_qa_3 ,meco_para_12
