word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,71.0,1,[194],,meco_para_7
 duyumsal_0,70.0,1,[123],,meco_para_7
olarak_0,67.0,1,[122],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,74.0,1,[119],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,152.0,2,"[136, 137]",,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,71.0,1,[121],,meco_para_7
bicimsel_0,146.0,2,"[34, 189]",,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,143.0,1,[115],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,nan,0,[],,meco_para_7
"Modern,_0",277.0,2,"[35, 181]",,meco_para_7
profesyonel_0,214.0,3,"[33, 118, 133]",,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,141.0,2,"[114, 135]",,meco_para_7
sarabin_1,141.0,2,"[76, 77]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
lezzet_0,306.0,2,"[195, 311]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",349.0,5,"[124, 196, 197, 309, 310]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
ve_1,67.0,1,[180],meco_para_7_qa_1 ,meco_para_7
 genel__0,224.0,3,"[32, 45, 238]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,260.0,3,"[132, 134, 268]",meco_para_7_qa_1 ,meco_para_7
tarif_0,147.0,2,"[43, 116]",meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
olarak_1,403.0,4,"[53, 150, 253, 347]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,304.0,4,"[52, 252, 278, 279]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,607.0,8,"[47, 49, 151, 152, 263, 264, 265, 308]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,1156.0,11,"[46, 130, 131, 183, 188, 236, 251, 266, 267, 277, 307]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,629.0,5,"[31, 184, 219, 239, 293]",meco_para_7_qa_1 ,meco_para_7
Son_0,389.0,5,"[44, 117, 165, 269, 306]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,213.0,2,"[113, 162]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
hem_1,212.0,2,"[74, 313]",meco_para_7_qa_0 ,meco_para_7
de__0,214.0,2,"[312, 346]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,714.0,7,"[51, 170, 261, 262, 348, 382, 383]",meco_para_7_qa_0 ,meco_para_7
sarap_4,284.0,4,"[48, 169, 178, 341]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,286.0,4,"[82, 168, 179, 186]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,371.0,5,"[187, 220, 237, 241, 250]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,360.0,5,"[42, 143, 160, 166, 292]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,292.0,4,"[161, 270, 275, 302]",,meco_para_7
 ortaya_0,352.0,5,"[163, 271, 272, 303, 305]",,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",69.0,1,[314],,meco_para_7
arastirmalar_0,1275.0,13,"[73, 78, 148, 149, 254, 259, 260, 280, 281, 343, 344, 345, 366]",,meco_para_7
insanlarin_0,892.0,11,"[69, 70, 79, 125, 127, 128, 177, 198, 342, 363, 364]",,meco_para_7
daha_1,401.0,4,"[58, 80, 349, 387]",,meco_para_7
pahali_0,466.0,6,"[81, 129, 326, 327, 350, 362]",,meco_para_7
sarabin_2,956.0,11,"[30, 36, 157, 158, 167, 221, 235, 290, 291, 339, 351]",,meco_para_7
daha_2,210.0,3,"[159, 217, 218]",,meco_para_7
ucuz_0,301.0,4,"[112, 300, 338, 354]",,meco_para_7
saraba__0,225.0,3,"[247, 249, 301]",,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,215.0,2,"[98, 257]",,meco_para_7
fazla_0,68.0,1,[258],,meco_para_7
 arzulanan__0,284.0,4,"[255, 282, 283, 315]",,meco_para_7
karakteristige_0,448.0,6,"[54, 109, 126, 365, 381, 384]",,meco_para_7
sahip_0,282.0,3,"[57, 68, 386]",,meco_para_7
olmasini_0,622.0,6,"[156, 234, 289, 325, 388, 389]",,meco_para_7
beklediklerini_0,716.0,9,"[41, 144, 215, 216, 233, 244, 294, 352, 353]",,meco_para_7
gostermistir:_0,167.0,2,"[299, 355]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,355.0,5,"[142, 248, 337, 356, 357]",,meco_para_7
verilen_0,70.0,1,[100],,meco_para_7
 sarabin_0,70.0,1,[256],,meco_para_7
gercek_0,135.0,2,"[72, 368]",,meco_para_7
olmayan’_0,308.0,4,"[55, 147, 171, 380]",,meco_para_7
bir_1,296.0,3,"[24, 176, 385]",,meco_para_7
 sekilde_0,909.0,7,"[22, 59, 110, 153, 155, 199, 230]",,meco_para_7
 pahali_0,755.0,8,"[83, 145, 231, 242, 288, 323, 324, 328]",,meco_para_7
oldugu_0,420.0,5,"[202, 214, 222, 243, 390]",,meco_para_7
"soylendiginde,_0",280.0,4,"[40, 111, 245, 361]",,meco_para_7
neredeyse_0,219.0,3,"[246, 336, 360]",,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,70.0,1,[96],,meco_para_7
ayni_0,64.0,1,[101],,meco_para_7
sarap_5,73.0,1,[95],,meco_para_7
onlara__0,nan,0,[],,meco_para_7
ucuz_1,321.0,4,"[56, 172, 175, 379]",,meco_para_7
oldugu_sdylendiginden_0,1644.0,11,"[23, 84, 146, 154, 201, 211, 212, 223, 322, 403, 404]",,meco_para_7
daha__0,395.0,5,"[37, 38, 213, 391, 413]",,meco_para_7
lezzetli_0,295.0,3,"[203, 298, 393]",,meco_para_7
oldugunu_0,301.0,3,"[335, 392, 417]",,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,71.0,1,[108],,meco_para_7
gosteriyor_0,514.0,5,"[102, 174, 284, 369, 401]",,meco_para_7
ki_0,147.0,2,"[173, 285]",,meco_para_7
tadimcilarin”_0,602.0,6,"[25, 26, 228, 320, 321, 402]",,meco_para_7
kararlari_0,572.0,6,"[4, 21, 60, 200, 224, 229]",,meco_para_7
cografi_0,288.0,4,"[20, 39, 295, 394]",,meco_para_7
"kéken,_0",148.0,1,[414],,meco_para_7
itibar_0,159.0,2,"[415, 416]",,meco_para_7
veya_0,230.0,2,"[418, 419]",,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,76.0,1,[107],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,70.0,1,[317],meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,276.0,3,"[6, 94, 400]",meco_para_7_qa_2 ,meco_para_7
altinda___0,512.0,5,"[6, 319, 370, 399, 400]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,653.0,8,"[5, 27, 28, 66, 371, 378, 397, 398]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,1056.0,11,"[0, 1, 3, 61, 85, 210, 329, 395, 396, 405, 412]",meco_para_7_qa_2 ,meco_para_7
sarap_6,214.0,2,"[296, 423]",meco_para_7_qa_2 ,meco_para_7
tadimi_1,324.0,4,"[19, 204, 297, 421]",meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
