word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,65.0,1,[174],,meco_para_7
 duyumsal_0,70.0,1,[176],,meco_para_7
olarak_0,139.0,1,[3],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,178.0,1,[52],,meco_para_7
degerlendirilmesidir._0,145.0,1,[70],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,132.0,2,"[168, 188]",,meco_para_7
kadar_0,138.0,1,[173],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,176.0,1,[48],,meco_para_7
bicimsel_0,192.0,2,"[9, 49]",,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,57.0,1,[54],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,95.0,1,[42],,meco_para_7
 glnUmUuze_0,126.0,1,[169],,meco_para_7
yavasca__0,236.0,2,"[172, 175]",,meco_para_7
olusmaktadir._0,65.0,1,[47],,meco_para_7
"Modern,_0",64.0,1,[51],,meco_para_7
profesyonel_0,275.0,3,"[2, 55, 57]",,meco_para_7
sarap_3,195.0,1,[258],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,69.0,1,[144],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,102.0,1,[41],meco_para_7_qa_1 ,meco_para_7
lezzet_0,59.0,1,[167],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",96.0,1,[166],meco_para_7_qa_1 ,meco_para_7
aromasini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,96.0,1,[220],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,735.0,4,"[56, 261, 262, 671]",meco_para_7_qa_1 ,meco_para_7
tarif_0,170.0,2,"[142, 143]",meco_para_7_qa_1 ,meco_para_7
etmek_0,335.0,2,"[131, 612]",meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,199.0,3,"[62, 67, 416]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,62.0,1,[66],meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,71.0,1,[415],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,174.0,2,"[17, 20]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,508.0,4,"[14, 50, 427, 708]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,138.0,2,"[58, 257]",meco_para_7_qa_1 ,meco_para_7
Son_0,169.0,2,"[141, 640]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,258.0,2,"[128, 587]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,371.0,4,"[64, 65, 187, 698]",meco_para_7_qa_0 ,meco_para_7
hem_1,64.0,1,[186],meco_para_7_qa_0 ,meco_para_7
de__0,51.0,1,[180],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,496.0,7,"[16, 19, 726, 728, 729, 743, 744]",meco_para_7_qa_0 ,meco_para_7
sarap_4,248.0,3,"[18, 725, 730]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,169.0,1,[242],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,476.0,5,"[12, 196, 234, 253, 279]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,476.0,6,"[218, 219, 236, 263, 500, 501]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,736.0,7,"[127, 140, 266, 528, 575, 588, 591]",,meco_para_7
 ortaya_0,200.0,2,"[239, 267]",,meco_para_7
ciktl._0,261.0,2,"[272, 697]",,meco_para_7
"Ornegin,_0",342.0,4,"[69, 201, 329, 441]",,meco_para_7
arastirmalar_0,833.0,8,"[328, 392, 419, 660, 661, 699, 741, 742]",,meco_para_7
insanlarin_0,249.0,3,"[723, 724, 727]",,meco_para_7
daha_1,453.0,4,"[21, 23, 209, 735]",,meco_para_7
pahali_0,480.0,3,"[466, 713, 734]",,meco_para_7
sarabin_2,587.0,5,"[195, 210, 260, 537, 706]",,meco_para_7
daha_2,661.0,9,"[8, 212, 213, 217, 252, 256, 259, 497, 502]",,meco_para_7
ucuz_0,1739.0,12,"[60, 237, 251, 484, 498, 523, 530, 581, 586, 609, 635, 639]",,meco_para_7
saraba__0,1747.0,14,"[89, 90, 123, 130, 238, 264, 527, 529, 552, 569, 589, 610, 613, 636]",,meco_para_7
gore_0,685.0,4,"[110, 125, 126, 145]",,meco_para_7
daha_3,201.0,3,"[273, 470, 472]",,meco_para_7
fazla_0,82.0,1,[443],,meco_para_7
 arzulanan__0,410.0,4,"[157, 422, 700, 740]",,meco_para_7
karakteristige_0,1136.0,11,"[45, 81, 158, 159, 388, 414, 444, 476, 731, 736, 745]",,meco_para_7
sahip_0,343.0,2,"[208, 241]",,meco_para_7
olmasini_0,516.0,6,"[22, 24, 655, 707, 714, 733]",,meco_para_7
beklediklerini_0,1876.0,20,"[6, 7, 11, 211, 233, 246, 254, 278, 465, 496, 627, 647, 649, 654, 696, 705, 709, 720, 721, 722]",,meco_para_7
gostermistir:_0,1609.0,19,"[255, 503, 521, 531, 568, 582, 590, 592, 607, 608, 611, 615, 616, 617, 633, 634, 669, 691, 692]",,meco_para_7
|_0,593.0,7,"[109, 139, 492, 522, 573, 574, 592]",,meco_para_7
Tadimcilar_0,1711.0,16,"[109, 119, 120, 121, 122, 124, 133, 134, 139, 148, 492, 522, 573, 574, 577, 632]",,meco_para_7
verilen_0,474.0,2,"[442, 471]",,meco_para_7
 sarabin_0,422.0,5,"[182, 200, 202, 420, 455]",,meco_para_7
gercek_0,381.0,4,"[203, 418, 440, 454]",,meco_para_7
olmayan’_0,218.0,3,"[179, 456, 739]",,meco_para_7
bir_1,301.0,2,"[207, 732]",,meco_para_7
 sekilde_0,553.0,5,"[206, 250, 428, 710, 746]",,meco_para_7
 pahali_0,652.0,8,"[4, 5, 10, 243, 249, 348, 704, 719]",,meco_para_7
oldugu_0,819.0,6,"[13, 194, 214, 245, 626, 693]",,meco_para_7
"soylendiginde,_0",2653.0,24,"[80, 197, 215, 216, 232, 265, 322, 426, 504, 510, 525, 532, 538, 585, 595, 603, 618, 621, 622, 624, 625, 638, 648, 690]",,meco_para_7
neredeyse_0,2017.0,18,"[88, 108, 135, 136, 137, 146, 147, 485, 515, 526, 542, 551, 565, 567, 572, 580, 614, 637]",,meco_para_7
her_0,781.0,8,"[106, 114, 118, 481, 486, 543, 557, 578]",,meco_para_7
zaman_0,52.0,1,[474],,meco_para_7
ayni_0,205.0,2,"[421, 473]",,meco_para_7
sarap_5,138.0,2,"[40, 417]",,meco_para_7
onlara__0,332.0,4,"[74, 430, 475, 701]",,meco_para_7
ucuz_1,496.0,6,"[68, 178, 413, 429, 478, 703]",,meco_para_7
oldugu_sdylendiginden_0,1587.0,12,"[25, 191, 240, 403, 404, 650, 662, 686, 694, 695, 716, 717]",,meco_para_7
daha__0,1094.0,9,"[192, 193, 244, 280, 536, 641, 656, 657, 687]",,meco_para_7
lezzetli_0,1006.0,11,"[71, 277, 425, 495, 524, 533, 535, 539, 583, 594, 601]",,meco_para_7
oldugunu_0,1539.0,14,"[1, 61, 79, 374, 509, 512, 516, 520, 549, 571, 593, 606, 619, 631]",,meco_para_7
belirttiler._0,1867.0,16,"[75, 101, 103, 107, 480, 487, 508, 514, 517, 540, 541, 544, 546, 553, 563, 604]",,meco_para_7
Baska_0,174.0,2,"[326, 327]",,meco_para_7
calismalar_0,346.0,4,"[39, 311, 391, 431]",,meco_para_7
gosteriyor_0,430.0,6,"[185, 269, 377, 432, 477, 658]",,meco_para_7
ki_0,242.0,3,"[223, 457, 659]",,meco_para_7
tadimcilarin”_0,461.0,5,"[312, 412, 445, 676, 684]",,meco_para_7
kararlari_0,890.0,8,"[73, 205, 349, 395, 405, 646, 685, 715]",,meco_para_7
cografi_0,928.0,10,"[15, 170, 198, 228, 248, 276, 281, 347, 381, 387]",,meco_para_7
"kéken,_0",293.0,4,"[72, 320, 602, 688]",,meco_para_7
itibar_0,799.0,7,"[38, 83, 389, 434, 534, 570, 620]",,meco_para_7
veya_0,746.0,8,"[35, 85, 91, 301, 547, 548, 562, 600]",,meco_para_7
