word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,70.0,1,[1791],,meco_para_7
"tadimi,_0",536.0,6,"[74, 84, 176, 177, 183, 248]",,meco_para_7
sarabin_0,627.0,5,"[82, 83, 138, 181, 186]",,meco_para_7
 duyumsal_0,397.0,6,"[73, 77, 187, 212, 237, 250]",,meco_para_7
olarak_0,2362.0,15,"[189, 190, 222, 252, 254, 1285, 1287, 1288, 1318, 1345, 1852, 1868, 2246, 2282, 2290]",,meco_para_7
incelenmesi_0,1731.0,22,"[193, 216, 219, 220, 221, 225, 226, 1283, 1286, 1290, 1311, 1845, 1913, 1952, 1958, 1968, 2007, 2059, 2283, 2285, 2289, 2294]",,meco_para_7
ve_0,359.0,4,"[192, 1967, 1988, 2032]",,meco_para_7
degerlendirilmesidir._0,1452.0,21,"[118, 124, 164, 235, 1094, 1095, 1096, 1324, 1325, 1912, 1970, 1997, 1999, 2044, 2058, 2071, 2081, 2097, 2261, 2719, 2732]",,meco_para_7
Sarap_1,798.0,10,"[1332, 1353, 1423, 1424, 1991, 2029, 2062, 2260, 2647, 2648]",,meco_para_7
tadim_0,895.0,8,"[1299, 1300, 1425, 1426, 2037, 2277, 2287, 2752]",,meco_para_7
pratigi_0,605.0,6,"[13, 15, 17, 133, 134, 239]",,meco_para_7
sarap_2,289.0,4,"[18, 85, 238, 1790]",,meco_para_7
Uretimi_0,1038.0,6,"[170, 182, 210, 1869, 1895, 1896]",,meco_para_7
kadar_0,875.0,10,"[70, 79, 80, 81, 209, 1149, 1858, 1874, 2281, 2301]",,meco_para_7
"antikken,_0",2444.0,24,"[71, 72, 78, 223, 228, 251, 1284, 1297, 1310, 1315, 1316, 1317, 1333, 1723, 1797, 1847, 1848, 1854, 1866, 1872, 2004, 2245, 2296, 2309]",,meco_para_7
daha_0,2586.0,20,"[191, 198, 215, 227, 229, 233, 236, 1291, 1293, 1342, 1724, 1846, 1853, 1867, 1931, 1945, 2295, 2308, 2787, 2788]",,meco_para_7
bicimsel_0,1531.0,14,"[114, 230, 234, 1106, 1282, 1294, 1843, 1844, 1959, 1969, 2082, 2307, 2698, 2699]",,meco_para_7
bir_0,267.0,5,"[0, 1447, 1961, 2196, 2720]",,meco_para_7
metodoloji_0,1309.0,17,"[115, 116, 117, 122, 125, 127, 163, 1935, 2030, 2046, 2061, 2080, 2099, 2673, 2674, 2681, 2721]",,meco_para_7
orta_0,416.0,5,"[126, 1429, 1680, 2075, 2083]",,meco_para_7
 caglarin_0,542.0,6,"[1422, 1427, 1428, 1794, 2028, 2649]",,meco_para_7
sonlarindan_0,1128.0,11,"[19, 20, 21, 25, 26, 27, 139, 143, 175, 199, 704]",,meco_para_7
 glnUmUuze_0,1062.0,14,"[136, 137, 169, 171, 173, 208, 211, 247, 1871, 1888, 2244, 2297, 2302, 2303]",,meco_para_7
yavasca__0,1646.0,15,"[1148, 1796, 1857, 1859, 1876, 1877, 1879, 1893, 1894, 1897, 1940, 1941, 1989, 2005, 2704]",,meco_para_7
olusmaktadir._0,2762.0,29,"[68, 69, 194, 231, 564, 565, 1292, 1296, 1334, 1341, 1849, 1851, 1860, 1890, 1891, 1904, 1905, 1906, 1907, 1908, 1930, 2006, 2197, 2280, 2300, 2306, 2684, 2786, 2789]",,meco_para_7
"Modern,_0",1391.0,17,"[113, 196, 197, 232, 1105, 1431, 1432, 1842, 1909, 1951, 1963, 1984, 1987, 2057, 2703, 2708, 2773]",,meco_para_7
profesyonel_0,1433.0,17,"[154, 1102, 1430, 1448, 1725, 1823, 1943, 1949, 1976, 2060, 2078, 2672, 2676, 2697, 2709, 2731, 2774]",,meco_para_7
sarap_3,667.0,6,"[1091, 1822, 1964, 2656, 2675, 2705]",,meco_para_7
—_0,160.0,3,"[1998, 2087, 2193]",,meco_para_7
tadimcilari_0,1002.0,14,"[1524, 1634, 1679, 1693, 1701, 1793, 1998, 2013, 2086, 2087, 2193, 2194, 2642, 2650]",,meco_para_7
sarabin_1,1591.0,16,"[10, 22, 86, 141, 142, 144, 148, 172, 201, 202, 293, 294, 463, 464, 736, 1183]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,1779.0,16,"[23, 24, 28, 145, 147, 174, 203, 204, 207, 243, 244, 292, 461, 1182, 1870, 2420]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,998.0,7,"[146, 205, 1150, 1862, 1875, 1884, 2247]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",851.0,10,"[255, 460, 1335, 1337, 1865, 1880, 1885, 1898, 1903, 2199]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,1209.0,13,"[195, 563, 566, 1338, 1339, 1340, 1841, 1850, 1919, 1921, 1946, 1990, 2710]",meco_para_7_qa_1 ,meco_para_7
ve_1,633.0,6,"[1, 1281, 1549, 1950, 1962, 2702]",meco_para_7_qa_1 ,meco_para_7
 genel__0,645.0,7,"[112, 1927, 1948, 1971, 2102, 2680, 2775]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,3470.0,32,"[111, 1090, 1107, 1108, 1439, 1440, 1449, 1626, 1627, 1821, 1932, 1972, 1973, 2036, 2072, 2073, 2098, 2192, 2262, 2619, 2662, 2664, 2665, 2666, 2667, 2668, 2669, 2670, 2671, 2679, 2696, 2707]",meco_para_7_qa_1 ,meco_para_7
