word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",218.0,2,"[290, 292]",,meco_para_7
sarabin_0,397.0,3,"[40, 310, 311]",,meco_para_7
 duyumsal_0,50.0,1,[267],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,191.0,3,"[25, 304, 308]",,meco_para_7
Uretimi_0,984.0,8,"[26, 41, 42, 254, 255, 266, 306, 307]",,meco_para_7
kadar_0,190.0,3,"[312, 316, 318]",,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,195.0,1,[24],,meco_para_7
 glnUmUuze_0,1003.0,9,"[7, 250, 256, 265, 276, 289, 309, 313, 315]",,meco_para_7
yavasca__0,622.0,7,"[27, 252, 253, 264, 273, 314, 317]",,meco_para_7
olusmaktadir._0,711.0,9,"[9, 10, 44, 45, 268, 277, 319, 320, 327]",,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,nan,0,[],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,133.0,2,"[53, 303]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,349.0,4,"[257, 262, 274, 275]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",263.0,3,"[263, 288, 328]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,487.0,4,"[278, 321, 322, 326]",meco_para_7_qa_1 ,meco_para_7
ve_1,70.0,1,[11],meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,266.0,1,[12],meco_para_7_qa_1 ,meco_para_7
tarif_0,65.0,1,[16],meco_para_7_qa_1 ,meco_para_7
etmek_0,171.0,3,"[17, 18, 162]",meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,197.0,2,"[22, 23]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,118.0,2,"[52, 249]",meco_para_7_qa_1 ,meco_para_7
olarak_1,295.0,3,"[54, 283, 284]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,867.0,9,"[28, 55, 248, 251, 261, 271, 272, 282, 287]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,169.0,3,"[50, 56, 281]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,257.0,4,"[60, 70, 323, 341]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,71.0,1,[20],meco_para_7_qa_1 ,meco_para_7
Son_0,147.0,1,[15],meco_para_7_qa_1 ,meco_para_7
yillarda_0,67.0,1,[19],meco_para_7_qa_1 ,meco_para_7
hem_0,198.0,2,"[160, 161]",meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,54.0,1,[6],meco_para_7_qa_0 ,meco_para_7
hem_1,nan,0,[],meco_para_7_qa_0 ,meco_para_7
de__0,133.0,1,[245],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,482.0,5,"[246, 247, 259, 260, 269]",meco_para_7_qa_0 ,meco_para_7
sarap_4,109.0,1,[58],meco_para_7_qa_0 ,meco_para_7
tadimi__0,338.0,3,"[21, 57, 59]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,369.0,5,"[46, 49, 61, 279, 324]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,nan,0,[],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,51.0,1,[68],,meco_para_7
"Ornegin,_0",nan,0,[],,meco_para_7
