word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,416.0,4,"[41, 42, 105, 133]",,meco_para_11
Union_0,241.0,3,"[43, 106, 134]",,meco_para_11
for_0,114.0,1,[13],,meco_para_11
Conservation_0,374.0,5,"[14, 47, 49, 135, 148]",,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,187.0,2,"[88, 147]",,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,394.0,5,"[23, 53, 61, 96, 113]",meco_para_11_qa_0 ,meco_para_11
organization_0,1044.0,12,"[54, 58, 114, 120, 161, 162, 164, 165, 166, 192, 225, 226]",meco_para_11_qa_0 ,meco_para_11
working_0,554.0,5,"[7, 39, 103, 131, 149]",,meco_para_11
in_0,119.0,2,"[10, 132]",,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,85.0,1,[137],,meco_para_11
nature_1,50.0,1,[85],,meco_para_11
conservation_1,50.0,1,[86],,meco_para_11
and_0,80.0,1,[4],,meco_para_11
the_2,93.0,1,[69],,meco_para_11
sustainable_0,123.0,2,"[26, 197]",,meco_para_11
use_0,nan,0,[],,meco_para_11
of_2,55.0,1,[224],,meco_para_11
natural_0,234.0,4,"[65, 228, 250, 251]",,meco_para_11
resources._0,nan,0,[],,meco_para_11
It_0,nan,0,[],,meco_para_11
is_1,291.0,4,"[11, 72, 102, 153]",,meco_para_11
involved_0,126.0,2,"[36, 154]",,meco_para_11
in_1,272.0,3,"[71, 82, 84]",,meco_para_11
data_0,149.0,2,"[83, 155]",,meco_para_11
gathering_0,173.0,2,"[70, 156]",,meco_para_11
and_1,nan,0,[],,meco_para_11
"analysis,_0",117.0,2,"[168, 198]",,meco_para_11
"research,_0",174.0,2,"[160, 189]",,meco_para_11
field_1,120.0,1,[223],,meco_para_11
"projects,_0",100.0,1,[68],,meco_para_11
"advocacy,_0",167.0,3,"[73, 129, 151]",,meco_para_11
and_2,nan,0,[],,meco_para_11
education._0,155.0,1,[256],,meco_para_11
Its_0,204.0,2,"[182, 255]",,meco_para_11
mission_0,108.0,2,"[230, 254]",,meco_para_11
is_2,nan,0,[],,meco_para_11
to_0,50.0,1,[169],,meco_para_11
"‘influence,_0",343.0,5,"[157, 158, 159, 188, 229]",,meco_para_11
encourage_0,346.0,5,"[3, 97, 222, 248, 253]",,meco_para_11
and_3,nan,0,[],,meco_para_11
assist_0,55.0,1,[252],,meco_para_11
societies_0,179.0,2,"[66, 67]",,meco_para_11
throughout_0,nan,0,[],meco_para_11_qa_2 ,meco_para_11
the_3,203.0,2,"[79, 172]",meco_para_11_qa_2 ,meco_para_11
world_0,104.0,2,"[80, 257]",meco_para_11_qa_2 ,meco_para_11
to_1,132.0,2,"[128, 258]",meco_para_11_qa_2 ,meco_para_11
conserve_0,358.0,4,"[170, 181, 200, 231]",meco_para_11_qa_2 ,meco_para_11
nature_2,111.0,2,"[99, 199]",meco_para_11_qa_2 ,meco_para_11
and_4,52.0,1,[98],meco_para_11_qa_2 ,meco_para_11
to_2,nan,0,[],meco_para_11_qa_2 ,meco_para_11
ensure_0,50.0,1,[247],meco_para_11_qa_2 ,meco_para_11
that_0,233.0,2,"[273, 275]",meco_para_11_qa_2 ,meco_para_11
any_0,192.0,2,"[274, 280]",meco_para_11_qa_2 ,meco_para_11
use_1,258.0,3,"[143, 276, 277]",meco_para_11_qa_2 ,meco_para_11
of_3,69.0,1,[279],meco_para_11_qa_2 ,meco_para_11
natural_1,54.0,1,[278],meco_para_11_qa_2 ,meco_para_11
resources_1,53.0,1,[174],meco_para_11_qa_2 ,meco_para_11
is_3,60.0,1,[173],meco_para_11_qa_2 ,meco_para_11
equitable_0,186.0,2,"[78, 202]",meco_para_11_qa_2 ,meco_para_11
and_5,295.0,5,"[171, 201, 232, 233, 308]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,592.0,6,"[100, 127, 183, 259, 282, 283]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,487.0,4,"[138, 185, 187, 213]",meco_para_11_qa_2 ,meco_para_11
Over_0,190.0,2,"[216, 218]",meco_para_11_qa_2 ,meco_para_11
the_4,52.0,1,[217],meco_para_11_qa_2 ,meco_para_11
past_0,59.0,1,[272],meco_para_11_qa_2 ,meco_para_11
"decades,_0",115.0,2,"[122, 142]",meco_para_11_qa_2 ,meco_para_11
the_5,nan,0,[],meco_para_11_qa_2 ,meco_para_11
organization_1,56.0,1,[175],,meco_para_11
has_0,53.0,1,[203],,meco_para_11
widened_0,234.0,2,"[234, 307]",,meco_para_11
its_1,166.0,2,"[238, 360]",,meco_para_11
focus_0,461.0,3,"[180, 239, 284]",,meco_para_11
beyond_0,310.0,4,"[209, 210, 240, 241]",,meco_para_11
conservation_2,803.0,10,"[126, 139, 211, 212, 214, 215, 219, 220, 242, 243]",,meco_para_11
ecology_0,217.0,3,"[141, 244, 270]",,meco_para_11
and_6,56.0,1,[271],,meco_para_11
now_0,nan,0,[],,meco_para_11
incorporates_0,nan,0,[],,meco_para_11
issues_0,nan,0,[],,meco_para_11
related_0,nan,0,[],,meco_para_11
to_3,71.0,1,[77],,meco_para_11
sustainable_1,311.0,4,"[235, 237, 306, 359]",,meco_para_11
development_0,427.0,5,"[208, 260, 285, 303, 309]",,meco_para_11
in_2,nan,0,[],,meco_para_11
its_2,591.0,2,"[186, 328]",,meco_para_11
projects._1,428.0,3,"[245, 246, 327]",,meco_para_11
Unlike_0,280.0,4,"[28, 140, 298, 321]",,meco_para_11
many_0,52.0,1,[326],,meco_para_11
other_0,223.0,3,"[29, 123, 324]",,meco_para_11
international_2,54.0,1,[176],,meco_para_11
environmental_0,373.0,5,"[75, 76, 177, 204, 236]",,meco_para_11
"organizations,_0",874.0,8,"[178, 179, 207, 261, 304, 310, 329, 330]",,meco_para_11
it_1,53.0,1,[305],,meco_para_11
does_0,170.0,2,"[302, 361]",,meco_para_11
not_0,54.0,1,[292],,meco_para_11
aim_0,330.0,2,"[297, 300]",,meco_para_11
to_4,356.0,2,"[296, 299]",,meco_para_11
mobilize_0,50.0,1,[320],,meco_para_11
the_6,211.0,1,[323],,meco_para_11
public_0,50.0,1,[125],,meco_para_11
in_3,nan,0,[],,meco_para_11
support_0,nan,0,[],,meco_para_11
of_4,nan,0,[],,meco_para_11
nature_3,68.0,1,[205],,meco_para_11
conservation._3,506.0,3,"[206, 331, 350]",,meco_para_11
"Instead,_0",674.0,6,"[262, 334, 349, 351, 357, 358]",,meco_para_11
the_7,580.0,2,"[286, 287]",,meco_para_11
organization_2,275.0,3,"[290, 301, 362]",,meco_para_11
tries_0,80.0,1,[269],,meco_para_11
to_5,133.0,2,"[1, 319]",,meco_para_11
influence_0,nan,0,[],,meco_para_11
the_8,nan,0,[],,meco_para_11
actions_0,nan,0,[],,meco_para_11
of_5,nan,0,[],,meco_para_11
"governments,_0",nan,0,[],,meco_para_11
business_0,77.0,1,[332],,meco_para_11
and_7,nan,0,[],,meco_para_11
other_1,261.0,4,"[263, 311, 335, 348]",,meco_para_11
stakeholders_0,1126.0,6,"[264, 265, 293, 294, 347, 352]",,meco_para_11
by_0,133.0,2,"[266, 295]",,meco_para_11
providing_0,361.0,5,"[267, 268, 318, 363, 389]",,meco_para_11
information_0,471.0,5,"[370, 371, 390, 391, 395]",,meco_para_11
and_8,nan,0,[],,meco_para_11
"advice,_0",nan,0,[],,meco_para_11
and_9,nan,0,[],,meco_para_11
through_0,nan,0,[],,meco_para_11
building_0,nan,0,[],,meco_para_11
partnerships._0,218.0,2,"[379, 381]",,meco_para_11
The_9,254.0,3,"[336, 353, 378]",,meco_para_11
organization_3,301.0,3,"[317, 345, 346]",,meco_para_11
is_4,141.0,2,"[364, 386]",,meco_para_11
best_0,405.0,5,"[369, 387, 388, 392, 393]",,meco_para_11
known_0,283.0,2,"[372, 394]",,meco_para_11
to_6,nan,0,[],,meco_para_11
the_10,nan,0,[],,meco_para_11
wider_0,nan,0,[],,meco_para_11
public_1,nan,0,[],,meco_para_11
for_1,nan,0,[],,meco_para_11
compiling_0,nan,0,[],meco_para_11_qa_3 ,meco_para_11
and_10,nan,0,[],meco_para_11_qa_3 ,meco_para_11
publishing_0,209.0,2,"[354, 355]",meco_para_11_qa_3 ,meco_para_11
the_11,722.0,3,"[312, 356, 382]",meco_para_11_qa_3 ,meco_para_11
Red_0,50.0,1,[377],meco_para_11_qa_3 ,meco_para_11
List_0,61.0,1,[376],meco_para_11_qa_3 ,meco_para_11
of_6,nan,0,[],meco_para_11_qa_3 ,meco_para_11
Threatened_0,573.0,5,"[344, 365, 366, 368, 373]",meco_para_11_qa_3 ,meco_para_11
"Species,_0",nan,0,[],meco_para_11_qa_3 ,meco_para_11
which_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
assesses_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
the_12,nan,0,[],meco_para_11_qa_1 ,meco_para_11
conservation_4,nan,0,[],meco_para_11_qa_1 ,meco_para_11
status_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
of_7,nan,0,[],meco_para_11_qa_1 ,meco_para_11
species_1,nan,0,[],meco_para_11_qa_1 ,meco_para_11
worldwide._0,500.0,2,"[316, 383]",meco_para_11_qa_1 ,meco_para_11
"Today,_0",1169.0,7,"[0, 341, 342, 343, 374, 375, 385]",meco_para_11_qa_1 ,meco_para_11
the_13,nan,0,[],meco_para_11_qa_1 ,meco_para_11
organization_4,nan,0,[],meco_para_11_qa_1 ,meco_para_11
employs_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
approximately_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
one_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
thousand_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
full-time_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
staff_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
in_4,215.0,2,"[313, 315]",meco_para_11_qa_1 ,meco_para_11
more_0,378.0,2,"[340, 384]",meco_para_11_qa_1 ,meco_para_11
than_0,148.0,2,"[338, 339]",meco_para_11_qa_1 ,meco_para_11
fifty_0,nan,0,[],meco_para_11_qa_1 ,meco_para_11
countries._0,234.0,1,[367],meco_para_11_qa_1 ,meco_para_11
