word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
The_0,nan,0,[],,meco_para_11
International_0,nan,0,[],,meco_para_11
Union_0,nan,0,[],,meco_para_11
for_0,nan,0,[],,meco_para_11
Conservation_0,nan,0,[],,meco_para_11
of_0,nan,0,[],,meco_para_11
Nature_0,nan,0,[],,meco_para_11
is_0,nan,0,[],,meco_para_11
an__0,nan,0,[],meco_para_11_qa_0 ,meco_para_11
international_1,682.0,1,[17],meco_para_11_qa_0 ,meco_para_11
organization_0,913.0,3,"[79, 284, 303]",meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,[],,meco_para_11
in_0,nan,0,[],,meco_para_11
the_1,nan,0,[],,meco_para_11
field_0,nan,0,[],,meco_para_11
of_1,nan,0,[],,meco_para_11
nature_1,nan,0,[],,meco_para_11
conservation_1,nan,0,[],,meco_para_11
and_0,nan,0,[],,meco_para_11
the_2,nan,0,[],,meco_para_11
sustainable_0,649.0,2,"[15, 16]",,meco_para_11
use_0,68.0,1,[300],,meco_para_11
of_2,920.0,4,"[38, 65, 283, 302]",,meco_para_11
natural_0,810.0,3,"[66, 80, 95]",,meco_para_11
resources._0,174.0,2,"[285, 286]",,meco_para_11
It_0,341.0,1,[6],,meco_para_11
is_1,273.0,1,[276],,meco_para_11
involved_0,67.0,1,[277],,meco_para_11
in_1,nan,0,[],,meco_para_11
data_0,nan,0,[],,meco_para_11
gathering_0,nan,0,[],,meco_para_11
and_1,512.0,2,"[279, 330]",,meco_para_11
"analysis,_0",236.0,1,[280],,meco_para_11
"research,_0",361.0,4,"[14, 54, 281, 312]",,meco_para_11
field_1,1044.0,2,"[64, 282]",,meco_para_11
"projects,_0",1777.0,5,"[94, 111, 130, 315, 329]",,meco_para_11
"advocacy,_0",247.0,1,[68],,meco_para_11
and_2,nan,0,[],,meco_para_11
education._0,573.0,7,"[7, 22, 84, 275, 288, 289, 307]",,meco_para_11
Its_0,577.0,3,"[23, 43, 320]",,meco_para_11
mission_0,477.0,2,"[278, 308]",,meco_para_11
is_2,nan,0,[],,meco_para_11
to_0,nan,0,[],,meco_para_11
"‘influence,_0",339.0,2,"[28, 51]",,meco_para_11
encourage_0,1045.0,6,"[36, 52, 53, 77, 299, 311]",,meco_para_11
and_3,237.0,2,"[37, 78]",,meco_para_11
assist_0,1636.0,3,"[110, 129, 131]",,meco_para_11
societies_0,615.0,2,"[341, 342]",,meco_para_11
throughout_0,581.0,6,"[304, 305, 306, 317, 318, 331]",meco_para_11_qa_2 ,meco_para_11
the_3,235.0,2,"[332, 346]",meco_para_11_qa_2 ,meco_para_11
world_0,476.0,5,"[42, 69, 83, 319, 347]",meco_para_11_qa_2 ,meco_para_11
to_1,609.0,3,"[44, 70, 85]",meco_para_11_qa_2 ,meco_para_11
conserve_0,501.0,6,"[24, 378, 379, 395, 396, 422]",meco_para_11_qa_2 ,meco_para_11
nature_2,410.0,2,"[25, 394]",meco_para_11_qa_2 ,meco_para_11
and_4,916.0,4,"[27, 50, 324, 334]",meco_para_11_qa_2 ,meco_para_11
to_2,1970.0,5,"[67, 76, 297, 309, 325]",meco_para_11_qa_2 ,meco_para_11
ensure_0,707.0,6,"[13, 106, 107, 127, 298, 310]",meco_para_11_qa_2 ,meco_para_11
that_0,641.0,2,"[105, 327]",meco_para_11_qa_2 ,meco_para_11
any_0,136.0,1,[63],meco_para_11_qa_2 ,meco_para_11
use_1,677.0,2,"[328, 371]",meco_para_11_qa_2 ,meco_para_11
of_3,241.0,1,[151],meco_para_11_qa_2 ,meco_para_11
natural_1,544.0,1,[411],meco_para_11_qa_2 ,meco_para_11
resources_1,454.0,5,"[20, 41, 133, 134, 343]",meco_para_11_qa_2 ,meco_para_11
is_3,342.0,3,"[21, 135, 345]",meco_para_11_qa_2 ,meco_para_11
equitable_0,344.0,3,"[178, 197, 377]",meco_para_11_qa_2 ,meco_para_11
and_5,1157.0,4,"[71, 99, 100, 117]",meco_para_11_qa_2 ,meco_para_11
ecologically_0,2514.0,14,"[9, 10, 11, 45, 46, 101, 116, 321, 322, 351, 352, 380, 398, 423]",meco_para_11_qa_2 ,meco_para_11
sustainable’._0,3514.0,12,"[12, 26, 47, 48, 49, 73, 74, 296, 323, 348, 349, 350]",meco_para_11_qa_2 ,meco_para_11
Over_0,1161.0,3,"[104, 122, 126]",meco_para_11_qa_2 ,meco_para_11
the_4,213.0,2,"[108, 125]",meco_para_11_qa_2 ,meco_para_11
past_0,787.0,3,"[62, 128, 149]",meco_para_11_qa_2 ,meco_para_11
"decades,_0",1936.0,5,"[150, 313, 340, 387, 432]",meco_para_11_qa_2 ,meco_para_11
the_5,814.0,3,"[206, 388, 389]",meco_para_11_qa_2 ,meco_para_11
organization_1,777.0,6,"[18, 19, 40, 361, 374, 375]",,meco_para_11
has_0,543.0,3,"[190, 393, 415]",,meco_para_11
widened_0,701.0,4,"[191, 196, 362, 363]",,meco_para_11
its_1,143.0,2,"[192, 421]",,meco_para_11
focus_0,1182.0,5,"[86, 102, 118, 158, 424]",,meco_para_11
beyond_0,438.0,2,"[90, 399]",,meco_para_11
conservation_2,1132.0,6,"[120, 123, 353, 369, 370, 381]",,meco_para_11
ecology_0,778.0,7,"[34, 55, 93, 148, 386, 405, 409]",,meco_para_11
and_6,272.0,1,[164],,meco_para_11
now_0,360.0,4,"[165, 205, 339, 410]",,meco_para_11
incorporates_0,451.0,2,"[172, 429]",,meco_para_11
issues_0,652.0,4,"[113, 373, 433, 434]",,meco_para_11
related_0,312.0,4,"[114, 177, 392, 435]",,meco_para_11
to_3,130.0,2,"[115, 416]",,meco_para_11
sustainable_1,595.0,6,"[98, 157, 179, 364, 418, 419]",,meco_para_11
development_0,1632.0,6,"[72, 103, 119, 198, 295, 365]",,meco_para_11
in_2,134.0,1,[406],,meco_para_11
its_2,741.0,2,"[121, 407]",,meco_para_11
projects._1,682.0,6,"[382, 384, 385, 403, 404, 408]",,meco_para_11
Unlike_0,345.0,4,"[33, 61, 147, 204]",,meco_para_11
many_0,338.0,4,"[56, 338, 430, 431]",,meco_para_11
other_0,343.0,1,[187],,meco_para_11
international_2,304.0,4,"[153, 154, 175, 176]",,meco_para_11
environmental_0,549.0,4,"[155, 156, 195, 376]",,meco_para_11
"organizations,_0",940.0,5,"[180, 181, 193, 201, 425]",,meco_para_11
it_1,68.0,1,[400],,meco_para_11
does_0,639.0,3,"[182, 202, 291]",,meco_para_11
not_0,1390.0,5,"[160, 161, 183, 367, 368]",,meco_para_11
aim_0,68.0,1,[162],,meco_para_11
to_4,471.0,4,"[32, 92, 163, 383]",,meco_para_11
mobilize_0,138.0,2,"[166, 440]",,meco_para_11
the_6,174.0,2,"[186, 220]",,meco_para_11
public_0,239.0,3,"[171, 428, 493]",,meco_para_11
in_3,66.0,1,[249],,meco_para_11
support_0,136.0,2,"[413, 414]",,meco_para_11
of_4,nan,0,[],,meco_para_11
nature_3,nan,0,[],,meco_para_11
conservation._3,141.0,1,[194],,meco_para_11
"Instead,_0",347.0,2,"[199, 200]",,meco_para_11
the_7,387.0,4,"[87, 89, 294, 401]",,meco_para_11
organization_2,992.0,4,"[145, 207, 290, 426]",,meco_para_11
tries_0,66.0,1,[60],,meco_para_11
