word_id,TRT,FixCount,Span_word_is_in,text_id
In_0,nan,0,meco_para_3_qa_1 ,meco_para_3
competitive_0,nan,0,meco_para_3_qa_1 ,meco_para_3
"sports,_0",nan,0,meco_para_3_qa_1 ,meco_para_3
doping_0,68.0,1,meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,meco_para_3_qa_1 ,meco_para_3
the_0,nan,0,meco_para_3_qa_1 ,meco_para_3
use_0,nan,0,meco_para_3_qa_1 ,meco_para_3
of_0,63.0,1,meco_para_3_qa_1 ,meco_para_3
banned_0,131.0,2,meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,nan,0,meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,meco_para_3_qa_1 ,meco_para_3
athletic_0,nan,0,meco_para_3_qa_1 ,meco_para_3
competitors._0,nan,0,meco_para_3_qa_1 ,meco_para_3
The_1,nan,0,meco_para_3_qa_1 ,meco_para_3
term_0,nan,0,meco_para_3_qa_1 ,meco_para_3
doping_1,nan,0,meco_para_3_qa_1 ,meco_para_3
is_1,nan,0,meco_para_3_qa_1 ,meco_para_3
widely_0,nan,0,meco_para_3_qa_1 ,meco_para_3
used_0,135.0,2,meco_para_3_qa_1 ,meco_para_3
by_1,66.0,1,meco_para_3_qa_1 ,meco_para_3
organizations_0,62.0,1,meco_para_3_qa_1 ,meco_para_3
which_0,nan,0,meco_para_3_qa_1 ,meco_para_3
regulate_0,nan,0,,meco_para_3
sporting_0,nan,0,,meco_para_3
competitions._0,313.0,4,,meco_para_3
The_2,74.0,1,,meco_para_3
use_1,67.0,1,,meco_para_3
of_1,67.0,1,,meco_para_3
drugs_1,174.0,2,,meco_para_3
to_0,267.0,2,,meco_para_3
enhance_0,137.0,2,,meco_para_3
performance_0,nan,0,,meco_para_3
is_2,nan,0,,meco_para_3
largely_0,nan,0,,meco_para_3
considered_0,nan,0,,meco_para_3
"unethical,_0",66.0,1,,meco_para_3
and_0,63.0,1,,meco_para_3
is_3,68.0,1,,meco_para_3
therefore_0,309.0,3,,meco_para_3
prohibited_0,64.0,1,,meco_para_3
by_2,nan,0,,meco_para_3
most_0,nan,0,,meco_para_3
international_0,nan,0,,meco_para_3
sports_1,nan,0,,meco_para_3
"organizations,_1",nan,0,,meco_para_3
